@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.279,2.555,0,0
1.404,0.476,-0.424,0
0.532,-0.355,-0.122,0
0.111,0.404,0,0
2.881,0.495,-0.113,0
3.386,0.136,-0.055,0
0.466,1.825,-0.253,0
0.423,-0.696,1.106,0
1.093,0.445,1.608,0
0.165,1.947,-0.228,0
0.172,2.051,-0.572,0
0.137,0.76,0,1
0.421,2.305,0.344,0
1.371,-0.287,-0.171,0
0.424,0.766,1.068,1
1.831,-0.372,-0.099,0
0.721,0.871,-0.563,0
0.704,1.516,-0.85,1
0.459,1.959,-0.785,1
3.052,0.162,-0.071,0
0.207,0.667,2.511,0
1.658,-0.202,0.133,0
0.79,-0.436,-0.166,0
0.209,0.883,0.705,1
2.307,-0.279,-0.087,0
0.833,1.525,-0.162,1
2.531,0.64,-0.337,0
1.169,-0.529,0.488,0
0.259,0.988,0.246,0
0.186,0.289,0,1
0.216,1.12,0,0
1.155,1.672,-0.166,1
1.029,0.658,1.155,0
0.152,0.92,-0.749,1
0.137,1.131,0.544,1
0.546,2.054,1.639,1
0.328,2.044,1.043,1
0.266,1.972,0.602,1
3.665,-0.158,-0.055,0
0.555,-0.337,-0.146,0
0.976,2.104,0.368,0
3.259,0.176,-0.066,0
0.656,1.766,-0.253,0
0.107,0.337,1.803,0
2.141,1.045,-0.134,0
1.512,0.567,0.487,0
0.608,-0.436,-0.268,0
0.657,1.186,-0.241,1
0.082,0.378,1.555,0
0.255,2.834,0,0
0.237,2.321,0,0
0.312,-0.335,-0.108,0
0.147,1.534,0,0
0.305,-0.423,1.228,0
1.352,0.972,-0.12,1
0.566,-0.624,-0.181,0
0.422,1.571,0.272,0
1.95,0.495,0.503,0
3.041,-0.265,-0.179,0
0.532,0.93,-0.708,1
0.124,0.948,0,1
0.141,1.308,-0.166,0
0.227,1.921,1.152,0
0.109,0.656,-0.478,0
0.066,0.353,2.136,0
1.807,-0.191,0.068,0
0.305,1.192,-0.969,1
0.271,0.913,0,1
1.346,-0.304,-0.145,0
0.826,1.977,0.347,1
2.309,-0.363,-0.26,0
2.848,1.285,-0.125,0
0.142,1.96,0,0
1.404,-0.342,-0.085,0
1.945,1.189,-0.285,0
0.481,1.476,-0.24,0
0.242,2.17,0.545,1
-0.083,-1.189,0,0
0.49,1.751,1.024,1
0.383,0.65,-0.17,0
1.91,0.188,-0.149,0
0.396,3.044,0.514,1
0.346,1.235,-0.209,0
0.295,1.56,0.4,1
2.982,1.35,-0.234,0
-0.102,1.585,0,0
0.094,1.599,-0.305,0
0.961,1.215,1.277,1
0.28,0.725,-0.783,1
0.151,0.409,1.596,0
0.277,2.468,-0.41,0
1.909,-0.418,-0.197,0
0.31,1.54,-0.639,1
0.316,0.73,-0.88,1
1.62,-0.457,-0.213,0
0.408,1.687,-0.912,1
0.773,-0.639,0.185,0
0.132,1.098,0,0
0.705,-0.348,-0.124,0
