@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,4,6'

@attribute Aa numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
2.941,-0.331,0
0.105,0.83,1
0.151,1.281,1
1.089,-0.123,0
0.464,-0.517,0
0.268,0.63,0
0.832,0.381,0
0.341,-0.772,0
1.752,-0.437,1
0.17,0.333,0
0.238,1.637,0
0.389,1.13,1
0.861,0.212,0
1.437,0.563,1
3.307,-0.156,0
3.06,0.326,0
0.41,-0.555,0
0.144,1.197,0
0.772,-0.321,0
0.096,2.096,1
0.131,1.7,0
1.923,0.301,0
0.14,-0.721,0
2.153,-0.105,0
1.021,-0.19,0
0.797,-0.19,0
1.022,-0.109,0
0.159,-0.601,0
0.755,-0.426,0
3.079,-0.084,0
3.341,-0.069,0
0.954,0.716,1
-0.668,-0.143,0
0.106,1.748,0
0.925,-0.144,0
0.421,1.755,1
0.19,1.781,0
0.195,-0.432,0
-0.185,-0.64,0
2.786,0.11,0
0.231,1.957,1
0.41,0.426,0
0.618,1.215,1
3.381,0.202,0
0.325,0.746,0
2.946,-0.097,0
0.25,0.831,0
0.185,-0.612,0
0.228,1.183,0
0.179,1.786,0
1.098,0.348,0
0.226,1.741,0
0.558,-0.281,0
2.675,0.984,0
1.173,0.741,1
2.62,-0.239,0
1.219,-0.187,0
0.779,-0.419,1
0.563,0.456,0
-0.063,1.324,1
0.598,1.787,1
0.383,0.575,0
0.116,0,1
1.989,-0.18,0
0.671,0.191,0
0.995,1.53,1
0.348,-0.748,1
1.607,0.222,0
0.258,1.026,1
0.976,-0.091,0
0.436,1.698,1
0.16,0.482,1
2.558,0.475,0
0.287,0.842,1
0.191,0.544,0
2.045,-0.445,0
0.227,1.873,0
1.928,-0.138,0
0.635,-0.291,0
0.536,-0.307,0
0.218,-0.724,0
2.521,0.147,0
1.591,0.729,1
0.56,0.278,0
2.287,0.176,0
0.231,-0.638,0
0.498,-0.242,0
3.097,0.275,0
0.892,0.861,1
0.383,0.739,0
0.132,1.668,1
1.292,0.134,0
1.254,0.227,0
0.069,0.931,0
0.505,-0.799,1
0.264,-0.627,0
0.359,0.928,0
0.529,-0.484,0
0.277,-0.688,0
0.345,-0.497,0
1.37,0.638,1
0.129,0.53,0
1.598,0.808,1
0.121,-0.439,1
1.146,-0.189,0
2.095,0.068,0
1.122,-0.158,0
0.202,0.343,1
1.051,0.301,0
0.982,0.265,0
1.58,0.28,0
0.243,-0.524,0
2.239,0.245,0
0.325,-0.798,0
2.035,0.103,0
-0.076,1.026,1
0.24,0.286,0
0.36,-0.289,0
0.221,-0.503,0
0.6,0.983,0
1.877,0.191,0
0.88,0.587,1
0.127,1.954,1
0.348,1.109,1
2.463,0.113,0
2.509,-0.387,0
0.214,0.927,1
1.773,-0.121,0
0.87,-0.245,0
0.319,0.295,0
0.246,1.542,0
0.323,1.267,1
0.364,0.215,0
0.375,0.311,0
0.532,1.443,1
0.271,2.283,1
1.342,-0.098,0
0.615,-0.563,1
0.295,2.826,1
2.074,0.601,0
0.678,1.735,1
0.32,-0.216,0
0.371,0.687,0
2.039,0.35,0
1.329,0.69,1
0.74,-0.25,0
0.278,1.383,1
0.257,2.224,0
2.601,-0.08,0
0.206,0.693,0
0.21,0.946,1
0.503,-0.278,0
0.084,0.671,0
0.166,-0.837,0
0.253,0.274,0
0.327,-1.004,1
0.133,0.84,1
0.783,0.304,0
0.331,0.3,0
0.529,0.887,0
0.289,-0.874,1
1.926,0.162,0
0.17,-0.848,0
2.607,0.093,0
0.792,1.552,0
0.346,1.195,1
0.235,-0.638,0
1.654,0.716,0
-0.147,1.205,1
0.15,2.273,0
3.156,-0.065,0
1.338,0.516,0
0.657,0.292,0
0.134,-0.788,0
3.607,0.327,0
0.352,0.647,0
0.586,-0.587,0
0.132,1.6,1
0.135,2.355,0
0.249,-0.844,0
0.328,1.194,0
0.245,0.718,0
0.115,2.178,0
0.324,1.456,0
0.371,0.645,0
2.324,0.131,0
1.604,0.869,1
2.785,-0.073,0
0.763,-0.299,1
0.442,0.469,0
2.631,0.098,0
0.426,0.915,1
2.112,-0.097,0
0.176,-0.583,1
0.487,1.629,1
2.043,0.394,0
0.454,0.833,1
0.515,0.352,0
0.687,-0.354,0
0.375,0.401,0
2.177,-0.083,0
3.098,-0.324,0
0.706,0.916,1
0.215,0.287,0
0.115,2.296,0
1.208,-0.256,1
2.558,0.476,0
0.999,1.402,0
0.333,0.714,1
1.19,-0.121,0
0.067,-0.454,0
0.173,1.387,1
1.6,0.082,0
0.121,0.468,1
2.168,-0.083,0
2.836,0.178,0
0.886,-0.56,1
0.069,0.474,0
-0.058,-0.954,1
1.487,-0.261,0
0.258,2.133,1
1.483,0.921,0
0.559,0.648,0
0.686,-0.326,0
0.325,1.28,1
0.122,1.683,1
2.374,0.187,0
-0.082,1.848,0
0.317,-0.864,1
1.064,-0.204,0
2.995,-0.106,0
0.596,1.095,1
2.44,-0.074,0
1.288,-0.201,0
0.349,0.913,1
1.146,0.472,0
0.118,1.743,1
1.4,0.159,0
1.293,-0.596,0
1.018,0.075,0
1.721,-0.13,0
0.423,0.941,1
0.644,-0.51,0
1.836,0.134,0
0.388,1.54,1
0.573,0.78,0
1.098,-0.148,0
0.786,1.737,1
0.348,0.932,1
0.365,0.956,0
0.201,1.008,1
1.963,-0.109,0
0.179,-0.787,1
1.688,-0.348,0
3.343,0.077,0
1.585,-0.081,0
1.103,-0.626,1
0.677,0.194,0
0.807,0.168,0
0.371,1.079,1
0.584,-0.159,0
0.795,1.715,1
1.053,1.495,1
0.242,1.327,1
0.529,0.887,0
3.772,0.11,0
0.228,-0.663,0
0.446,0.914,0
-0.319,1.262,1
0.912,-0.121,0
1.58,0.11,0
-0.18,0.489,0
0.636,-0.162,0
0.719,-0.141,0
0.305,1.92,1
0.493,1.631,0
0.601,1.777,1
1.153,-0.112,0
0.321,-0.561,0
0.302,1.893,1
0.65,-0.256,0
0.172,-0.842,0
0.21,0.986,1
0.496,0.405,0
1.165,0.367,0
0.088,0.455,0
3.363,0.657,0
2.157,-0.115,0
1.128,-0.114,0
0.693,2.078,1
0.922,-0.255,0
1.062,-0.576,1
0.434,-0.374,0
0.15,1.827,1
0.207,0.616,1
0.397,-0.616,0
1.095,-0.132,0
0.42,1.17,0
-0.107,-1.526,1
1.274,-0.079,0
0.74,-0.276,0
0.499,-0.35,0
0.649,-0.448,0
-0.158,-0.51,0
1.903,0.146,0
0.189,-0.704,0
-0.092,-0.685,1
1.057,-0.473,1
0.934,0.233,0
0.285,1.394,0
0.502,-0.253,0
2.466,-0.118,0
0.67,-0.135,0
2.055,0.227,0
1.147,0.636,1
0.284,1.726,0
0.564,-0.494,1
1.653,0.065,0
0.122,1.292,1
0.447,-0.547,0
1.157,-0.457,1
0.064,0.498,0
-0.069,1.198,1
1.065,0.252,0
0.805,0.222,0
0.774,-0.652,1
0.192,1.358,1
0.233,1.012,0
0.635,0.31,0
2.539,0.146,0
0.349,-0.502,0
0.496,-0.645,0
0.233,1.504,1
1.746,-0.123,0
0.456,-0.418,0
0.128,2.105,0
0.273,0.313,0
0.173,-0.594,0
0.761,-0.175,0
0.32,0.806,1
0.269,-0.754,0
0.515,-0.176,0
0.373,0.323,0
0.274,0.411,0
0.555,-0.288,0
0.531,-0.568,0
0.552,0.285,0
0.334,1.297,0
0.325,1.221,1
-0.081,-0.581,1
0.085,1.604,0
0.736,2.181,1
3.218,0.094,0
0.337,1.051,1
2.911,0.264,0
