@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6'

@attribute Ao numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.657,1.493,-0.123,0
0.576,0.342,0,1
0.642,1.454,-0.716,1
1.423,-0.387,0.09,0
1.792,2.176,-0.327,0
2.164,0.991,0,0
2.711,-0.639,0,0
1.007,2.908,0.391,0
1.47,1.261,0.648,1
1.356,0.82,0,0
0.475,1.232,0.785,0
0.55,0.897,0,1
1.811,-0.291,-0.256,0
1.91,1.583,-0.165,1
0.503,-0.171,0.598,0
0.584,0.224,-0.088,0
1.009,2.024,-0.271,0
0.713,1.753,0,0
2.995,0.945,0.204,0
0.433,0.631,-0.896,1
0.5,1.297,-0.536,0
0.966,0.365,1.151,0
0.996,2.233,-0.281,0
1.127,0.359,-0.062,0
2.274,-0.52,-0.12,0
2.197,-0.479,0,0
1.607,-0.248,0.11,0
0.378,0.46,1.794,0
1.277,-0.297,1.903,0
0.491,-0.124,0.071,0
-0.275,-0.106,-0.051,0
1.444,1.608,0.689,1
-0.709,-0.391,-0.089,0
0.455,0.989,0,0
2.303,-0.408,-0.084,0
1.494,1.362,0,1
0.496,0.893,-0.507,0
1.204,1.497,0,0
-0.656,-0.802,-0.32,0
-0.269,0.124,0.063,0
0.52,0.871,0,1
2.084,1.072,-0.289,0
0.884,1.435,-0.349,1
0.566,0.22,0.565,0
0.758,2.099,0.405,0
1.555,-0.247,-0.066,0
0.5,2.194,0.616,0
0.932,2.296,-0.258,0
0.471,1.647,0.704,0
0.448,1.268,-0.631,0
2.692,0.812,0,0
0.704,0.719,0,0
3.17,-0.711,0.197,0
0.309,0.452,-0.225,0
1.814,1.537,-0.208,1
1.082,1.435,-0.107,0
2.015,-0.417,0.156,0
2.109,1.791,-0.159,1
3.544,-0.707,0.484,0
0.752,1.637,0.991,1
0.932,2.187,-0.49,1
1.267,1.145,-0.212,0
0.719,1.221,0,1
1.975,0.622,-0.102,0
1.538,-0.334,-0.129,0
1.846,0.799,-0.462,1
0.602,2.488,0.714,1
2.311,-0.381,0.163,0
0.861,0.683,0,1
0.774,-0.182,0.111,0
0.734,0.685,-1.012,1
0.374,0.269,0,1
0.561,0.573,0.341,0
0.883,0.887,0,1
0.395,0.643,0,0
0.531,2.079,-0.161,0
0.686,1.339,-0.671,0
2.195,-0.284,-0.097,0
3.459,-0.525,0.332,0
3.273,-0.604,-0.356,0
1.149,2.683,-0.426,0
0.476,0.192,-0.05,0
1.104,1.237,0.636,1
2.372,0.751,0.199,0
-0.234,0.215,-0.085,0
1.136,2.493,0,0
3.28,-0.608,0,0
0.575,0.228,-0.078,0
1.352,1.659,0.854,1
2.201,1.691,-0.347,0
0.515,0.665,0.674,1
1.044,-0.364,0,0
2.545,-0.44,0.165,0
0.269,0.337,1.571,0
0.534,2.077,0,1
1.064,2.082,-0.305,0
0.601,1.712,0.925,0
2.477,0.875,1.482,0
1.079,2.757,0,0
2.558,-0.677,1.361,0
0.965,0.75,0.325,1
0.546,0.893,0,0
1.054,1.336,0.732,1
0.172,0.165,1.005,1
1.998,0.64,-0.178,0
0.66,-0.09,-0.04,0
2.532,-0.358,0.272,0
0.733,0.89,1.266,1
2.748,-0.42,0.619,0
2.68,-0.574,0.168,0
1.639,0.709,0.357,0
1.265,2.289,0,0
0.89,0.354,0.556,0
1.122,2.831,-0.366,0
1.232,-0.204,-0.063,0
0.341,0.592,0,1
1.851,0.659,-0.11,0
2.311,-0.475,-0.147,0
1.321,1.726,-0.229,0
1.791,1.23,1.141,0
2.205,-0.484,-0.116,0
2.242,1.602,-0.178,1
0.422,0.942,-0.795,1
1.079,1.385,0.688,1
1.019,-0.147,0.08,0
0.448,1.68,-0.146,0
0.508,0.631,0,1
1.634,-0.276,0.105,0
3.42,-0.661,-0.139,0
3.013,-0.563,0.19,0
0.559,1.911,-0.597,0
0.577,0.736,0,1
2.186,-0.535,0.149,0
2.068,0.612,-0.129,0
0.434,1.216,1.977,1
0.641,0.805,-1.064,1
1.218,-0.269,0.086,0
0.985,1.8,0.401,1
0.837,1.527,-0.816,1
2.103,-0.494,-0.227,0
0.655,1.833,0.846,1
2.883,-0.428,-0.139,0
1.194,1.549,-0.474,0
