@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R4,7-8,10-11,16-17'

@attribute At4 numeric
@attribute At7 numeric
@attribute At8 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
68,100,100,75,50,0,1
100,62,64,79,100,1,9
100,34,28,1,16,1,2
69,87,47,65,74,0,4
100,44,42,0,8,70,8
66,39,0,27,8,94,5
100,9,29,33,100,0,4
100,64,69,43,100,0,3
73,54,0,22,95,84,0
54,2,0,30,20,93,5
82,1,21,0,100,55,6
80,100,92,69,65,0,1
78,0,27,0,60,21,6
66,61,0,21,93,76,0
66,20,0,35,0,98,5
100,0,13,8,100,0,6
34,81,1,38,87,68,0
56,39,0,15,5,96,5
100,47,25,0,0,7,2
99,0,42,12,100,27,6
56,86,94,100,80,0,1
60,100,100,76,49,0,1
77,100,100,74,75,0,1
80,100,89,67,92,0,1
89,72,73,42,31,4,2
66,49,0,29,58,84,8
73,89,62,84,63,0,4
60,12,0,31,16,100,5
76,0,28,11,97,0,4
88,15,26,0,100,47,6
78,0,82,60,90,0,9
100,69,58,47,100,19,3
73,2,42,36,100,0,4
89,88,32,0,0,100,8
100,43,61,44,23,0,2
83,20,28,0,77,24,6
16,79,8,46,76,84,0
100,0,67,72,100,0,9
85,44,50,54,82,0,4
40,11,0,35,100,81,8
100,54,45,10,0,0,2
76,0,28,27,100,0,4
100,59,42,0,28,42,7
78,41,0,0,100,28,6
100,71,60,39,85,14,3
82,100,90,65,70,0,1
54,23,95,100,94,0,9
100,81,45,5,55,33,7
79,0,47,38,100,0,4
100,48,31,0,14,39,7
82,10,0,16,100,82,0
100,57,28,0,7,95,8
100,75,47,14,0,1,2
85,10,39,11,35,24,6
93,25,44,44,91,0,4
100,0,53,54,100,0,4
66,49,0,38,100,70,0
100,49,52,38,100,7,3
100,59,64,38,19,0,2
100,41,36,0,0,1,1
98,50,14,0,0,39,7
53,11,0,30,10,100,5
100,0,25,2,100,0,6
100,53,77,52,58,0,5
100,63,46,0,40,34,7
77,86,62,77,48,0,4
74,17,3,0,100,39,6
78,100,100,75,62,0,1
69,6,0,0,97,100,0
100,44,55,43,100,6,3
100,22,76,64,100,0,5
82,100,95,71,49,0,1
69,50,3,0,12,100,5
100,54,65,55,100,3,3
100,70,42,7,14,3,2
81,0,28,24,100,0,4
100,43,52,13,100,0,1
71,63,37,37,89,0,4
100,83,37,9,0,2,2
76,61,74,81,99,4,9
81,74,46,66,89,0,4
100,47,80,54,82,13,5
71,29,11,11,100,0,6
77,70,34,64,89,0,4
100,57,34,13,0,0,2
100,65,37,0,0,33,7
100,52,47,46,98,9,3
100,12,68,69,80,0,9
77,2,22,29,100,0,4
100,70,98,61,98,10,9
100,16,53,60,100,0,4
71,27,90,62,78,0,9
100,41,36,0,93,26,6
84,30,40,49,100,0,4
82,0,28,0,59,30,6
100,64,33,0,7,68,8
100,43,35,5,23,68,8
100,0,27,0,100,60,6
100,89,63,39,28,4,2
91,90,80,60,57,0,1
77,25,0,4,100,100,0
100,55,53,39,100,3,3
36,12,0,38,12,100,5
77,39,9,0,100,36,6
100,51,87,70,32,0,5
94,46,15,0,6,37,7
100,65,34,0,4,44,7
76,43,75,35,47,46,8
85,93,84,52,77,2,9
84,100,86,60,73,0,9
98,98,51,22,72,43,7
78,76,77,51,57,2,1
94,94,92,61,4,0,2
76,60,82,57,60,0,1
71,63,74,37,48,2,1
71,23,0,29,59,98,8
26,25,19,49,100,70,8
100,68,44,0,25,35,7
100,38,44,20,16,15,2
99,100,93,75,53,0,7
67,10,68,18,74,44,8
85,51,61,24,29,56,8
59,11,81,52,100,26,8
100,55,12,0,24,94,8
48,75,0,35,87,95,0
78,70,0,13,45,100,8
71,73,32,0,5,100,5
100,69,44,20,0,16,2
86,100,13,0,48,100,8
83,54,38,52,97,0,4
75,50,0,18,100,88,0
100,57,57,40,90,12,3
54,100,100,79,62,0,1
83,100,83,74,77,0,9
64,93,100,86,75,0,1
100,62,59,64,80,0,9
100,66,69,44,100,1,3
52,100,100,87,82,0,1
74,75,46,78,81,0,4
100,62,42,0,21,43,7
100,71,70,73,78,2,9
59,5,34,40,100,0,4
100,87,39,0,30,33,7
10,92,56,88,61,65,9
86,0,26,0,100,7,6
74,100,100,75,54,0,1
100,42,63,47,100,0,3
