@relation penbased

@attribute At3 numeric
@attribute At6 numeric
@attribute At7 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
45,53,11,18,100,98,0
94,100,22,37,18,17,0
11,22,35,16,100,95,0
6,28,35,13,100,91,0
16,11,37,29,100,100,0
21,36,20,25,100,100,0
9,26,41,11,100,87,0
0,0,65,57,100,95,0
0,5,70,41,91,100,0
0,4,66,45,91,100,0
26,49,21,0,100,81,0
7,2,83,38,85,100,0
5,26,38,14,100,87,0
15,5,95,88,60,64,0
23,39,3,7,100,78,0
0,0,70,37,84,100,0
0,11,48,24,100,99,0
0,0,68,46,89,92,0
26,57,16,0,100,87,0
0,0,68,37,89,100,0
46,50,0,0,88,53,0
1,37,31,21,100,99,0
0,0,74,49,85,100,0
0,7,51,26,100,98,0
0,26,42,20,100,93,0
12,0,76,62,63,75,0
0,0,79,71,57,75,0
28,9,79,44,81,100,0
5,0,80,59,74,95,0
12,32,31,21,100,96,0
0,6,68,31,96,100,0
27,0,90,77,65,79,0
7,20,45,32,100,100,0
11,27,27,6,100,71,0
0,0,58,32,100,95,0
15,32,24,8,100,81,0
0,0,81,66,64,74,0
14,31,27,13,100,86,0
31,0,52,57,82,78,0
17,42,24,0,100,82,0
8,27,28,10,96,84,0
4,27,39,16,100,89,0
18,41,11,0,100,61,0
24,35,24,20,100,100,0
0,15,58,5,100,89,0
31,0,100,72,57,87,0
4,0,74,49,80,100,0
0,0,70,34,90,100,0
0,18,46,28,100,100,0
5,23,46,23,100,100,0
7,30,35,15,100,99,0
0,17,63,27,94,100,0
9,13,41,26,100,100,0
6,0,75,51,73,83,0
9,7,78,41,73,100,0
1,2,51,30,100,100,0
13,0,80,42,82,100,0
0,17,40,20,100,98,0
8,0,87,64,75,94,0
14,29,50,26,99,100,0
32,0,100,59,68,100,0
9,0,79,61,87,100,0
12,0,100,100,13,68,0
0,14,47,16,100,92,0
4,30,32,20,100,96,0
14,29,26,18,100,87,0
47,75,0,0,85,55,0
20,0,84,46,83,100,0
15,0,77,51,77,100,0
0,25,56,17,99,83,0
0,0,83,65,70,95,0
0,0,65,35,100,100,0
0,20,57,21,99,95,0
61,51,8,32,92,61,0
0,5,53,25,100,100,0
0,11,52,30,100,100,0
0,14,59,33,97,91,0
16,55,18,0,100,82,0
48,30,56,43,90,72,0
28,42,23,13,100,92,0
0,0,71,43,86,100,0
21,37,25,16,100,100,0
5,30,34,19,100,100,0
0,14,52,29,100,100,0
9,21,30,14,100,79,0
1,0,82,56,76,100,0
48,67,0,0,91,56,0
28,53,8,0,100,62,0
0,8,68,36,91,100,0
6,33,30,6,100,82,0
1,13,62,48,73,77,0
0,9,53,23,100,97,0
5,26,35,18,100,93,0
0,0,77,49,88,100,0
0,17,62,30,87,100,0
7,7,46,34,100,100,0
23,5,100,60,74,100,0
31,63,15,0,100,78,0
0,24,56,22,95,98,0
2,3,60,35,91,90,0
6,0,63,44,100,100,0
0,41,25,0,100,65,0
21,33,25,0,100,70,0
52,83,0,0,77,47,0
0,7,66,29,91,100,0
0,22,45,16,100,100,0
0,4,65,31,100,100,0
8,0,77,45,77,100,0
0,0,74,57,64,85,0
21,0,70,41,95,100,0
11,30,27,17,100,89,0
16,0,100,84,44,67,0
46,49,0,0,100,66,0
10,12,75,35,87,100,0
0,22,63,24,90,97,0
18,27,33,22,100,99,0
10,33,25,9,100,81,0
79,94,4,13,44,22,0
0,1,68,35,90,100,0
16,49,12,0,95,65,0
0,10,49,23,100,100,0
0,6,66,30,99,100,0
73,98,0,11,57,23,0
13,8,75,40,85,100,0
18,30,27,18,100,91,0
14,34,28,0,100,76,0
3,32,27,6,100,76,0
8,2,72,42,86,100,0
0,24,54,25,98,100,0
4,11,54,32,97,100,0
23,0,68,45,100,100,0
0,0,81,68,65,88,0
20,20,62,25,96,86,0
0,0,82,54,89,100,0
0,2,51,34,100,100,0
12,0,57,50,100,92,0
0,18,55,36,84,100,0
0,0,69,58,73,74,0
22,44,2,0,88,60,0
1,11,72,42,82,100,0
9,25,41,27,100,100,0
5,27,44,23,100,100,0
19,36,6,1,97,67,0
0,0,81,38,87,100,0
16,32,29,22,100,98,0
12,0,92,60,73,100,0
2,17,43,26,100,100,0
0,0,76,52,74,100,0
23,37,22,18,100,100,0
30,59,12,0,100,83,0
26,64,3,0,93,59,0
14,25,29,17,100,89,0
15,56,10,0,94,57,0
20,20,65,27,92,85,0
0,13,59,23,98,100,0
44,26,11,100,100,30,0
21,0,91,66,64,88,0
0,0,58,35,100,100,0
19,30,20,5,100,72,0
0,0,63,41,100,100,0
53,40,13,15,94,78,0
0,19,45,26,100,95,0
0,3,84,50,71,100,0
20,0,87,56,74,100,0
23,0,85,49,79,100,0
3,0,81,49,74,100,0
19,11,85,81,70,86,0
16,35,3,10,100,77,0
0,1,75,46,87,100,0
9,38,27,9,100,94,0
5,13,41,25,100,86,0
0,28,45,20,100,92,0
0,0,84,55,75,100,0
0,20,41,12,100,93,0
0,20,50,22,100,100,0
0,10,68,40,83,100,0
0,36,30,6,100,85,0
0,18,60,24,96,95,0
17,41,18,5,100,87,0
27,59,2,0,95,61,0
16,0,93,66,64,100,0
0,0,77,80,67,69,0
0,5,71,49,67,93,0
8,21,40,29,100,100,0
18,40,21,0,100,71,0
0,30,37,8,100,82,0
21,30,53,24,100,100,0
12,0,90,44,72,100,0
0,19,62,25,96,100,0
8,0,86,61,68,91,0
8,5,69,39,91,98,0
0,11,66,32,90,100,0
22,45,23,10,100,100,0
7,35,32,10,100,92,0
22,27,36,22,100,100,0
20,0,96,66,68,92,0
22,0,65,73,42,65,0
5,0,99,94,48,56,0
0,28,41,17,100,98,0
4,19,63,49,71,73,0
17,34,9,18,97,86,0
8,0,86,57,74,92,0
3,16,55,34,88,100,0
2,5,62,42,91,95,0
12,0,71,48,82,100,0
5,15,41,25,100,100,0
2,23,33,14,100,86,0
19,33,24,25,100,87,0
0,0,78,53,82,100,0
1,20,37,15,100,91,0
0,11,59,29,92,100,0
0,0,69,42,97,100,0
29,52,2,0,100,67,0
8,20,35,21,100,93,0
0,5,63,31,100,100,0
5,0,100,68,59,93,0
0,5,53,29,100,100,0
10,10,66,37,97,100,0
13,40,27,10,100,96,0
