@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R3,6-7,10-11,14,17'

@attribute At3 numeric
@attribute At6 numeric
@attribute At7 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
53,80,57,30,0,2,2
20,39,10,0,100,40,6
67,68,0,0,99,40,6
56,82,52,39,100,0,3
0,0,65,41,97,100,0
9,46,48,46,89,30,4
15,0,86,56,84,100,0
8,17,51,28,100,100,0
32,64,69,69,100,3,9
60,73,10,6,46,27,6
52,100,91,10,21,7,1
31,74,62,0,100,30,7
93,98,48,62,48,18,5
52,52,0,0,100,29,6
4,24,30,11,95,82,0
29,91,100,74,68,21,1
52,57,37,0,24,1,2
30,85,100,75,65,25,1
84,75,58,48,89,0,3
52,79,83,8,45,30,7
43,79,49,21,0,1,2
52,96,83,50,87,0,3
66,86,64,42,82,0,3
32,91,70,43,11,6,2
66,69,0,0,77,34,6
44,60,0,0,99,30,6
61,83,53,47,100,5,3
62,81,83,23,0,0,2
8,39,19,21,100,30,4
8,47,39,13,11,98,5
77,60,36,2,12,2,2
35,78,100,76,80,25,1
4,100,100,64,75,22,7
39,99,100,75,53,26,1
76,99,39,87,98,6,9
50,96,81,40,87,0,3
77,90,15,8,0,34,8
100,94,52,43,85,2,5
100,95,0,45,73,7,5
57,71,56,7,0,0,2
47,100,91,62,47,17,1
78,85,83,52,97,0,9
41,14,100,100,40,49,0
8,91,28,31,13,5,2
50,87,24,65,100,0,8
3,20,43,23,100,100,0
29,100,85,61,38,20,1
0,54,100,99,72,38,4
87,100,84,46,66,0,1
20,70,11,27,89,29,4
43,80,53,42,98,0,3
22,52,26,41,100,24,4
55,67,30,15,21,1,2
9,45,63,0,13,88,5
23,68,43,12,49,0,2
40,90,30,69,95,9,9
34,100,100,66,79,22,1
18,0,100,72,47,77,0
55,81,80,10,0,15,2
30,80,100,80,83,26,1
34,83,43,36,25,7,2
11,97,100,76,66,26,7
36,99,85,41,100,0,3
75,82,61,0,0,8,1
48,65,58,0,0,63,8
45,33,46,23,6,95,5
10,61,0,24,90,29,4
7,20,54,27,100,94,0
15,76,19,28,71,23,4
53,88,84,24,42,31,7
71,99,56,26,21,0,1
47,74,0,11,85,22,6
89,72,59,32,88,0,3
46,100,100,72,88,19,1
0,0,65,47,99,100,0
48,80,9,53,80,0,5
43,70,0,0,78,46,0
74,0,52,41,73,100,8
53,57,0,0,69,20,6
