@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R2-3,5,11-12,14,17'

@attribute At2 numeric
@attribute At3 numeric
@attribute At5 numeric
@attribute At11 numeric
@attribute At12 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
93,53,89,0,5,2,2
100,20,0,100,33,40,6
99,67,24,99,8,40,6
92,56,83,100,14,0,3
76,0,11,97,85,100,0
100,9,0,89,52,30,4
68,15,42,84,90,100,0
83,8,0,100,70,100,0
87,32,98,100,61,3,9
98,60,29,46,0,27,6
52,52,97,21,0,7,1
85,31,76,100,8,30,7
85,93,100,48,48,18,5
100,52,18,100,5,29,6
100,4,0,95,41,82,0
75,29,71,68,48,21,1
64,52,58,24,20,1,2
48,30,65,65,51,25,1
80,84,100,89,10,0,3
95,52,100,45,0,30,7
71,43,76,0,0,1,2
84,52,100,87,16,0,3
78,66,91,82,10,0,3
85,32,76,11,20,6,2
100,66,25,77,0,34,6
100,44,7,99,24,30,6
84,61,87,100,23,5,3
88,62,100,0,6,0,2
100,8,0,100,43,30,4
85,8,61,11,66,98,5
78,77,64,12,4,2,2
36,35,68,80,51,25,1
98,4,59,75,43,22,7
71,39,74,53,50,26,1
60,76,13,98,44,6,9
86,50,100,87,9,0,3
60,77,10,0,0,34,8
85,100,87,85,27,2,5
95,100,55,73,33,7,5
72,57,76,0,4,0,2
64,47,100,47,40,17,1
69,78,37,97,15,0,9
44,41,81,40,85,49,0
75,8,40,13,8,5,2
12,50,84,100,35,0,8
97,3,0,100,70,100,0
75,29,100,38,41,20,1
100,0,32,72,77,38,4
74,87,100,66,18,0,1
98,20,19,89,42,29,4
74,43,70,98,12,0,3
100,22,0,100,47,24,4
100,55,58,21,0,1,2
93,9,82,13,44,88,5
76,23,52,49,5,0,2
81,40,100,95,59,9,9
62,34,84,79,44,22,1
86,18,57,47,100,77,0
69,55,96,0,0,15,2
44,30,67,83,53,26,1
91,34,65,25,13,7,2
81,11,55,66,51,26,7
78,36,79,100,16,0,3
78,75,77,0,8,8,1
89,48,29,0,31,63,8
100,45,71,6,71,95,5
100,10,0,90,45,29,4
93,7,8,100,65,94,0
81,15,20,71,21,23,4
100,53,100,42,0,31,7
78,71,73,21,0,0,1
97,47,8,85,0,22,6
98,89,73,88,3,0,3
64,46,81,88,45,19,1
76,0,8,99,90,100,0
97,48,12,80,28,0,5
88,43,9,78,11,46,0
69,74,100,73,75,100,8
100,53,18,69,1,20,6
93,53,83,30,22,46,7
94,13,26,0,26,64,8
50,13,56,75,50,24,1
100,11,0,98,22,63,0
88,68,100,98,12,0,3
90,37,89,33,18,40,7
100,93,64,82,12,0,3
68,27,73,50,0,34,7
96,43,89,12,54,93,5
88,20,0,100,63,100,0
77,29,80,100,13,0,3
67,65,0,2,10,52,8
100,40,0,74,87,43,4
95,56,23,69,16,50,0
89,0,62,6,52,93,5
100,9,0,88,37,33,4
67,100,56,91,54,24,9
100,19,31,7,36,63,8
58,85,85,0,0,3,1
100,0,52,100,19,0,9
100,18,0,100,58,30,4
100,24,0,100,48,24,4
100,8,3,100,66,92,0
100,70,30,70,9,32,6
100,14,75,40,48,23,7
91,67,27,68,4,34,6
44,24,62,95,52,24,1
70,45,77,0,0,9,2
100,61,30,42,0,23,6
53,45,79,97,46,19,1
90,27,0,10,16,57,8
79,82,98,85,19,5,3
100,53,18,76,4,27,6
78,30,55,4,0,1,2
74,78,100,87,12,0,3
85,49,100,96,35,13,3
100,78,45,21,0,11,6
83,18,60,26,56,90,5
100,30,7,100,42,23,4
73,82,100,76,24,0,1
49,24,60,75,100,90,0
83,60,100,75,14,0,3
85,59,73,5,29,19,2
37,8,49,0,0,3,2
71,55,72,0,4,13,2
73,4,70,15,12,0,2
100,37,43,0,19,48,8
93,100,85,95,31,0,5
87,61,96,100,15,0,3
80,32,64,11,30,39,7
98,0,42,7,86,100,5
96,15,33,82,80,100,0
95,47,54,93,20,0,9
100,35,96,100,53,3,9
100,76,16,100,28,0,5
100,0,8,79,90,44,4
88,52,100,17,0,30,7
100,0,1,100,29,0,9
100,31,6,100,47,26,4
79,42,100,62,41,0,5
100,21,0,85,53,25,4
100,18,0,100,39,24,4
62,30,70,7,0,2,1
82,21,0,100,75,100,0
91,42,63,40,4,29,7
84,0,18,71,100,61,0
100,18,0,67,74,37,4
85,26,74,100,21,4,3
100,43,13,100,34,36,6
99,73,100,10,0,33,7
100,58,28,100,14,25,6
96,67,68,19,30,12,2
85,68,91,100,16,0,3
100,71,38,40,0,26,6
100,33,0,100,53,27,4
93,53,89,48,1,29,7
50,28,77,56,50,25,1
100,0,76,41,43,79,8
100,0,25,86,81,94,0
