@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R5,13-15,17'

@attribute At5 numeric
@attribute At13 numeric
@attribute At14 numeric
@attribute At15 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
57,100,90,40,8
49,73,16,20,6
81,53,22,100,7
72,46,0,100,2
78,23,98,100,5
0,84,89,36,0
34,22,27,0,4
78,50,6,100,2
100,41,1,0,5
58,53,0,0,9
0,76,25,58,4
50,48,97,100,5
96,100,47,94,9
94,54,0,0,3
100,70,7,0,9
64,62,28,45,1
13,100,22,84,4
64,45,87,100,5
64,95,24,100,1
54,49,95,100,5
100,41,1,94,2
87,53,0,0,3
16,36,30,0,6
81,36,0,0,3
62,100,90,58,8
74,36,0,39,8
0,47,100,20,0
16,34,64,100,8
24,33,100,0,0
67,64,13,100,2
73,36,8,79,2
80,57,0,0,8
77,47,0,0,5
81,54,0,14,3
70,29,39,100,7
62,57,10,100,2
77,53,6,100,2
0,88,83,34,0
7,78,37,21,6
74,51,0,100,1
37,52,2,100,2
81,41,0,0,3
39,66,31,12,6
49,48,29,0,6
39,47,100,26,0
61,41,98,100,5
100,57,22,71,1
100,56,12,8,3
34,31,2,0,5
0,47,41,100,8
100,0,24,89,7
72,50,8,100,2
0,71,20,100,4
100,55,15,55,1
64,42,0,0,9
0,38,32,7,4
0,60,39,38,4
0,27,33,16,6
0,82,86,34,0
73,90,22,87,1
62,49,9,100,2
70,41,6,0,9
57,7,87,4,0
38,67,0,4,9
15,35,28,0,4
29,49,0,0,5
0,81,31,84,9
37,34,100,5,0
53,100,100,46,8
100,29,0,0,3
87,49,6,100,2
32,70,34,0,6
4,100,22,45,6
36,52,100,100,5
61,39,68,42,8
71,100,92,0,8
62,82,0,100,2
10,51,44,9,6
95,42,0,0,3
93,50,0,0,3
15,48,34,0,6
62,50,3,100,2
0,88,25,100,4
72,33,4,100,1
100,38,31,100,7
25,34,47,76,8
91,51,14,100,2
66,26,25,11,1
74,49,0,100,2
51,72,26,57,1
71,52,32,100,7
92,62,0,0,3
0,92,31,90,4
21,100,78,49,8
98,84,10,0,9
64,36,1,0,5
13,78,27,26,6
22,45,34,0,6
63,53,0,0,9
41,25,100,14,0
100,39,0,0,3
0,38,34,27,4
30,57,0,0,9
33,37,100,12,0
20,53,100,16,0
100,36,1,0,3
86,38,34,100,7
41,43,99,100,5
2,82,92,38,0
69,33,21,7,7
52,53,89,100,5
48,47,100,100,5
46,56,27,44,1
23,47,33,1,6
83,39,0,0,3
69,54,2,100,2
95,81,1,0,9
6,44,32,20,4
41,42,93,100,5
35,49,18,0,6
79,48,11,0,9
76,66,15,0,5
15,48,66,100,8
1,51,79,0,0
22,26,30,100,8
100,46,6,0,3
68,55,0,8,3
0,87,24,100,4
0,87,39,79,4
0,90,26,82,4
53,100,77,58,8
100,19,33,90,7
72,56,0,100,2
64,0,0,100,1
65,57,20,100,2
0,20,83,12,0
13,88,30,100,4
68,50,4,100,2
69,45,94,100,5
0,86,32,82,9
10,78,36,22,6
0,45,30,19,4
77,54,4,0,5
77,50,57,0,8
0,91,33,92,4
74,59,0,13,3
53,75,27,82,1
38,100,69,75,8
85,91,25,89,1
44,50,99,100,5
15,65,30,38,6
0,78,95,12,0
58,50,0,100,2
56,55,6,100,2
68,78,25,76,1
82,62,19,64,1
0,76,28,69,4
66,43,28,27,1
77,54,27,100,7
41,63,84,100,5
62,19,43,100,7
10,42,100,0,0
28,32,100,0,0
52,48,0,0,9
100,48,42,27,9
68,35,42,100,7
25,35,97,100,5
18,40,100,0,0
71,43,0,0,3
0,100,64,72,0
0,85,22,78,4
46,58,88,100,5
99,100,25,17,8
28,45,30,19,4
100,38,0,0,3
16,75,27,62,4
16,68,4,0,9
65,38,100,100,5
99,54,0,0,3
60,100,100,20,8
100,0,0,13,1
82,56,0,0,3
81,40,3,0,5
31,25,87,14,0
100,18,0,89,2
27,60,21,44,4
51,62,8,100,2
17,89,71,37,8
14,92,34,100,4
79,37,85,100,5
44,49,98,100,5
96,38,40,100,7
10,66,66,22,0
14,14,83,0,0
80,54,100,20,8
2,68,31,16,6
54,66,2,100,2
21,25,100,14,0
100,26,0,97,2
74,29,94,100,5
0,57,32,35,9
55,35,0,100,1
6,72,42,19,6
100,32,25,98,7
83,52,6,0,3
32,46,26,0,6
100,49,15,100,2
77,49,92,100,5
0,72,23,57,4
9,67,26,65,4
6,53,34,6,6
0,60,87,19,0
3,43,35,24,6
99,56,0,0,3
56,59,83,100,5
35,24,86,13,0
100,15,20,0,1
100,40,6,0,3
70,59,20,54,1
65,50,26,48,7
100,11,34,92,7
45,34,18,0,9
100,80,8,85,1
66,50,92,100,5
90,47,0,100,2
75,62,0,8,3
25,60,23,18,6
100,47,5,0,5
17,73,38,10,6
96,68,19,0,9
84,36,7,98,1
78,40,27,7,1
0,79,100,33,0
75,37,97,100,5
100,22,41,0,8
35,60,21,0,6
85,45,37,100,7
66,39,18,0,9
64,74,100,0,8
38,43,6,0,9
74,44,24,24,1
26,50,19,0,6
77,48,26,100,7
90,52,30,100,7
0,77,92,27,0
57,28,96,100,5
0,19,30,10,6
40,57,1,100,2
51,51,0,0,9
67,65,28,67,1
58,51,35,100,7
100,62,39,36,9
76,51,41,100,7
67,58,85,85,9
29,45,0,0,5
25,62,34,0,6
36,85,100,20,8
33,44,33,0,6
68,100,100,34,8
34,91,17,37,6
