@relation penbased

@attribute At5 numeric
@attribute At9 numeric
@attribute At12 numeric
@attribute At13 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
81,81,85,9,49,0
0,68,39,93,77,0
30,72,47,87,100,0
1,89,61,74,98,0
12,27,0,100,38,0
8,100,63,56,94,0
0,93,53,63,87,0
0,73,53,84,96,0
10,48,19,97,68,0
12,100,70,51,93,0
0,75,64,78,100,0
0,89,70,68,100,0
0,90,66,71,100,0
0,67,37,88,83,0
5,92,63,60,93,0
25,100,76,43,100,0
34,100,100,34,100,0
0,87,71,61,100,0
0,82,44,75,82,0
0,72,54,84,91,0
7,90,72,66,100,0
48,100,100,28,80,0
15,100,79,48,100,0
12,88,68,73,100,0
26,100,83,43,100,0
5,100,100,23,84,0
0,81,60,83,97,0
49,100,82,45,100,0
62,100,100,27,100,0
12,82,58,77,100,0
8,98,79,55,99,0
21,100,87,29,100,0
0,92,65,60,100,0
21,99,80,62,100,0
29,100,88,35,97,0
0,100,94,33,97,0
40,100,100,40,88,0
23,100,77,54,100,0
9,93,69,61,98,0
0,39,18,100,53,0
40,100,92,31,100,0
21,100,88,37,100,0
0,100,100,16,77,0
49,100,98,19,100,0
0,71,55,78,95,0
0,80,56,80,93,0
0,80,48,64,91,0
34,100,92,37,100,0
31,100,98,23,100,0
0,61,24,100,71,0
37,100,100,21,82,0
42,100,95,31,100,0
30,100,100,15,80,0
0,79,53,80,89,0
8,100,80,48,91,0
39,100,95,32,100,0
14,100,94,39,100,0
7,100,74,49,100,0
16,100,80,55,100,0
28,100,97,44,100,0
22,100,100,29,94,0
22,100,83,44,100,0
0,89,62,69,100,0
42,100,100,22,80,0
0,77,60,88,100,0
2,80,50,82,92,0
0,60,23,100,58,0
0,66,41,94,80,0
2,98,70,58,100,0
0,62,38,92,88,0
9,100,70,61,100,0
0,70,29,86,66,0
2,92,74,60,100,0
0,78,55,94,93,0
0,81,47,77,85,0
37,100,100,18,88,0
0,79,39,81,77,0
0,78,56,83,100,0
9,100,84,45,100,0
0,86,67,74,100,0
48,100,100,6,76,0
40,100,81,61,100,0
0,81,59,91,98,0
0,57,24,88,66,0
40,100,97,43,100,0
0,74,42,81,79,0
0,83,56,71,90,0
0,42,12,100,52,0
18,100,77,48,90,0
33,100,75,50,100,0
0,63,46,100,86,0
10,91,63,75,97,0
41,100,100,30,69,0
40,100,90,40,100,0
13,96,72,57,100,0
8,99,73,56,100,0
4,100,89,34,100,0
46,100,100,15,88,0
14,100,83,39,100,0
6,28,6,100,47,0
0,80,56,79,97,0
0,73,45,76,77,0
32,100,100,35,94,0
23,19,16,100,50,0
57,92,100,0,77,0
1,86,83,58,100,0
0,75,65,83,100,0
6,100,76,48,100,0
14,100,100,14,83,0
16,45,24,100,63,0
0,75,36,88,71,0
0,68,44,100,84,0
0,82,44,91,81,0
3,94,68,64,100,0
22,100,68,51,97,0
0,61,31,67,61,0
0,78,60,68,90,0
0,70,56,96,100,0
0,93,70,61,100,0
34,100,89,34,100,0
0,42,15,100,56,0
7,100,100,37,69,0
46,100,100,24,67,0
0,82,46,70,81,0
0,87,62,70,96,0
5,36,15,100,58,0
61,96,100,10,87,0
0,91,69,60,100,0
0,44,20,100,60,0
31,100,93,37,100,0
0,81,53,62,80,0
19,94,74,67,100,0
0,69,44,90,92,0
6,100,100,18,82,0
0,100,86,28,100,0
87,83,100,0,80,0
21,100,94,32,100,0
0,58,34,100,74,0
1,91,66,64,100,0
21,100,66,30,78,0
16,40,15,95,58,0
16,100,66,60,100,0
0,76,56,85,95,0
28,100,90,32,100,0
16,100,84,44,100,0
13,100,100,29,76,0
28,100,90,54,100,0
8,40,21,100,61,0
27,100,89,37,100,0
0,63,33,93,71,0
0,69,49,92,84,0
0,79,55,85,95,0
0,70,45,88,82,0
0,80,47,83,90,0
1,90,76,56,100,0
0,72,47,100,90,0
66,98,90,32,100,0
49,0,0,76,18,0
0,78,54,79,91,0
42,100,85,37,100,0
0,51,24,100,64,0
0,67,31,100,75,0
0,84,64,87,100,0
