@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R2,5,8,12,15-17'

@attribute At2 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At12 numeric
@attribute At15 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
93,89,52,5,100,0,2
100,0,1,33,15,10,6
99,24,32,8,9,55,6
92,83,59,14,0,0,3
76,11,5,85,9,69,0
100,0,31,52,19,0,4
68,42,19,90,0,73,0
83,0,0,70,8,86,0
87,98,100,61,0,0,9
98,29,41,0,0,30,6
52,97,55,0,100,7,1
85,76,37,8,0,41,7
85,100,88,48,0,0,5
100,18,25,5,23,22,6
100,0,0,41,64,93,0
75,71,100,48,58,0,1
64,58,16,20,100,5,2
48,65,100,51,34,0,1
80,100,53,10,0,16,3
95,100,44,0,84,38,7
71,76,47,0,100,4,2
84,100,66,16,0,11,3
78,91,60,10,0,7,3
85,76,65,20,100,0,2
100,25,35,0,10,51,6
100,7,24,24,19,0,6
84,87,60,23,0,0,3
88,100,48,6,72,1,2
100,0,20,43,72,0,4
85,61,0,66,100,100,5
78,64,27,4,100,0,2
36,68,100,51,70,0,1
98,59,87,43,40,0,7
71,74,100,50,11,0,1
60,13,75,44,0,0,9
86,100,66,9,0,22,3
60,10,49,0,100,55,8
85,87,72,27,0,0,5
95,55,71,33,11,0,5
72,76,35,4,100,6,2
64,100,84,40,63,0,1
69,37,77,15,0,0,9
44,81,60,85,0,0,0
75,40,59,8,100,0,2
12,84,100,35,9,11,8
97,0,0,70,14,84,0
75,100,81,41,0,0,1
100,32,59,77,43,0,4
74,100,73,18,3,0,1
98,19,40,42,100,0,4
74,70,53,12,0,4,3
100,0,34,47,57,0,4
100,58,39,0,100,0,2
93,82,8,44,100,100,5
76,52,30,5,100,32,2
81,100,100,59,0,0,9
62,84,88,44,84,0,1
86,57,24,100,1,31,0
69,96,43,0,100,3,2
44,67,100,53,62,0,1
91,65,56,13,100,0,2
81,55,96,51,38,0,7
78,79,67,16,24,16,3
78,77,34,8,100,7,1
89,29,25,31,100,91,8
100,71,0,71,100,91,5
100,0,31,45,100,0,4
93,8,0,65,0,100,0
81,20,52,21,100,0,4
100,100,56,0,56,46,7
78,73,63,0,100,3,1
97,8,41,0,38,24,6
98,73,52,3,0,19,3
64,81,99,45,85,0,1
76,8,11,90,7,67,0
97,12,42,28,0,5,5
88,9,31,11,90,85,0
69,100,4,75,0,83,8
100,18,29,1,12,7,6
93,83,43,22,100,51,7
94,26,27,26,100,100,8
50,56,100,50,31,0,1
100,0,3,22,61,73,0
88,100,60,12,0,3,3
90,89,52,18,100,47,7
100,64,61,12,0,7,3
68,73,52,0,100,38,7
96,89,0,54,100,100,5
88,0,0,63,26,93,0
77,80,69,13,0,4,3
67,0,37,10,100,86,8
100,0,38,87,68,0,4
95,23,29,16,89,90,0
89,62,0,52,100,100,5
100,0,16,37,57,0,4
67,56,84,54,22,0,9
100,31,15,36,100,87,8
58,85,60,0,100,8,1
100,52,77,19,6,2,9
100,0,29,58,59,0,4
100,0,35,48,73,0,4
100,3,0,66,0,74,0
100,30,29,9,16,35,6
100,75,89,48,47,0,7
91,27,35,4,23,15,6
44,62,100,52,81,0,1
70,77,49,0,100,22,2
100,30,36,0,6,25,6
53,79,99,46,93,0,1
90,0,33,16,98,84,8
79,98,60,19,0,0,3
100,18,28,4,24,27,6
78,55,50,0,100,5,2
74,100,52,12,0,14,3
85,100,70,35,36,0,3
100,45,47,0,16,15,6
83,60,0,56,100,100,5
100,7,37,42,70,0,4
73,100,75,24,0,2,1
49,60,31,100,0,63,0
83,100,60,14,0,16,3
85,73,29,29,100,0,2
37,49,56,0,100,3,2
71,72,44,4,100,0,2
73,70,70,12,100,6,2
100,43,26,19,83,73,8
93,85,83,31,0,12,5
87,96,50,15,0,14,3
80,64,36,30,100,41,7
98,42,0,86,100,98,5
96,33,0,80,0,74,0
95,54,80,20,0,9,9
100,96,93,53,0,0,9
100,16,55,28,1,17,5
100,8,39,90,100,0,4
88,100,39,0,87,38,7
100,1,91,29,39,9,9
100,6,33,47,80,0,4
79,100,88,41,2,0,5
100,0,54,53,43,0,4
100,0,33,39,86,0,4
62,70,61,0,100,3,1
82,0,0,75,14,75,0
91,63,38,4,100,36,7
84,18,0,100,43,5,0
100,0,48,74,8,0,4
85,74,64,21,7,0,3
100,13,2,34,0,5,6
99,100,47,0,81,35,7
100,28,18,14,0,19,6
96,68,23,30,100,0,2
85,91,54,16,0,7,3
100,38,42,0,5,23,6
100,0,32,53,60,0,4
93,89,37,1,100,25,7
50,77,100,50,62,0,1
100,76,0,43,27,91,8
100,25,0,81,6,62,0
68,47,83,58,80,0,9
100,94,22,31,0,80,8
100,0,11,30,32,5,6
53,82,100,50,3,0,1
88,71,61,7,0,27,3
56,50,40,4,100,17,2
48,69,100,64,33,0,1
71,0,60,60,88,0,9
83,46,67,11,0,3,5
79,51,31,7,100,1,2
100,0,39,61,69,0,4
91,78,34,28,100,45,7
100,0,0,51,24,98,0
82,100,100,22,43,52,8
100,41,29,0,0,12,6
100,0,26,50,100,0,4
87,70,62,15,0,3,3
85,59,48,0,100,1,2
73,77,0,59,100,100,5
96,0,0,65,33,79,0
91,65,76,0,91,35,7
85,58,42,0,100,2,2
62,61,19,13,100,1,2
64,75,79,68,49,0,9
100,0,0,51,27,97,0
64,0,69,49,13,0,9
88,54,0,95,100,100,5
73,40,18,94,0,75,0
98,81,100,62,0,0,9
100,61,0,39,35,88,8
95,52,0,59,100,100,5
71,7,76,49,0,0,9
73,60,43,9,100,1,2
62,5,41,2,100,75,8
100,0,44,86,60,0,4
67,76,57,0,100,1,2
100,0,0,42,46,92,0
76,19,83,53,0,0,9
100,0,33,77,56,0,4
65,4,0,75,12,82,0
93,78,58,23,0,0,3
74,87,59,9,0,15,3
63,84,100,50,81,0,1
68,48,71,46,0,0,9
81,11,69,24,0,1,9
66,100,70,15,100,9,2
38,66,100,51,44,0,1
84,79,66,19,0,5,3
77,95,67,29,0,0,3
64,57,53,18,100,0,2
100,18,25,9,3,39,6
92,26,1,100,27,29,0
100,19,20,16,0,10,6
100,0,24,55,55,0,4
100,0,18,61,60,0,4
85,100,76,33,0,0,3
100,62,31,22,100,43,7
13,67,100,63,42,0,1
93,80,35,27,100,52,7
73,60,63,6,0,18,3
25,62,100,62,0,0,1
85,100,85,33,0,0,5
83,87,58,13,100,0,2
86,84,69,19,22,2,3
79,66,75,22,100,0,2
100,0,35,71,43,0,4
100,0,0,72,7,88,0
85,0,99,58,12,0,9
100,27,82,16,3,10,9
9,73,100,63,81,0,1
100,0,0,39,44,98,0
60,61,36,0,100,3,2
89,86,61,5,0,11,3
80,70,54,13,0,6,3
56,88,63,12,100,0,2
68,47,35,2,100,0,2
90,21,0,88,9,59,0
97,55,100,9,0,34,9
91,0,0,67,30,73,0
88,100,69,10,0,6,3
100,59,0,75,100,98,5
93,70,34,32,100,53,7
100,0,48,84,19,0,4
77,100,100,63,59,0,9
81,73,46,19,100,48,7
100,0,30,65,23,0,4
81,0,68,54,51,0,9
100,0,26,5,1,12,6
68,20,24,88,100,100,5
99,0,56,66,6,0,4
90,29,47,33,88,0,4
96,26,70,19,0,16,5
100,11,39,68,60,0,4
85,73,38,4,100,0,2
100,81,0,55,100,99,5
97,78,46,31,100,54,7
96,78,0,72,100,95,5
83,73,7,51,100,100,5
71,90,43,22,100,0,2
100,70,33,37,100,46,7
0,77,65,100,87,48,9
100,15,35,0,45,29,6
100,0,52,56,23,0,4
63,75,100,48,58,0,1
80,47,0,80,100,95,5
85,74,34,31,100,46,7
68,89,90,45,13,0,1
77,57,37,3,100,0,2
100,51,0,82,100,96,5
90,0,60,22,8,12,5
74,96,93,47,0,0,1
100,59,54,15,11,0,3
73,100,0,69,2,72,8
93,43,72,26,0,0,5
79,100,54,13,49,3,2
60,71,58,0,100,8,1
90,14,41,28,0,0,6
42,52,100,52,22,0,1
75,100,92,35,0,0,5
92,58,0,51,32,100,8
40,67,100,53,45,0,1
81,100,53,6,95,0,2
43,68,100,49,25,0,1
77,29,7,89,12,73,0
100,100,59,0,80,34,7
88,100,66,0,48,33,7
61,100,90,46,0,0,1
83,0,36,15,98,91,8
17,61,100,64,68,0,1
86,49,38,4,0,27,6
94,35,11,100,0,49,0
87,65,0,75,100,100,5
100,11,46,70,70,0,4
85,38,100,45,0,0,9
90,37,3,64,100,100,5
89,100,69,19,0,0,3
100,59,0,52,22,91,8
64,100,67,0,72,42,7
55,100,88,37,86,0,1
75,99,64,27,0,0,3
100,6,47,73,95,0,4
22,70,100,60,27,0,1
93,12,0,70,26,78,0
100,95,96,64,58,0,9
100,27,30,11,9,64,6
61,55,60,28,0,1,9
90,81,72,29,7,0,3
71,70,38,16,100,0,2
75,29,0,73,17,94,0
77,0,98,67,90,0,9
75,74,25,15,100,8,2
96,56,33,32,100,52,7
78,28,68,30,0,9,9
65,33,76,33,0,0,9
100,0,40,44,57,0,4
97,65,14,54,100,100,5
76,63,72,37,0,21,9
85,77,65,19,24,0,3
96,100,0,53,41,100,8
84,100,63,8,0,2,3
91,80,0,57,100,100,5
100,0,42,78,45,0,4
100,0,25,15,10,33,6
