@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R7,9-10,12,16-17'

@attribute At7 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At12 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
29,15,15,0,6,2
34,79,47,13,2,5
51,100,42,13,7,3
82,100,0,14,94,8
100,79,74,48,0,4
36,85,23,69,74,0
91,72,60,40,0,1
36,95,16,0,67,8
17,43,0,19,39,6
53,34,0,23,42,7
1,39,0,9,3,6
71,62,17,0,37,7
42,87,26,71,84,0
13,0,33,57,100,8
43,29,32,66,89,8
84,0,7,53,78,8
0,48,0,19,81,0
17,7,71,68,0,9
100,71,75,50,0,1
36,76,58,24,0,5
74,100,79,85,0,4
74,49,0,10,35,7
62,100,33,74,83,0
40,71,64,45,0,9
13,86,34,84,9,0
1,32,0,19,48,6
43,0,21,19,20,2
23,72,53,21,6,5
50,52,23,2,0,1
100,83,74,47,0,1
100,84,31,0,34,7
85,58,0,14,74,8
14,0,3,0,7,2
56,100,57,78,0,4
66,7,19,33,0,2
19,2,0,29,88,8
61,100,44,100,36,0
52,22,0,22,52,7
100,62,99,81,0,4
84,70,0,35,100,8
4,43,0,10,25,6
53,91,23,63,100,0
60,10,19,31,0,2
47,84,44,17,9,3
89,100,95,63,0,9
54,78,0,6,8,1
0,35,0,7,19,6
59,93,44,16,3,3
54,88,43,10,6,3
6,37,47,25,2,5
72,56,16,0,50,7
55,1,0,46,92,5
51,38,0,20,32,7
90,66,15,0,41,7
24,70,41,57,0,4
50,47,50,19,12,5
41,82,26,72,92,0
16,58,0,16,9,6
22,80,99,62,0,9
69,34,20,0,0,2
35,33,55,29,11,5
76,60,8,0,26,7
80,24,0,50,100,5
0,43,52,24,8,5
26,4,4,0,5,1
34,67,0,7,76,8
81,100,75,64,0,4
22,4,24,63,100,5
7,64,0,31,11,6
39,88,16,56,100,0
86,70,44,20,0,3
53,85,40,14,0,3
0,36,0,12,24,6
46,26,0,51,99,8
0,20,0,1,26,6
43,16,15,62,100,5
60,100,48,28,0,3
52,100,81,60,0,4
17,8,5,0,12,6
85,44,11,0,3,2
62,44,15,0,5,1
64,92,56,18,5,9
44,72,0,16,87,8
66,31,12,3,0,2
76,60,61,40,0,1
49,66,0,25,91,8
8,4,39,81,98,5
64,51,0,34,37,7
49,0,35,16,0,2
20,0,30,62,100,8
87,87,71,47,0,1
43,87,16,61,96,0
55,100,43,13,8,3
0,21,0,1,14,6
51,29,22,0,9,2
57,97,50,100,59,0
57,70,39,22,0,3
59,87,75,47,5,9
56,100,43,70,0,4
80,100,59,100,53,0
91,100,69,42,0,9
47,85,76,38,0,9
74,37,43,20,0,2
39,15,26,11,0,2
87,53,42,27,0,3
60,50,0,3,37,7
100,43,9,50,100,8
11,0,11,0,35,6
2,63,46,79,74,8
0,1,42,75,91,8
92,100,80,53,0,1
83,59,60,40,0,1
58,78,41,11,20,3
72,48,50,31,0,3
19,0,14,15,12,2
49,76,52,23,2,9
10,70,70,50,0,9
17,51,0,14,27,6
100,22,0,45,94,8
13,59,0,15,23,6
98,98,9,0,2,1
37,7,18,12,0,2
0,43,0,6,31,6
70,28,13,4,0,2
7,49,0,14,12,6
51,100,75,62,0,4
32,13,13,32,46,7
88,73,38,7,4,1
41,81,0,3,74,8
43,54,0,24,82,8
0,67,9,38,0,6
29,100,37,59,0,4
44,100,66,35,0,9
45,99,43,63,0,4
13,71,1,35,3,6
36,63,0,3,62,8
66,0,9,49,100,8
50,98,63,63,0,4
0,48,5,20,0,6
38,79,85,55,0,9
14,75,68,78,0,9
48,16,18,0,10,2
6,40,0,13,41,6
53,91,45,17,2,3
44,90,22,66,88,0
84,100,57,100,44,0
59,100,43,10,7,3
56,13,2,19,0,2
64,100,41,11,10,3
57,48,10,1,1,1
100,67,74,50,0,1
15,66,2,28,19,6
89,100,75,100,63,0
49,16,23,0,7,2
71,42,24,0,10,2
21,73,0,38,100,0
100,89,75,50,0,1
75,83,0,2,68,8
69,100,35,11,8,3
7,25,53,43,0,5
52,94,29,71,86,0
92,100,60,98,60,0
32,34,25,0,5,1
65,69,43,22,0,3
36,11,24,62,100,5
48,90,49,30,0,3
3,41,0,14,60,6
63,95,94,51,0,9
43,26,0,33,61,7
28,100,61,54,0,4
75,35,0,22,78,8
29,0,27,75,99,5
60,16,13,22,0,2
28,0,14,56,96,8
99,100,68,100,56,0
100,90,56,23,12,9
46,40,15,1,0,1
29,88,28,45,0,4
46,100,38,51,0,4
50,100,42,64,0,4
100,80,75,51,0,1
46,81,65,27,0,9
45,5,41,0,46,8
57,24,11,8,0,2
68,100,58,54,0,4
100,81,74,45,0,9
14,61,0,19,8,6
59,70,0,15,82,8
38,67,6,0,84,8
73,100,75,46,0,9
59,82,41,15,5,3
38,8,13,0,0,2
68,59,9,1,3,1
63,35,41,21,6,3
73,100,50,93,73,0
6,0,54,68,0,9
50,95,22,64,86,0
0,38,34,36,0,4
100,94,81,86,0,4
61,24,26,15,0,2
23,6,28,64,85,8
67,54,18,0,40,7
100,95,66,44,0,7
56,30,0,1,6,1
72,100,57,64,0,4
30,10,35,79,100,5
63,100,67,23,3,9
39,78,25,65,100,0
59,100,34,79,67,0
10,62,0,37,92,0
64,11,10,55,100,5
62,19,0,50,100,5
0,33,30,34,0,4
0,4,45,90,100,5
58,100,44,11,8,3
12,54,4,24,0,6
0,7,1,0,18,6
59,0,10,44,94,8
88,25,0,24,81,8
56,41,19,0,36,7
76,52,8,0,31,7
94,3,15,50,100,8
63,33,66,33,0,5
58,28,0,15,88,8
50,36,48,31,0,1
86,100,49,95,62,0
0,30,34,63,76,8
30,70,14,43,90,0
34,36,57,68,0,9
4,51,42,48,0,4
0,7,36,70,100,5
7,0,42,84,100,5
52,100,72,61,0,4
28,89,52,27,0,3
21,63,45,12,3,5
53,71,29,0,47,8
45,0,27,59,97,8
100,100,60,32,0,9
100,58,0,28,98,8
66,51,30,8,1,2
3,28,38,72,80,8
76,100,62,100,57,0
59,100,71,25,12,9
15,54,0,19,35,6
44,14,15,0,11,2
93,100,50,87,68,0
95,100,72,94,0,4
33,100,42,68,0,4
43,55,17,0,1,1
7,0,30,72,100,5
83,47,17,0,4,2
39,21,25,5,0,2
57,100,57,55,0,4
66,37,11,3,0,2
64,34,15,0,30,7
57,100,50,66,0,4
100,96,81,54,0,1
64,100,83,55,0,4
0,38,0,4,1,6
95,100,91,61,0,1
47,81,43,15,4,3
0,62,16,35,0,4
70,91,48,27,0,3
0,15,73,62,0,9
21,67,50,16,28,8
40,3,10,22,0,2
50,63,60,36,0,3
0,20,41,64,95,8
82,64,51,26,3,3
49,87,47,19,1,3
32,0,5,0,14,2
59,0,17,54,100,8
76,16,0,48,95,5
66,100,30,75,77,0
28,0,9,63,98,5
28,42,52,35,0,5
47,100,48,20,0,3
9,0,6,0,21,6
100,91,91,62,0,1
33,0,20,71,96,5
18,67,0,36,98,0
100,66,55,27,2,3
13,59,0,24,31,6
17,83,18,43,0,4
17,2,34,64,99,8
44,1,23,13,0,2
68,77,40,13,4,3
79,16,0,33,98,8
78,68,0,33,53,8
47,90,26,68,79,0
67,28,0,14,35,7
18,0,12,1,2,2
46,0,11,57,100,5
0,60,32,51,0,4
88,81,66,43,0,1
100,92,75,100,66,0
35,0,20,69,100,5
