@relation penbased

@attribute At5 numeric
@attribute At10 numeric
@attribute At15 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
25,39,0,68,0
29,58,0,40,0
0,6,36,100,0
45,52,16,83,0
15,38,0,75,0
11,35,9,69,0
0,22,30,100,0
16,29,0,90,0
42,41,8,70,0
44,75,1,31,0
19,100,14,13,0
40,61,0,60,0
0,12,20,99,0
38,55,9,74,0
16,40,0,73,0
22,29,0,74,0
0,4,40,100,0
0,26,21,87,0
20,15,40,100,0
41,63,4,28,0
14,37,0,66,0
0,31,22,44,0
19,29,32,79,0
16,0,53,89,0
0,14,36,100,0
26,52,3,67,0
12,11,42,99,0
0,30,19,81,0
40,62,0,84,0
33,65,32,20,0
9,31,0,81,0
0,15,69,100,0
0,0,76,99,0
5,49,13,30,0
0,15,18,100,0
68,75,0,22,0
10,25,19,87,0
0,26,17,92,0
0,0,63,80,0
0,20,31,83,0
21,45,21,68,0
14,31,16,84,0
0,27,5,82,0
71,71,0,63,0
0,29,21,76,0
0,20,39,98,0
22,48,1,33,0
0,0,57,100,0
0,25,7,87,0
0,12,26,94,0
16,32,5,78,0
0,29,4,84,0
23,34,0,83,0
0,29,26,68,0
16,46,14,67,0
0,0,42,100,0
8,29,14,78,0
5,29,35,75,0
46,62,0,55,0
0,0,34,92,0
12,4,94,67,0
0,0,42,100,0
0,7,33,85,0
0,18,48,95,0
39,54,26,65,0
13,0,68,91,0
5,24,0,100,0
69,84,0,22,0
0,23,31,83,0
52,75,42,22,0
0,0,85,100,0
17,29,4,87,0
24,41,0,77,0
54,81,0,48,0
9,30,4,83,0
11,47,31,30,0
0,14,25,99,0
1,15,26,81,0
14,30,14,98,0
6,17,27,100,0
0,34,20,60,0
0,0,3,89,0
0,17,0,89,0
15,47,7,67,0
16,40,0,57,0
0,18,31,100,0
39,61,0,64,0
0,35,18,70,0
0,23,19,74,0
24,0,91,75,0
0,8,43,88,0
40,44,0,87,0
0,15,20,100,0
0,12,62,100,0
26,42,14,87,0
0,14,17,72,0
0,37,20,56,0
14,41,10,59,0
32,47,2,66,0
10,24,0,91,0
11,30,11,92,0
0,0,66,100,0
10,31,0,83,0
0,4,21,97,0
29,95,6,21,0
16,32,14,73,0
41,50,0,77,0
51,57,0,43,0
11,19,30,92,0
23,0,89,90,0
13,30,13,86,0
0,21,9,88,0
0,0,16,71,0
0,0,32,89,0
13,44,13,56,0
7,33,0,83,0
41,58,0,51,0
0,24,15,76,0
18,52,43,5,0
39,79,23,21,0
58,65,0,60,0
0,9,43,100,0
0,9,23,89,0
39,43,0,71,0
30,59,0,53,0
8,47,7,67,0
0,16,28,89,0
0,28,8,86,0
0,6,49,100,0
40,65,15,50,0
37,63,0,43,0
0,0,43,100,0
0,20,39,97,0
20,15,0,78,0
20,33,16,75,0
18,35,0,83,0
29,40,0,65,0
0,0,14,69,0
14,85,0,0,0
47,50,0,68,0
26,41,21,65,0
0,0,44,98,0
22,24,5,100,0
0,13,32,100,0
30,54,7,50,0
23,39,23,71,0
0,4,32,92,0
25,59,0,71,0
0,16,25,89,0
16,57,0,44,0
0,0,64,96,0
17,25,21,86,0
0,25,19,98,0
54,66,0,52,0
51,70,0,58,0
18,0,57,89,0
0,17,33,91,0
12,19,32,97,0
8,26,20,88,0
43,28,78,61,0
19,36,0,73,0
0,0,67,100,0
2,19,55,100,0
0,6,49,70,0
15,28,2,92,0
34,13,85,61,0
0,4,69,100,0
34,64,22,25,0
32,60,0,62,0
1,100,36,7,0
31,60,3,51,0
32,41,0,66,0
0,23,31,93,0
0,57,38,25,0
0,1,5,67,0
42,100,30,28,0
58,81,0,59,0
30,49,0,61,0
25,47,10,52,0
42,56,0,73,0
0,18,13,69,0
2,31,9,83,0
35,58,0,49,0
0,6,47,91,0
0,0,67,97,0
26,42,0,75,0
48,74,0,43,0
1,21,15,92,0
0,11,34,97,0
0,14,47,90,0
0,5,50,88,0
79,60,27,74,0
52,65,0,65,0
0,11,64,93,0
25,35,8,86,0
33,38,0,80,0
0,31,18,62,0
60,75,0,63,0
4,33,16,72,0
57,74,1,26,0
43,65,10,41,0
0,8,47,100,0
35,56,0,84,0
29,26,17,94,0
15,31,8,78,0
0,8,37,99,0
0,0,88,97,0
0,7,43,100,0
11,44,14,70,0
0,22,21,88,0
21,41,9,59,0
0,26,15,80,0
7,76,24,44,0
0,1,30,100,0
0,19,15,94,0
14,36,0,59,0
16,34,5,85,0
40,62,11,53,0
33,57,0,46,0
0,18,27,99,0
32,69,9,19,0
1,20,36,100,0
10,0,22,100,0
0,34,12,77,0
0,22,24,100,0
0,0,76,91,0
12,35,0,60,0
0,12,41,100,0
0,30,23,64,0
0,25,1,88,0
9,25,20,87,0
16,35,3,84,0
41,61,14,58,0
4,27,18,86,0
0,28,18,66,0
13,24,0,88,0
81,100,0,0,0
32,57,0,60,0
0,0,77,99,0
30,60,7,28,0
1,25,20,84,0
8,44,0,55,0
21,47,0,75,0
10,31,0,70,0
8,35,0,83,0
9,22,0,68,0
55,77,0,40,0
0,11,23,85,0
18,11,45,100,0
39,43,0,70,0
8,58,13,25,0
8,0,79,100,0
29,37,17,72,0
0,33,8,57,0
0,17,42,86,0
4,29,10,86,0
0,17,24,91,0
14,24,19,73,0
2,23,23,84,0
10,26,23,81,0
0,23,19,89,0
0,3,61,100,0
31,49,0,72,0
9,24,39,97,0
0,29,16,71,0
42,56,0,73,0
14,25,27,100,0
7,44,7,36,0
9,44,0,73,0
16,30,25,94,0
13,30,3,77,0
5,0,85,97,0
0,1,77,100,0
0,0,51,77,0
24,44,3,71,0
18,33,0,72,0
13,22,34,98,0
60,78,0,51,0
57,72,1,31,0
51,72,0,52,0
22,43,7,48,0
33,38,0,74,0
15,0,75,88,0
14,29,3,91,0
4,18,10,89,0
6,52,6,32,0
21,37,5,71,0
60,71,0,63,0
0,16,51,100,0
9,36,39,60,0
7,31,0,61,0
21,35,25,81,0
4,24,5,95,0
0,100,40,0,0
0,18,25,100,0
0,13,26,85,0
14,23,19,91,0
0,24,30,85,0
10,26,7,89,0
7,16,28,96,0
19,30,0,66,0
0,25,18,85,0
0,0,47,92,0
0,5,57,93,0
0,23,44,91,0
4,8,26,91,0
4,23,16,87,0
0,12,54,93,0
0,14,17,84,0
0,6,45,88,0
12,56,0,41,0
11,22,15,77,0
49,60,8,60,0
1,24,21,70,0
56,68,0,56,0
0,0,48,88,0
34,58,0,68,0
62,88,11,17,0
42,58,0,62,0
6,13,0,88,0
0,16,48,100,0
0,4,24,98,0
0,0,79,93,0
17,35,2,78,0
0,17,26,76,0
40,67,29,24,0
13,33,0,82,0
0,0,39,100,0
0,0,56,78,0
9,0,90,85,0
12,36,1,79,0
0,0,40,92,0
17,43,21,63,0
22,35,13,51,0
5,20,0,96,0
22,49,17,41,0
34,67,0,24,0
0,0,54,100,0
66,100,0,0,0
0,22,11,75,0
0,20,17,74,0
87,84,2,46,0
0,24,16,80,0
0,0,8,91,0
66,59,0,78,0
0,9,42,100,0
0,22,18,86,0
5,0,82,100,0
35,47,2,76,0
63,80,18,16,0
0,22,17,83,0
1,0,68,99,0
65,72,0,61,0
31,46,3,58,0
0,0,73,100,0
0,27,12,85,0
0,22,17,84,0
