@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R7,9-10,14,17'

@attribute At7 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
26,0,23,90,8
17,0,16,16,6
87,84,12,22,7
70,32,48,0,2
50,1,17,98,5
26,77,6,89,0
100,71,82,27,4
60,25,12,6,2
52,32,57,1,5
65,82,47,0,9
24,68,44,25,4
23,5,35,97,5
70,0,73,47,9
59,68,33,0,3
42,93,72,7,9
95,100,85,28,1
0,40,28,22,4
20,1,25,87,5
85,85,74,24,1
9,0,41,95,5
75,41,25,1,2
47,92,44,0,3
5,53,0,30,6
77,100,36,0,3
38,8,30,90,8
79,37,62,0,8
53,98,34,100,0
81,69,0,64,8
74,100,43,100,0
60,31,19,13,2
100,85,55,8,2
6,36,56,0,8
37,60,53,0,5
65,100,45,0,3
51,32,0,39,7
34,0,16,10,2
57,9,3,6,2
12,67,0,83,0
0,47,0,37,6
69,72,49,0,1
33,5,28,2,2
73,100,37,0,3
0,8,0,31,6
16,6,6,29,6
82,100,54,100,0
50,0,20,98,5
95,76,65,22,1
87,56,56,12,3
19,53,61,2,5
47,100,9,41,8
65,37,8,24,7
54,24,18,8,2
29,71,55,20,4
100,91,48,15,1
73,100,55,0,9
59,100,64,32,4
23,96,48,39,4
1,67,10,33,6
24,75,3,86,0
100,98,74,22,1
41,11,3,9,2
93,89,64,6,9
100,95,75,87,0
0,70,92,0,9
92,100,84,28,4
10,60,53,0,5
20,79,66,31,9
88,100,43,100,0
85,22,12,100,8
85,85,25,0,3
69,38,19,6,2
15,26,0,34,6
0,26,0,22,6
4,0,51,100,5
100,49,0,68,8
91,7,18,92,8
41,0,13,0,2
0,57,0,44,6
65,90,36,0,3
50,94,40,0,3
5,50,0,34,6
50,24,12,3,2
4,77,36,25,4
66,63,29,4,1
63,26,0,31,7
45,38,0,47,8
68,28,10,14,2
100,72,75,25,1
59,30,9,0,2
89,100,80,26,1
70,61,0,32,7
75,46,36,0,3
10,71,26,31,4
80,14,0,78,8
27,45,81,10,9
59,80,38,1,5
0,12,15,27,6
12,66,0,34,6
61,86,48,0,9
89,100,61,100,0
70,94,39,0,3
43,100,39,34,4
83,100,70,0,9
77,100,44,100,0
67,100,33,100,0
73,70,39,1,3
68,48,0,34,7
5,0,35,99,5
33,80,8,92,0
100,84,62,21,7
6,0,25,89,5
19,0,18,100,5
94,100,80,27,1
0,14,0,33,6
82,100,36,0,3
37,0,12,2,2
26,88,85,1,9
65,100,86,32,4
61,6,0,93,5
18,31,7,18,6
94,86,66,11,9
12,64,70,15,5
69,52,0,66,8
24,74,23,79,0
50,69,6,30,8
67,55,49,6,3
50,92,44,0,3
18,57,30,24,4
30,74,33,39,4
58,100,57,26,4
93,0,0,77,8
85,47,18,33,7
54,26,30,0,2
56,52,30,0,1
38,0,0,20,2
62,100,47,83,0
18,60,23,30,4
54,21,20,4,2
29,6,28,94,5
21,98,78,32,9
0,45,0,36,6
57,100,54,30,4
29,60,59,4,5
45,39,0,57,8
54,100,49,33,4
56,75,43,0,3
85,100,88,27,1
98,80,0,69,8
