@relation penbased

@attribute At5 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At13 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
24,10,98,58,86,0
28,7,100,32,65,0
24,7,100,40,71,0
0,0,75,72,74,0
0,0,93,55,84,0
0,10,60,100,90,0
3,0,94,64,90,0
36,3,100,34,63,0
0,0,66,93,93,0
0,0,86,76,93,0
0,0,87,73,100,0
26,0,100,42,75,0
0,0,66,100,93,0
0,0,74,88,89,0
48,24,100,6,31,0
50,0,100,39,87,0
11,0,98,61,85,0
22,3,100,30,66,0
4,0,89,74,100,0
26,1,100,16,58,0
0,6,88,48,44,0
0,14,62,100,100,0
60,31,100,32,63,0
2,0,80,82,100,0
0,0,87,61,84,0
28,14,100,18,64,0
30,5,100,22,50,0
12,0,100,42,60,0
0,0,70,84,100,0
15,0,100,53,92,0
33,19,100,54,83,0
13,0,100,45,77,0
17,0,100,64,93,0
10,0,100,50,83,0
0,0,62,100,100,0
1,0,80,86,100,0
12,1,88,72,91,0
47,14,100,34,78,0
17,41,20,100,74,0
20,0,65,56,78,0
0,0,83,76,95,0
9,0,100,56,60,0
31,13,100,28,39,0
16,8,100,49,75,0
42,43,95,49,28,0
11,0,100,28,30,0
0,0,93,48,70,0
35,11,100,25,49,0
10,0,95,55,81,0
28,2,100,48,73,0
16,1,95,70,94,0
1,5,86,58,86,0
0,0,82,63,92,0
0,0,81,76,88,0
0,0,97,51,60,0
0,0,87,64,88,0
0,0,70,87,90,0
0,17,58,100,96,0
17,0,100,51,86,0
10,0,89,76,96,0
38,10,100,31,60,0
45,14,100,49,83,0
34,59,0,79,61,0
13,13,100,3,29,0
9,0,69,54,68,0
0,0,89,55,73,0
0,0,80,80,89,0
22,4,100,47,75,0
0,4,75,79,100,0
5,32,34,100,97,0
0,0,63,100,100,0
0,0,97,77,100,0
20,0,100,53,75,0
47,10,100,19,59,0
4,0,100,43,57,0
0,0,66,94,84,0
31,0,100,42,79,0
0,0,100,57,30,0
10,2,42,100,100,0
14,23,100,47,0,0
31,26,100,7,32,0
0,0,72,87,86,0
0,0,81,73,82,0
0,0,73,92,95,0
0,1,85,85,84,0
0,0,61,67,67,0
0,0,83,61,75,0
0,0,68,93,90,0
0,13,57,100,100,0
19,0,99,65,81,0
0,19,51,100,94,0
23,0,100,39,69,0
0,0,92,64,100,0
0,0,79,85,100,0
0,24,45,100,100,0
0,0,84,71,100,0
1,0,91,64,92,0
0,0,82,75,100,0
11,5,100,49,69,0
0,27,42,100,90,0
10,0,100,51,91,0
0,0,90,66,88,0
0,0,71,100,97,0
2,10,46,100,100,0
25,22,100,40,71,0
41,31,100,30,20,0
0,0,73,97,100,0
21,8,100,32,66,0
0,17,59,100,100,0
0,0,74,94,100,0
72,29,92,26,66,0
56,29,97,8,55,0
17,0,100,29,52,0
51,28,100,0,52,0
21,0,100,19,28,0
0,0,81,76,100,0
2,0,100,10,20,0
0,0,73,75,93,0
7,0,100,50,69,0
16,0,100,48,78,0
10,8,58,66,100,0
9,0,100,18,28,0
49,18,100,20,57,0
0,0,72,100,82,0
0,24,46,100,97,0
12,33,30,94,93,0
0,2,73,87,100,0
42,0,100,37,70,0
0,0,71,100,95,0
26,43,88,61,11,0
2,0,86,74,97,0
18,0,100,34,5,0
20,0,100,49,77,0
55,24,100,36,39,0
0,0,82,69,86,0
3,32,39,100,84,0
0,0,77,86,98,0
0,1,67,100,92,0
40,22,100,24,50,0
51,21,100,22,55,0
22,0,100,51,100,0
0,6,66,100,78,0
25,39,27,100,83,0
62,22,95,14,57,0
18,8,93,58,79,0
0,0,73,84,99,0
22,5,100,47,68,0
4,0,100,47,72,0
25,15,100,15,25,0
0,0,91,60,84,0
21,8,100,54,68,0
0,0,88,57,67,0
15,1,98,58,90,0
0,0,77,86,97,0
0,0,79,81,100,0
1,0,99,63,75,0
8,0,100,27,54,0
0,0,89,60,84,0
20,0,99,61,85,0
0,0,58,96,96,0
35,5,100,37,76,0
73,50,89,11,25,0
44,15,100,25,48,0
13,0,99,61,80,0
12,5,47,86,100,0
0,14,100,51,37,0
66,47,89,6,0,0
0,0,83,57,75,0
28,15,100,44,84,0
29,54,61,75,21,0
39,20,100,30,65,0
37,13,100,41,61,0
31,0,100,44,87,0
0,0,74,81,99,0
15,10,100,14,36,0
0,0,85,61,86,0
17,0,100,36,69,0
30,8,100,24,61,0
19,0,100,66,93,0
40,12,100,31,67,0
0,4,69,91,99,0
0,0,75,73,91,0
34,17,100,25,45,0
0,0,82,64,8,0
27,0,100,30,53,0
44,23,100,15,52,0
31,0,100,23,52,0
19,0,100,39,73,0
16,2,100,50,84,0
0,6,69,100,98,0
0,7,62,100,86,0
46,11,100,26,61,0
9,0,91,64,94,0
26,1,100,24,29,0
45,27,100,24,47,0
10,0,100,50,87,0
0,0,89,66,76,0
55,23,100,23,54,0
0,0,95,52,86,0
22,17,100,33,56,0
0,0,79,67,73,0
10,0,100,46,74,0
2,0,91,70,96,0
0,0,74,79,92,0
9,0,100,52,83,0
49,19,100,19,59,0
21,0,100,29,67,0
44,18,100,26,60,0
0,0,80,86,100,0
10,0,100,41,75,0
3,0,88,71,96,0
0,0,69,84,85,0
2,0,86,73,85,0
79,58,59,79,74,0
38,4,100,24,62,0
7,0,75,99,95,0
0,17,55,100,95,0
0,0,76,78,80,0
5,0,100,53,66,0
13,0,100,48,80,0
35,19,100,21,24,0
12,15,100,34,41,0
41,9,100,29,51,0
0,0,88,68,84,0
17,28,36,100,88,0
6,0,82,62,88,0
9,0,100,50,68,0
20,16,100,0,15,0
18,22,42,100,89,0
0,0,90,60,83,0
0,1,70,85,100,0
0,11,64,94,99,0
14,0,100,41,59,0
0,0,73,76,88,0
0,0,97,64,88,0
27,50,61,68,8,0
6,0,95,71,86,0
14,0,100,39,66,0
29,4,100,47,72,0
7,0,100,29,36,0
11,0,100,49,76,0
1,0,100,34,51,0
10,0,100,56,89,0
21,0,100,37,59,0
1,10,46,100,99,0
0,0,69,90,97,0
0,0,77,82,94,0
0,0,76,88,91,0
0,0,79,99,100,0
0,0,95,50,44,0
20,0,100,61,75,0
11,10,84,67,82,0
0,0,100,20,28,0
0,0,71,78,100,0
10,24,48,97,81,0
0,0,58,100,100,0
2,0,92,60,83,0
22,12,100,43,58,0
0,0,76,89,85,0
0,0,84,82,100,0
0,0,89,65,88,0
0,0,75,89,100,0
11,9,95,54,70,0
28,8,100,54,75,0
0,30,33,100,86,0
13,9,97,58,77,0
18,6,88,83,100,0
11,0,100,49,69,0
3,0,100,52,84,0
32,1,100,36,65,0
0,0,64,91,100,0
0,0,67,91,100,0
22,0,89,78,89,0
6,0,87,79,73,0
0,0,80,79,94,0
25,55,11,100,68,0
14,3,100,14,33,0
49,18,100,45,77,0
16,0,100,55,73,0
8,12,90,57,80,0
49,23,100,25,67,0
4,0,98,55,71,0
0,0,78,77,78,0
0,0,100,41,57,0
26,8,100,36,69,0
13,0,100,28,67,0
0,13,64,95,100,0
4,0,100,34,46,0
0,0,84,55,95,0
3,0,97,62,81,0
46,20,100,31,55,0
19,7,100,12,32,0
0,0,90,71,98,0
20,0,100,54,76,0
61,25,96,10,42,0
0,0,72,88,100,0
0,0,81,77,89,0
30,21,72,87,99,0
