@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R5,8-9,13,16-17'

@attribute At5 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At13 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
5,45,86,74,0,4
100,80,60,33,0,1
88,0,21,100,85,8
6,11,70,44,21,6
77,50,78,56,5,3
100,43,50,15,37,7
100,80,59,10,0,1
50,0,0,49,100,5
74,41,13,50,0,2
100,64,36,9,42,7
67,100,94,68,0,1
21,87,100,37,0,9
62,86,77,83,0,1
12,0,100,48,53,0
49,48,0,75,27,6
48,98,100,39,0,9
0,0,60,100,89,0
96,61,88,51,3,3
85,40,88,100,49,7
0,0,77,82,100,0
15,100,100,36,0,9
31,15,100,40,67,0
44,21,63,87,91,8
75,57,58,8,0,1
65,0,9,49,91,5
22,0,0,100,97,8
0,0,78,94,100,0
93,51,33,49,16,2
90,0,22,72,72,8
100,71,63,49,7,3
100,51,95,50,1,3
100,42,33,54,72,8
73,0,0,42,100,5
100,62,48,18,38,7
0,37,69,80,0,4
47,20,0,66,0,2
65,63,40,51,0,2
59,52,46,56,1,2
0,0,70,91,100,0
18,27,66,46,71,8
65,34,0,51,0,2
69,31,0,52,4,2
15,0,100,53,78,0
30,41,0,59,25,6
98,87,68,81,0,9
100,72,52,52,0,3
0,38,95,83,0,4
33,59,100,87,0,4
26,15,33,81,28,6
16,27,40,95,89,0
52,80,6,100,0,9
100,38,28,0,34,7
62,64,47,30,3,1
82,40,70,45,50,7
100,95,60,12,0,1
100,57,33,53,0,2
80,50,94,41,17,3
0,57,100,37,0,4
97,0,0,100,94,8
96,55,93,51,11,3
92,81,45,0,38,8
64,69,53,48,0,5
100,64,79,39,0,3
30,39,6,54,10,6
100,100,0,75,0,9
91,47,95,36,9,3
92,0,45,95,80,8
80,48,33,48,3,2
34,13,100,34,76,0
100,48,53,0,33,7
43,70,56,61,0,5
50,0,4,44,100,5
8,55,69,74,0,9
100,100,24,87,41,8
100,71,66,40,0,3
87,39,24,51,0,2
23,30,9,60,25,6
100,100,34,57,22,8
33,18,63,47,20,6
18,53,42,47,0,5
92,85,81,40,0,1
0,0,99,71,85,0
100,69,76,45,9,3
11,80,19,21,12,1
0,40,100,52,0,4
86,86,58,60,1,5
100,76,76,47,0,3
94,0,9,18,100,5
21,0,100,63,93,0
2,0,86,75,81,0
55,37,0,62,0,2
44,27,37,72,91,8
0,28,100,70,0,4
56,53,0,51,0,2
50,0,0,100,100,8
40,74,53,51,0,9
0,68,97,72,0,9
88,78,24,48,0,5
26,36,0,51,31,6
32,52,63,34,13,1
14,0,100,62,91,0
0,30,77,87,0,4
80,67,71,54,0,3
100,40,55,9,31,7
3,47,100,77,0,4
0,42,100,52,0,4
66,100,100,49,20,9
0,0,69,92,90,0
77,43,88,21,52,0
70,30,26,59,54,7
28,100,62,24,0,1
6,38,69,92,0,4
90,93,69,23,0,1
74,36,15,35,43,7
2,0,98,58,99,0
73,57,60,62,0,3
63,39,15,58,0,2
54,72,60,66,6,2
50,49,6,46,20,6
82,56,100,38,6,3
62,100,87,50,0,1
0,26,48,98,71,8
100,74,44,50,0,3
11,78,100,38,15,9
29,29,0,67,0,2
0,23,48,62,25,6
19,34,11,84,17,6
0,30,100,73,0,4
76,99,87,39,0,1
80,98,80,38,0,1
56,35,36,67,24,6
75,100,71,18,0,1
13,31,35,79,52,6
81,53,39,49,0,2
43,44,0,60,35,6
48,52,12,56,0,2
99,100,21,96,0,9
36,1,100,41,86,0
95,39,32,48,0,2
13,45,100,23,0,4
20,32,20,100,34,6
0,33,100,73,0,4
83,48,53,42,2,1
52,76,39,52,0,9
52,0,0,38,100,5
75,100,70,25,0,1
41,55,46,45,5,1
94,49,43,47,14,2
59,23,42,65,64,7
0,44,100,61,0,4
64,76,22,56,0,5
43,0,0,56,100,5
91,80,75,90,0,3
97,0,7,100,93,8
88,77,72,58,0,5
22,100,86,48,24,9
0,51,100,74,0,4
27,43,8,53,6,1
70,67,70,80,0,1
79,28,0,58,0,2
74,0,0,31,98,5
63,100,97,68,0,1
39,4,6,39,98,5
100,90,0,85,0,9
100,72,8,93,34,8
57,0,0,48,94,5
67,47,12,50,22,2
100,80,56,6,0,1
22,99,91,67,12,9
73,53,100,38,5,3
39,0,8,57,100,5
21,39,100,72,0,4
22,0,100,8,36,0
74,40,17,55,0,2
100,74,74,31,2,1
73,53,0,58,0,2
66,1,10,29,100,5
100,45,38,23,44,7
94,89,29,100,38,8
100,95,74,74,0,1
72,61,100,33,20,3
60,3,34,74,58,8
0,65,100,83,0,9
4,15,49,66,28,6
0,29,95,61,0,4
74,57,67,51,0,3
47,35,20,44,47,7
53,58,38,51,1,1
61,100,90,50,0,1
8,27,34,42,100,8
100,76,0,90,50,8
67,61,99,54,7,3
58,77,36,73,0,5
69,82,100,41,8,9
53,0,3,100,100,8
23,35,38,25,81,8
11,27,32,100,16,6
100,58,91,0,4,1
100,61,78,40,20,3
24,0,100,21,19,0
58,37,10,62,0,2
58,99,78,83,0,1
47,32,49,53,27,6
82,43,24,50,0,2
100,52,71,52,0,3
50,38,0,62,0,2
89,59,44,48,0,2
78,31,28,3,35,7
82,71,80,40,0,2
79,62,56,65,8,3
97,100,69,13,0,1
0,44,100,84,0,4
34,28,0,67,4,2
59,53,100,53,1,3
90,64,52,60,0,3
0,40,92,91,0,4
62,67,100,36,12,3
0,0,61,99,96,0
24,0,100,45,79,0
100,84,75,63,0,1
0,0,70,88,83,0
64,66,49,22,8,1
100,46,47,10,39,7
62,36,39,50,30,7
0,0,77,70,74,0
0,27,98,71,0,4
90,36,51,24,40,7
33,57,100,64,0,9
100,60,51,33,41,7
82,56,75,0,8,1
8,11,70,26,2,6
78,0,0,100,100,8
16,47,65,61,0,4
37,19,38,65,100,8
55,13,0,38,90,5
100,43,49,32,49,7
94,93,26,100,39,8
52,53,38,50,5,1
100,35,47,0,44,7
49,84,93,57,12,9
0,44,88,89,0,4
31,28,33,44,10,6
100,50,53,51,3,3
6,35,45,85,0,4
36,29,34,37,74,8
92,72,62,89,0,3
68,100,100,63,0,1
29,100,87,63,9,9
66,39,56,41,29,7
0,42,77,5,82,8
67,43,0,64,0,2
60,85,89,40,0,9
85,64,69,67,0,3
56,57,47,45,0,1
81,75,82,54,2,3
50,46,24,50,0,1
86,54,60,56,21,7
48,0,0,38,100,5
34,17,100,34,68,0
82,53,43,43,6,2
44,20,29,49,42,7
9,22,37,89,22,6
0,51,100,49,0,4
0,100,100,53,0,9
8,23,40,100,100,0
64,41,16,50,0,2
0,20,46,68,22,6
100,87,28,72,0,5
86,52,54,51,13,3
66,100,76,26,0,1
47,0,0,50,100,5
58,100,100,55,0,1
19,49,100,67,0,4
50,38,0,62,5,2
100,57,37,0,45,7
14,36,47,35,87,8
23,9,69,46,0,6
75,36,61,49,51,7
100,84,60,45,0,5
100,66,81,52,0,3
0,58,100,87,0,9
0,0,58,100,96,0
62,24,8,11,100,5
0,5,64,57,38,6
97,65,47,39,0,2
72,35,42,49,58,7
90,59,73,56,5,3
11,32,51,80,0,4
60,51,42,68,0,2
100,33,37,67,72,8
0,9,54,62,11,6
8,27,27,100,12,6
94,0,16,27,99,5
31,13,0,60,100,5
85,46,100,41,8,3
76,63,73,60,6,3
0,0,68,87,100,0
65,89,95,50,0,7
6,22,45,55,34,6
100,54,100,51,1,3
71,39,42,47,40,7
100,85,27,57,0,5
0,56,84,85,0,9
61,100,75,33,0,1
81,36,37,7,43,7
0,31,95,73,0,4
100,67,87,41,14,3
16,17,42,61,20,6
100,55,96,0,2,1
26,43,28,96,0,4
100,55,59,26,32,7
100,55,31,7,43,7
0,40,91,69,0,4
0,52,100,76,0,4
68,55,31,61,0,2
50,81,97,88,0,1
100,0,0,92,79,8
79,49,91,52,7,3
1,25,61,65,0,4
77,42,0,51,12,2
24,21,47,53,18,6
100,85,60,15,0,1
41,76,100,56,0,9
83,39,20,51,0,2
0,100,89,85,0,9
52,91,84,27,0,3
93,92,11,100,38,8
97,100,70,13,0,1
4,29,70,94,0,4
0,0,84,74,100,0
93,42,53,17,39,7
69,52,91,52,0,3
73,83,85,33,0,7
97,35,31,25,30,7
100,88,0,72,0,9
92,52,100,39,8,3
81,40,25,5,38,7
83,66,27,43,1,2
60,42,6,51,0,2
11,49,100,62,0,4
0,100,90,80,0,9
3,22,45,60,2,6
0,0,70,89,100,0
11,0,88,72,92,0
57,68,77,29,0,7
65,63,44,36,11,2
0,42,58,85,0,4
85,38,55,36,23,7
97,49,100,41,15,3
16,67,100,53,0,4
68,100,96,56,0,1
81,31,19,29,47,7
19,31,39,56,24,6
19,63,92,54,0,5
8,19,47,47,8,6
23,0,100,31,64,0
71,56,100,37,15,3
52,0,0,50,86,5
0,42,59,84,0,4
61,100,100,86,0,1
59,100,89,46,0,1
34,82,87,49,0,9
62,91,99,52,1,9
74,38,86,39,14,1
86,64,28,84,0,3
34,18,58,39,27,6
100,82,81,50,0,1
67,48,39,50,2,1
12,0,96,59,100,0
15,68,100,51,0,9
0,0,78,84,81,0
70,80,62,48,8,3
46,35,0,88,23,2
24,67,42,67,2,5
67,0,20,43,99,5
76,100,95,76,0,1
96,35,23,51,0,2
100,0,41,82,88,8
85,82,27,100,33,8
100,60,82,42,8,3
22,36,96,93,79,8
100,98,65,35,0,1
0,37,60,82,0,4
84,5,0,11,100,5
63,39,24,50,8,1
100,92,25,36,0,5
77,0,0,100,100,8
18,66,66,49,0,9
6,34,65,88,0,4
2,0,93,67,84,0
100,76,50,77,0,3
85,45,84,52,2,3
69,51,100,47,63,9
42,96,0,54,0,9
0,64,100,55,0,4
17,28,33,60,22,6
0,5,60,100,96,0
48,54,92,61,0,3
69,90,65,31,0,7
68,68,70,53,8,3
63,100,76,32,0,1
79,100,87,65,0,1
100,96,14,90,44,8
67,100,87,56,0,1
87,32,63,29,39,7
0,22,57,94,94,0
89,63,58,71,0,3
0,79,81,59,0,9
7,65,53,80,0,9
63,0,0,48,94,5
42,19,100,25,55,0
87,39,31,50,0,2
57,0,0,28,97,5
100,70,93,51,0,3
56,6,0,63,16,2
100,83,79,60,0,1
73,100,98,74,0,1
8,46,100,64,0,4
100,61,75,26,0,3
6,39,100,34,0,4
53,55,21,57,0,2
72,98,87,72,0,1
5,0,100,55,96,0
63,84,41,26,11,1
45,52,6,65,0,2
81,46,29,50,4,2
62,91,48,51,22,8
14,29,35,53,8,6
68,100,100,85,0,1
35,32,49,39,83,8
29,0,100,36,65,0
0,31,100,65,0,4
64,43,8,48,0,2
100,64,41,11,0,2
7,28,31,71,45,6
0,36,100,95,0,4
0,64,97,76,8,9
64,91,68,67,8,9
100,37,58,69,74,8
0,36,100,89,0,4
100,64,53,41,1,3
0,69,60,84,0,0
0,64,92,92,0,9
20,0,91,77,100,0
43,48,10,56,0,2
100,80,61,11,0,1
0,32,100,90,0,4
65,98,100,41,15,9
76,36,62,3,42,7
37,72,100,53,0,4
66,44,4,49,0,2
82,33,28,13,44,7
76,0,0,33,99,5
80,100,82,59,0,1
5,0,100,27,42,0
0,0,76,79,93,0
65,9,0,51,100,5
85,92,92,74,0,1
75,0,45,36,100,5
68,39,25,50,0,2
89,52,24,50,0,2
79,56,60,56,6,3
0,32,79,99,0,4
84,84,98,46,6,9
100,80,71,56,0,1
18,34,50,46,74,8
0,10,57,51,13,6
82,94,0,83,0,9
8,0,100,48,53,0
10,16,67,48,19,6
100,52,99,38,11,3
70,81,82,57,24,9
95,48,77,48,32,7
100,40,33,1,43,7
79,0,22,25,100,5
55,78,40,73,0,9
100,33,26,0,19,7
59,80,41,62,0,9
63,61,61,36,11,5
81,100,92,78,0,1
70,85,83,61,0,9
83,61,100,45,0,3
100,100,45,73,43,8
66,34,38,46,68,7
55,0,0,46,94,5
59,100,100,67,0,1
100,48,55,0,37,7
100,58,29,21,71,8
100,85,74,52,0,1
0,46,37,72,0,4
76,67,88,57,0,5
100,70,58,51,0,3
92,0,15,100,88,8
49,0,0,37,100,5
53,100,100,53,0,1
57,0,19,100,84,8
85,63,53,74,0,3
0,24,91,76,0,4
66,22,47,55,51,7
79,47,39,49,8,2
100,42,50,36,29,7
50,35,0,65,0,2
46,35,0,63,1,2
66,79,0,92,0,5
0,59,84,56,0,4
14,50,71,89,0,4
100,82,47,58,0,5
72,9,58,56,71,8
33,12,66,47,6,6
32,54,100,76,0,4
93,75,58,56,0,3
48,19,48,68,71,8
0,34,100,58,0,4
83,39,66,55,48,7
49,55,43,72,2,2
0,20,42,77,17,6
33,36,38,96,85,0
67,100,71,73,0,1
85,46,40,41,8,2
23,26,22,62,13,6
79,95,21,68,0,5
96,67,77,41,20,3
0,100,78,78,0,9
79,0,0,93,100,8
75,55,34,56,0,2
12,0,82,77,99,0
57,34,95,0,26,0
0,45,100,51,0,4
0,38,100,79,0,4
79,48,51,42,30,7
0,97,100,62,0,9
20,43,7,97,33,6
0,51,100,46,0,4
29,43,0,66,31,6
70,58,86,56,1,3
100,97,63,11,0,1
0,38,64,91,0,4
100,83,67,37,0,3
60,59,76,68,0,3
26,32,0,67,6,2
12,23,55,38,2,6
85,52,75,41,20,3
53,75,92,32,0,9
49,97,95,53,10,9
100,55,82,45,5,3
100,88,20,52,0,5
60,71,26,78,0,5
11,26,42,55,2,6
64,36,45,45,45,7
0,0,88,68,85,0
50,52,20,65,2,2
96,38,60,53,49,7
55,100,82,21,0,1
90,43,27,50,0,2
100,46,34,7,36,7
100,0,38,76,72,8
37,62,23,47,12,1
100,56,89,5,0,1
29,54,65,22,9,5
3,30,61,87,0,4
90,59,52,23,2,2
74,55,39,49,0,2
69,47,0,56,0,2
52,21,100,30,65,0
0,13,64,37,5,6
100,89,29,40,0,5
32,0,100,25,56,0
