@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R5,9,12-14,17'

@attribute At5 numeric
@attribute At9 numeric
@attribute At12 numeric
@attribute At13 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,75,50,75,87,0
100,48,19,58,55,8
6,100,95,71,47,4
4,52,22,49,38,6
100,46,32,59,2,5
44,100,100,15,92,0
73,46,10,50,9,1
71,98,17,53,0,3
52,100,100,28,97,0
7,100,79,38,95,0
5,93,48,91,24,4
0,100,67,66,34,4
30,100,99,22,100,0
0,61,24,58,47,6
100,22,60,73,94,8
95,95,31,64,15,1
78,100,36,59,9,9
100,74,18,0,0,1
17,100,34,61,0,9
100,55,0,20,31,7
59,0,24,53,16,2
48,97,51,45,24,1
37,11,0,35,26,6
4,100,71,56,100,0
0,60,20,50,28,6
84,42,3,49,7,2
36,42,10,43,23,6
22,53,22,37,0,5
25,16,8,70,29,6
20,70,19,46,0,5
26,78,25,43,1,5
63,90,50,84,25,1
0,78,58,78,28,9
54,38,0,0,7,1
66,52,68,69,100,8
12,100,79,46,94,0
47,84,50,75,24,1
47,100,100,34,80,0
51,24,2,57,1,2
90,90,22,52,0,3
80,100,9,35,0,3
21,23,7,57,29,6
0,61,40,100,88,0
26,16,40,87,6,5
14,100,77,49,100,0
88,75,7,50,0,3
70,8,11,49,10,2
100,28,42,39,13,5
100,44,0,39,40,8
75,49,10,100,33,7
100,63,15,8,37,7
90,72,28,58,2,3
68,49,9,30,0,2
61,0,45,20,92,5
95,55,23,32,2,2
52,36,13,50,12,1
0,39,38,87,73,8
10,100,0,0,39,8
0,70,37,91,76,0
93,60,0,44,27,7
5,43,19,51,31,6
88,7,64,100,100,8
96,69,16,27,0,1
77,29,2,48,0,2
70,32,31,63,63,8
0,89,22,56,60,8
82,37,58,34,89,5
0,72,47,88,94,0
35,32,27,36,64,8
62,86,49,51,23,1
93,84,2,0,0,1
0,100,69,92,34,4
77,98,0,70,13,7
62,100,100,27,64,0
70,68,0,50,25,7
46,100,57,56,29,1
99,58,58,66,0,9
66,0,29,57,21,2
99,50,39,61,7,5
66,94,50,84,24,1
63,99,100,6,82,0
100,55,22,55,0,3
71,0,1,60,1,2
81,52,31,58,0,5
46,1,56,74,100,8
0,87,31,93,0,9
89,61,13,20,42,7
0,83,58,61,100,0
90,42,0,35,30,7
63,100,55,73,27,1
95,40,3,40,0,2
61,3,80,44,96,5
49,25,0,100,51,8
23,70,31,44,19,6
2,95,69,66,100,0
0,94,70,86,35,4
88,65,18,46,42,7
100,33,0,89,11,8
20,100,86,61,50,4
0,77,55,82,100,0
57,38,2,57,0,2
72,49,18,41,36,7
0,74,56,89,28,4
56,0,82,54,100,5
36,23,33,46,65,8
51,2,85,41,100,5
0,79,39,99,70,0
24,100,94,35,100,0
62,0,0,53,3,2
26,12,52,33,91,5
27,86,31,63,0,9
1,100,75,51,100,0
49,100,73,71,38,1
13,33,15,75,45,6
65,0,77,33,97,5
73,3,77,36,98,5
42,96,35,62,0,9
86,95,50,89,25,1
19,30,2,84,16,6
80,100,40,80,15,1
92,100,5,37,0,3
26,100,12,38,0,5
60,100,56,48,29,1
5,34,0,95,22,6
37,51,2,30,0,1
100,37,55,72,20,9
0,96,68,83,32,9
0,78,63,71,20,9
39,0,0,37,21,6
100,61,0,21,18,7
0,85,64,64,32,9
0,83,46,73,82,0
0,96,45,85,22,4
48,100,18,44,0,9
43,100,63,56,32,1
100,28,69,94,100,8
71,83,40,48,17,9
41,53,51,74,24,9
77,70,28,29,6,2
0,55,10,75,29,6
32,36,0,6,2,1
20,100,71,61,100,0
14,28,13,73,32,6
64,0,47,26,89,5
66,0,48,87,32,9
94,58,21,29,2,2
0,96,73,91,35,4
0,85,72,91,36,4
52,5,0,53,2,2
24,14,1,48,27,6
11,98,55,61,83,0
42,95,69,49,53,0
27,78,11,32,0,5
0,100,58,84,29,4
72,0,14,53,0,2
22,100,88,34,100,0
96,100,7,48,0,3
70,86,51,55,26,1
91,63,0,100,15,7
78,100,11,36,0,3
33,100,78,43,100,0
66,100,10,40,0,3
27,24,0,18,5,1
44,39,0,47,2,1
81,81,45,30,21,1
0,100,75,86,37,4
47,94,31,63,0,9
93,41,10,40,0,3
71,82,51,36,25,1
65,81,39,68,0,9
100,51,83,60,100,8
0,100,47,38,24,9
0,100,63,93,32,4
58,16,38,40,49,7
97,62,48,71,4,9
29,15,0,78,22,6
76,97,100,53,77,9
53,14,0,56,9,2
47,19,43,85,82,8
54,0,61,46,100,5
100,1,44,51,0,5
60,96,14,62,0,3
22,38,42,56,6,5
81,18,9,54,6,2
45,27,0,58,24,6
72,0,2,52,4,2
89,51,21,51,39,7
100,83,9,47,0,3
64,0,61,35,97,5
100,45,1,38,40,8
90,66,15,53,0,3
0,92,0,41,37,8
51,90,21,55,0,9
19,100,78,39,100,0
98,87,33,57,9,1
38,19,3,52,32,6
100,0,61,67,31,9
24,11,3,56,23,6
52,91,5,25,8,1
8,100,47,41,22,9
19,100,78,45,100,0
77,83,40,38,20,7
100,58,44,16,21,1
65,87,51,68,25,1
28,51,19,49,20,6
23,20,7,84,33,6
62,0,8,58,8,2
92,84,0,38,29,7
95,4,58,31,94,5
54,5,17,51,9,2
100,81,6,37,0,3
100,16,66,23,33,9
66,69,29,64,3,3
100,71,11,39,0,3
35,49,33,54,72,8
0,70,51,83,89,0
13,100,41,64,1,9
80,98,50,95,25,1
0,73,57,55,25,9
65,30,57,100,94,8
82,68,3,93,30,7
58,0,9,63,5,2
73,40,8,44,38,7
84,59,15,33,39,7
94,44,30,76,0,8
80,33,2,41,38,7
100,71,43,25,21,1
23,23,43,81,25,4
78,78,17,47,37,7
29,33,45,61,0,5
66,8,82,44,98,5
100,77,38,38,18,1
0,100,80,45,100,0
95,0,63,100,98,8
