@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,9-10,14-15,17'

@attribute At1 numeric
@attribute At4 numeric
@attribute At5 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At14 numeric
@attribute At15 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,72,26,100,71,49,66,4
91,100,0,81,67,4,21,9
8,100,100,100,46,0,0,3
33,90,78,51,28,1,100,2
14,52,28,100,38,100,0,0
22,95,50,67,81,28,30,7
52,100,87,100,45,0,0,3
40,100,78,0,16,1,100,2
47,82,18,53,20,35,100,4
0,100,86,34,0,45,100,7
54,88,54,5,9,96,7,8
84,98,13,53,0,36,10,6
14,54,51,0,14,93,100,5
0,88,64,70,57,14,98,1
0,96,59,86,82,29,47,7
21,100,90,49,0,43,100,7
83,100,0,100,94,31,75,9
0,100,58,26,0,34,100,7
67,82,0,66,38,25,56,4
100,96,38,0,14,23,3,6
0,100,100,60,63,21,33,7
27,53,58,0,32,98,100,5
0,100,60,41,0,42,100,7
92,63,0,100,82,23,21,9
0,100,69,59,28,0,100,2
76,77,0,100,85,25,3,9
34,100,83,100,49,0,0,3
85,72,42,100,0,37,0,6
62,75,69,0,59,32,94,9
0,94,87,80,75,25,60,7
33,100,87,79,44,0,0,3
100,100,63,78,53,0,0,9
100,90,17,16,5,29,22,6
74,76,0,100,72,28,35,4
54,100,99,23,60,1,0,5
100,100,30,54,59,0,0,5
92,100,0,87,6,45,100,8
0,100,76,32,0,44,100,7
0,73,76,75,75,22,28,1
38,100,21,44,0,36,22,6
5,100,79,85,44,2,0,3
0,54,67,14,13,92,100,5
100,100,31,98,90,13,0,9
100,85,18,17,0,20,8,6
100,97,1,29,0,61,87,8
0,94,83,41,0,31,100,7
100,100,23,65,0,58,73,8
12,100,92,81,46,0,0,3
0,98,100,77,62,17,55,7
0,100,67,24,0,41,100,7
35,100,44,27,60,17,21,5
86,100,32,42,0,45,100,8
31,70,0,100,50,34,14,4
20,61,18,86,11,87,45,0
29,82,0,100,78,27,75,4
13,66,83,0,14,81,34,8
52,100,100,84,35,0,0,3
0,100,59,93,64,22,25,7
14,67,67,0,17,77,39,8
0,62,83,46,32,100,23,8
45,69,61,0,3,91,100,5
62,100,55,99,58,0,0,9
100,100,20,76,47,0,0,5
85,72,0,82,96,31,100,9
31,62,37,88,80,42,51,4
19,36,13,58,49,100,0,8
20,100,73,72,49,4,0,3
0,100,77,61,38,0,2,3
100,100,0,13,51,17,60,1
42,94,81,48,16,3,100,2
15,81,100,65,44,1,21,1
0,10,79,89,96,73,67,9
25,100,78,68,48,0,0,3
0,100,75,49,49,15,21,3
42,98,79,15,0,53,100,7
48,54,0,88,48,84,7,0
0,60,68,77,75,25,35,1
17,69,60,0,20,91,100,5
55,100,62,30,0,3,100,1
61,100,94,47,15,0,100,2
0,100,67,16,23,3,100,2
46,69,0,77,7,83,43,0
0,73,100,88,51,0,93,1
83,77,60,72,55,0,100,1
0,100,97,59,0,37,7,7
9,100,86,79,50,0,0,3
63,100,30,80,53,0,0,9
43,44,100,0,34,100,7,8
0,100,56,19,0,23,100,2
0,71,66,94,77,26,62,1
48,59,43,41,22,1,100,1
