@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R4-5,8,11,17'

@attribute At4 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At11 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
72,0,0,100,0
100,100,46,93,8
74,6,37,73,4
90,4,22,100,6
100,100,86,99,5
20,44,23,70,0
100,73,39,0,1
100,71,52,100,3
15,52,15,72,0
67,7,0,91,0
78,5,32,100,4
90,0,40,98,4
39,30,5,70,0
84,0,10,100,6
59,100,0,51,8
97,95,64,82,1
82,78,100,93,9
71,100,81,66,1
100,17,77,92,9
97,100,63,42,7
100,59,27,5,2
61,48,100,72,1
100,37,50,22,6
50,4,0,100,0
93,0,16,100,6
100,84,52,0,2
83,36,26,81,6
100,22,50,68,5
78,25,24,79,6
94,20,44,89,5
98,26,67,74,5
55,63,100,88,1
65,0,100,80,9
55,54,87,40,1
68,66,0,100,8
56,12,0,94,0
77,47,100,75,1
14,47,25,76,0
100,51,50,12,2
100,90,57,100,3
100,80,54,77,3
85,21,27,75,6
83,0,0,100,0
96,26,88,69,5
58,14,0,96,0
100,88,60,100,3
100,70,34,0,2
98,100,90,54,5
100,100,50,77,8
100,75,45,82,7
100,100,39,22,7
100,90,67,100,3
100,68,63,6,2
68,61,24,3,5
100,95,67,18,2
76,52,44,0,1
100,0,27,40,8
100,10,41,4,8
76,0,0,100,0
100,93,42,36,7
100,5,28,100,6
71,88,0,62,8
75,96,75,51,1
100,77,50,0,2
89,70,26,7,8
100,0,35,22,8
60,82,0,0,5
86,0,0,100,0
99,35,29,0,8
71,62,100,68,1
100,93,56,71,1
75,0,46,94,4
99,77,74,95,7
0,62,40,60,0
100,70,45,54,7
55,46,100,78,1
56,99,100,100,9
100,66,21,15,2
100,99,92,93,5
64,66,100,85,1
8,63,34,54,0
100,100,66,97,3
100,71,36,15,2
99,81,78,100,5
81,46,0,43,8
65,0,100,100,9
100,89,40,35,7
95,0,0,100,0
100,90,37,27,7
50,63,100,86,1
100,95,50,0,2
53,61,0,0,5
71,49,45,66,8
79,23,22,100,6
60,2,0,100,0
75,0,29,100,4
100,88,43,36,7
55,100,100,0,8
60,20,14,75,4
88,0,0,100,0
100,57,64,11,2
100,72,41,22,7
80,0,32,100,4
63,56,0,12,5
100,36,22,0,8
74,51,0,4,5
48,0,0,100,0
39,24,11,82,0
100,62,35,5,2
64,26,26,12,5
100,27,90,100,9
53,1,0,98,0
53,49,79,84,1
91,13,28,90,6
68,65,0,4,5
59,73,0,0,5
100,42,80,94,9
70,86,100,92,1
82,19,25,87,6
76,80,91,91,1
100,92,49,78,3
100,26,51,86,5
65,60,100,74,1
75,5,22,100,6
52,37,89,24,1
58,100,100,82,9
100,0,60,100,9
100,0,48,100,9
90,39,47,22,6
100,100,65,34,7
100,0,65,83,9
67,0,0,100,0
77,0,33,87,4
100,48,70,85,9
58,43,100,77,1
57,100,0,83,8
83,71,87,76,9
100,41,74,95,9
100,77,75,30,2
79,0,12,100,6
84,32,65,3,1
54,20,0,99,0
100,14,32,100,6
73,64,6,1,5
80,66,85,55,9
100,94,69,14,2
83,0,47,100,4
88,0,43,100,4
100,52,37,6,2
88,24,31,67,6
66,11,0,100,0
31,42,43,30,0
98,27,66,95,5
74,0,38,91,4
100,72,46,2,2
68,22,0,78,0
100,96,55,98,3
61,70,100,70,1
100,91,53,83,7
100,78,61,78,3
36,33,0,85,0
100,66,53,94,3
70,27,64,3,1
100,44,52,0,1
81,81,95,57,1
83,0,42,96,4
100,47,79,91,9
100,93,54,0,3
52,71,100,59,1
100,65,87,100,9
39,100,1,89,8
100,0,71,73,9
82,0,35,100,4
100,58,32,0,7
65,97,89,100,9
100,29,39,95,6
12,76,58,59,9
100,53,43,13,2
68,47,0,63,8
73,54,0,13,5
98,100,94,46,5
100,60,59,100,3
96,22,83,80,5
100,81,51,0,2
96,45,37,76,6
100,72,22,3,2
100,89,38,27,7
100,100,65,93,3
65,64,0,4,5
100,100,32,50,8
100,90,51,100,3
100,0,44,29,8
94,51,100,100,9
43,19,0,87,0
77,98,83,79,1
96,38,33,68,6
70,100,99,53,9
78,24,27,74,6
100,52,27,100,1
76,8,100,77,9
61,19,0,86,0
100,77,81,60,7
81,100,86,39,1
70,65,100,75,1
76,28,14,100,6
89,23,29,91,6
100,62,39,15,2
100,92,59,58,7
67,95,0,0,5
100,54,42,2,2
100,100,58,74,3
73,100,100,61,9
100,66,65,100,3
100,100,59,73,3
97,35,22,0,8
73,0,0,100,0
100,13,59,96,9
68,80,100,98,1
55,0,100,79,9
46,65,0,84,8
100,82,46,100,7
98,58,33,27,2
100,73,46,28,7
100,84,35,35,7
51,94,100,100,8
100,80,43,28,7
81,100,87,46,1
100,23,50,93,4
100,78,41,31,7
95,29,82,73,5
61,66,0,0,5
85,100,81,55,1
60,0,0,97,0
66,95,0,59,8
60,65,8,0,5
63,56,0,5,5
100,96,22,100,8
52,18,6,72,0
72,35,12,11,5
100,100,63,73,3
84,0,37,100,4
75,0,100,88,9
60,11,4,56,0
100,92,52,0,2
100,91,60,100,3
100,100,43,30,7
50,59,100,69,1
53,20,0,98,0
64,48,0,8,5
44,36,7,8,5
100,42,51,85,5
74,34,91,100,9
100,0,36,0,8
40,19,0,100,0
86,100,52,30,7
57,60,18,0,5
100,41,61,90,9
62,0,100,92,9
54,68,100,59,1
96,55,92,76,9
100,69,39,31,7
75,43,75,100,9
79,76,71,84,8
62,60,0,0,5
60,53,0,13,5
96,38,0,46,8
94,35,65,100,9
37,40,0,24,5
100,0,33,10,8
49,32,0,81,0
98,96,68,68,7
100,72,36,0,2
75,90,92,51,1
54,60,100,86,1
100,96,55,74,3
78,57,0,11,5
66,0,22,100,4
49,100,0,82,8
78,39,32,34,6
81,74,93,97,1
82,28,3,8,5
100,18,67,87,9
95,0,47,100,4
89,37,9,3,7
99,67,57,0,2
96,2,72,100,9
100,90,55,100,3
100,43,66,87,9
90,24,0,90,0
76,11,35,52,4
69,8,34,95,4
76,8,47,82,4
72,0,55,88,4
56,46,81,100,8
44,33,0,82,0
78,29,19,97,6
75,5,5,100,6
74,85,100,100,9
100,88,66,26,2
82,10,35,69,4
65,0,40,88,4
100,59,38,54,6
73,58,100,50,1
68,39,0,6,5
46,61,100,61,1
100,0,66,100,9
100,22,37,13,8
100,86,43,40,7
100,100,43,0,2
100,92,52,34,7
78,75,95,100,9
68,0,37,81,4
84,5,21,100,6
100,91,52,100,3
97,19,44,56,6
78,100,100,99,9
100,55,52,21,2
100,38,38,76,5
100,97,55,100,3
100,41,83,56,2
38,51,7,81,8
100,34,39,0,8
50,7,0,86,0
76,99,93,59,9
53,73,100,48,1
60,30,0,57,8
79,1,38,81,4
89,0,41,82,4
75,48,0,52,8
81,0,0,100,0
100,73,46,14,2
100,79,44,0,2
98,100,65,20,7
60,100,100,47,9
41,34,3,70,0
100,17,33,100,4
70,79,82,56,1
100,0,59,100,9
100,0,57,95,9
100,100,72,59,3
100,7,49,100,4
95,0,28,5,8
50,17,0,100,0
25,52,30,62,0
82,84,62,0,1
100,74,57,0,1
61,50,100,87,1
79,0,40,100,4
78,0,52,72,4
100,58,59,75,3
100,86,26,0,2
100,88,71,100,3
86,28,28,91,6
50,59,0,0,5
33,40,20,63,0
100,79,62,83,3
100,100,43,12,7
75,0,0,100,0
98,59,62,0,1
94,72,31,13,7
100,60,55,10,2
100,94,63,23,2
100,52,100,50,7
100,80,54,74,3
81,24,28,64,6
100,49,42,97,6
78,13,21,100,6
85,72,91,79,9
41,20,14,89,8
78,19,18,100,6
75,62,0,56,8
100,60,35,5,7
85,19,34,100,4
48,64,0,6,5
66,93,100,100,9
70,1,0,100,0
100,100,50,0,7
100,54,8,28,2
100,83,76,97,5
78,100,94,37,1
100,0,50,13,8
91,11,76,83,9
91,11,23,100,6
100,100,52,89,3
100,10,48,100,4
62,66,100,55,1
94,72,22,8,7
100,11,51,73,5
