@relation penbased

@attribute At2 numeric
@attribute At4 numeric
@attribute At5 numeric
@attribute At8 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
96,63,0,0,92,31,100,100,0
81,41,12,1,88,29,100,100,0
67,42,23,0,100,32,93,100,0
100,90,0,4,69,0,100,82,0
85,55,0,0,79,23,100,92,0
100,78,0,0,83,17,100,97,0
86,100,9,0,69,22,100,95,0
83,65,0,0,84,17,100,88,0
100,63,2,0,86,10,100,90,0
83,45,40,6,100,54,71,100,0
72,33,27,10,100,44,88,100,0
94,62,2,0,78,20,100,98,0
92,51,20,16,100,66,51,64,0
95,59,19,0,100,37,97,100,0
68,100,0,1,80,0,100,91,0
100,93,0,19,51,0,94,57,0
99,62,0,0,86,17,100,93,0
93,80,0,0,86,21,100,99,0
99,59,0,0,100,47,76,83,0
73,26,49,13,100,60,73,100,0
100,97,0,3,75,0,100,91,0
100,61,10,0,100,26,98,99,0
36,81,42,65,0,20,42,20,0
83,100,0,1,82,0,100,93,0
71,29,31,12,100,51,84,100,0
90,43,34,20,100,67,57,73,0
95,75,0,0,75,25,100,100,0
97,100,0,11,67,0,100,82,0
100,68,9,0,90,10,100,91,0
44,0,62,40,100,88,60,64,0
94,51,6,5,100,52,77,82,0
84,94,0,7,66,0,100,79,0
80,47,13,8,100,54,79,76,0
35,76,62,75,0,37,18,17,0
78,49,0,0,98,30,100,100,0
100,78,1,0,82,6,100,85,0
84,53,7,0,100,35,100,100,0
64,30,55,23,100,64,74,91,0
100,91,0,17,55,0,96,60,0
86,92,0,5,68,0,100,81,0
100,80,0,1,67,0,100,75,0
100,46,29,15,100,58,65,85,0
100,80,4,0,81,8,100,82,0
82,38,23,6,100,41,85,100,0
87,59,0,0,84,29,100,100,0
90,60,2,0,95,27,100,100,0
97,69,0,0,88,23,100,100,0
100,70,0,0,66,10,100,77,0
58,14,38,16,100,55,82,100,0
100,90,0,17,38,0,77,48,0
66,28,27,14,100,49,88,100,0
89,73,0,0,97,21,100,100,0
100,49,29,54,61,95,0,77,0
23,0,87,50,83,84,41,80,0
98,70,98,100,57,92,33,31,0
89,86,0,11,70,0,100,73,0
87,100,0,8,62,0,100,90,0
100,55,19,0,100,36,79,79,0
100,70,0,0,76,17,100,97,0
100,70,0,0,82,23,100,99,0
95,76,0,0,77,23,100,100,0
96,63,0,0,74,19,99,87,0
76,35,16,1,95,30,100,100,0
86,83,0,0,71,16,100,95,0
84,86,0,0,72,9,100,94,0
66,27,49,23,100,63,75,100,0
62,24,47,14,100,52,76,100,0
79,71,0,0,87,24,100,100,0
74,33,25,22,100,59,96,100,0
94,70,0,0,82,9,100,81,0
97,90,0,0,73,12,100,100,0
90,90,0,0,67,6,100,91,0
86,42,16,12,100,50,99,100,0
89,54,19,7,100,57,64,85,0
98,71,0,0,86,22,100,100,0
83,70,0,0,89,20,100,100,0
72,35,16,8,100,40,93,100,0
100,71,0,0,73,8,100,89,0
83,53,1,0,100,30,98,100,0
87,69,0,0,82,8,100,81,0
100,75,0,0,73,22,100,98,0
73,38,26,12,100,52,89,100,0
77,44,25,9,100,54,76,100,0
98,47,31,0,100,50,71,100,0
100,84,0,0,82,18,100,96,0
67,24,32,24,100,62,86,90,0
81,80,0,0,71,4,100,88,0
98,75,4,0,100,36,84,100,0
93,67,0,0,100,32,95,100,0
82,40,15,11,100,47,96,100,0
100,88,0,17,58,0,99,60,0
88,74,0,0,85,24,100,100,0
82,39,30,5,100,54,70,100,0
82,49,10,0,95,34,100,100,0
82,40,30,10,100,60,65,80,0
95,63,16,0,100,40,84,100,0
93,71,0,0,64,4,96,73,0
97,61,11,0,100,30,92,100,0
98,69,0,0,84,22,100,98,0
75,31,71,24,96,71,66,91,0
89,90,0,8,73,0,100,80,0
95,62,9,0,100,27,98,100,0
86,77,0,1,70,0,100,76,0
61,20,44,23,100,64,70,92,0
64,65,1,0,91,21,100,100,0
90,88,0,0,77,10,100,100,0
66,30,18,6,88,32,100,95,0
100,81,0,3,62,0,98,63,0
89,55,14,0,100,29,94,100,0
99,77,0,0,79,19,100,100,0
100,54,0,0,100,42,91,95,0
79,99,0,14,59,0,100,80,0
82,100,1,9,53,0,100,85,0
84,100,0,16,62,0,100,78,0
99,64,0,0,83,27,100,100,0
100,86,0,0,100,70,39,71,0
91,73,0,0,67,14,100,86,0
100,66,0,0,75,29,100,95,0
77,37,13,9,97,41,100,100,0
100,79,0,0,73,11,100,87,0
100,74,0,0,81,20,100,96,0
71,34,44,19,100,62,69,92,0
100,56,12,0,100,35,91,90,0
95,63,4,0,96,23,100,100,0
83,43,19,0,100,36,87,100,0
85,62,0,0,87,22,100,96,0
100,70,1,0,80,15,100,90,0
100,69,0,0,74,19,100,94,0
86,42,25,3,100,43,86,100,0
40,0,58,42,100,81,70,86,0
100,68,0,0,89,25,100,96,0
75,25,66,8,98,59,68,100,0
88,43,25,0,100,35,94,100,0
52,8,63,34,99,81,54,82,0
90,77,10,0,100,31,93,100,0
72,36,26,3,100,40,85,100,0
67,100,26,51,11,7,60,28,0
50,15,40,22,100,65,70,95,0
96,50,7,0,100,42,86,100,0
93,70,0,0,63,12,92,86,0
79,68,0,0,74,12,100,86,0
100,65,0,0,79,18,100,97,0
82,48,2,0,92,31,100,100,0
59,8,60,31,100,78,65,88,0
100,30,39,59,49,79,19,80,0
98,90,2,10,46,0,88,70,0
100,85,0,0,88,10,100,96,0
69,18,37,13,100,54,80,100,0
86,44,36,3,100,48,86,100,0
86,51,27,0,100,39,84,100,0
100,77,20,0,65,15,94,78,0
78,33,40,15,100,61,72,100,0
100,73,0,0,70,15,100,89,0
73,100,12,41,27,4,73,38,0
51,66,0,0,87,26,100,100,0
92,51,17,0,100,29,91,100,0
100,59,18,0,100,33,96,90,0
100,57,0,0,84,25,100,86,0
97,86,0,0,86,13,100,100,0
77,40,26,8,100,46,87,100,0
87,44,33,0,100,42,82,100,0
83,14,66,47,89,100,45,47,0
92,83,0,0,77,6,100,89,0
55,10,51,29,100,70,72,90,0
94,66,5,0,98,26,100,100,0
84,63,8,0,88,15,100,94,0
100,69,0,0,71,9,100,81,0
100,68,6,0,80,5,100,80,0
68,36,42,15,100,56,80,100,0
79,49,14,15,100,61,62,77,0
77,37,23,4,98,39,100,100,0
91,65,0,0,81,6,100,72,0
93,69,0,0,79,2,100,77,0
54,100,30,48,14,1,66,40,0
76,42,11,5,100,41,97,100,0
100,77,11,0,100,17,99,83,0
81,58,14,0,100,42,91,100,0
67,27,36,17,100,60,77,85,0
100,74,0,0,81,21,100,98,0
72,36,21,6,99,35,100,100,0
100,63,0,0,70,14,100,79,0
81,54,22,0,100,45,87,100,0
60,28,29,10,100,41,94,100,0
100,84,0,0,58,0,100,61,0
92,54,13,0,99,30,100,100,0
100,58,14,0,98,27,100,100,0
90,53,1,0,99,28,100,100,0
86,64,0,0,76,18,100,87,0
83,60,8,0,100,35,89,100,0
88,51,5,4,100,50,85,89,0
100,75,0,9,84,0,100,65,0
100,65,0,0,78,25,100,95,0
92,52,18,6,100,53,72,100,0
100,71,0,0,80,16,100,93,0
75,34,24,10,98,44,100,100,0
100,62,0,0,87,19,100,86,0
96,70,0,0,69,11,100,84,0
62,46,12,15,100,56,90,81,0
95,55,8,0,93,32,100,100,0
95,98,9,21,47,0,100,63,0
98,78,19,41,56,100,0,85,0
100,66,0,0,78,20,100,95,0
75,40,22,0,89,25,100,100,0
100,67,0,0,66,11,95,82,0
100,61,0,0,100,43,96,96,0
65,46,4,0,95,30,100,100,0
67,38,29,20,100,66,64,74,0
100,36,36,52,40,73,15,60,0
76,39,15,1,98,36,100,100,0
100,87,8,21,31,0,75,47,0
83,71,0,0,100,48,73,77,0
100,78,0,6,66,0,99,67,0
81,39,22,17,100,57,85,98,0
70,38,14,4,93,40,100,100,0
51,22,43,13,100,54,75,100,0
68,37,28,23,100,67,69,78,0
94,59,0,0,90,25,100,100,0
100,72,6,0,100,30,88,97,0
97,91,0,17,59,0,94,64,0
87,43,10,3,95,38,100,100,0
100,75,0,0,80,14,100,97,0
85,65,0,9,100,57,82,78,0
73,51,25,15,100,62,63,75,0
70,31,32,9,100,47,78,100,0
88,50,4,0,100,30,100,100,0
90,57,13,0,100,30,90,100,0
100,67,0,0,88,14,100,87,0
81,41,34,3,100,56,70,99,0
100,87,0,13,57,0,99,65,0
53,92,36,62,0,16,52,27,0
86,50,0,0,89,29,100,100,0
73,34,30,1,100,38,87,100,0
100,50,15,36,70,79,36,51,0
100,72,0,0,75,13,100,87,0
88,62,0,0,83,30,100,100,0
100,64,0,0,90,22,100,99,0
96,84,0,0,74,1,100,84,0
53,54,0,6,88,48,100,84,0
99,85,0,14,59,0,100,65,0
87,44,20,0,100,30,89,100,0
100,60,0,0,100,44,96,97,0
100,74,0,0,84,21,100,96,0
80,46,6,0,95,33,100,100,0
68,100,25,39,27,0,77,47,0
100,85,0,0,82,9,100,87,0
95,37,38,11,100,57,73,96,0
95,69,0,0,88,16,100,89,0
37,25,42,17,100,59,73,100,0
100,55,27,0,100,45,85,95,0
75,45,21,0,100,43,88,100,0
76,33,34,9,100,50,79,100,0
88,63,0,0,80,18,100,94,0
98,78,0,0,74,20,100,100,0
76,34,26,9,100,42,97,100,0
85,43,33,9,100,57,74,92,0
98,67,0,0,85,29,100,100,0
100,86,0,0,75,11,100,97,0
96,64,0,0,75,27,100,100,0
100,66,0,0,78,16,100,95,0
100,70,0,0,70,13,100,82,0
75,48,0,0,79,11,100,70,0
42,0,71,36,87,79,45,81,0
100,60,1,0,93,28,100,99,0
100,70,0,0,68,10,96,84,0
100,81,14,23,100,85,77,53,0
100,56,13,0,88,22,100,100,0
81,60,8,0,100,44,92,100,0
91,68,0,0,89,25,100,100,0
95,49,22,4,100,45,100,100,0
99,59,10,0,100,30,87,100,0
59,18,39,18,100,54,90,100,0
87,38,26,6,100,41,92,100,0
100,69,0,0,72,18,100,91,0
77,35,28,2,100,37,89,100,0
100,81,0,11,64,0,100,63,0
100,63,0,0,79,22,100,90,0
100,81,0,0,72,14,100,98,0
92,51,39,0,100,43,79,100,0
100,61,3,0,97,27,100,97,0
100,68,0,0,76,9,100,85,0
100,85,0,0,46,3,76,61,0
61,23,46,31,100,76,64,67,0
100,56,12,0,100,33,94,94,0
91,70,0,0,81,21,100,100,0
47,98,39,64,4,15,55,31,0
88,100,0,1,78,0,100,88,0
99,70,0,0,70,4,100,76,0
86,62,22,0,100,49,78,94,0
100,77,0,0,81,6,100,82,0
80,34,31,17,100,60,72,94,0
87,56,0,0,79,32,100,100,0
78,48,0,0,83,34,100,100,0
87,38,61,25,96,72,57,87,0
100,65,8,0,100,22,96,94,0
86,35,57,24,92,72,47,77,0
84,42,18,7,100,45,93,100,0
97,63,0,0,94,27,100,100,0
96,100,0,27,42,0,89,52,0
94,69,0,0,77,7,100,83,0
97,62,0,0,82,26,100,100,0
95,88,0,0,64,11,100,95,0
83,39,24,11,100,51,82,100,0
78,49,26,0,90,5,100,89,0
59,25,35,0,100,35,80,100,0
93,89,0,0,92,11,100,100,0
82,41,28,7,100,48,80,100,0
76,44,15,1,100,38,93,100,0
71,60,0,0,77,23,100,100,0
71,60,0,0,100,32,97,100,0
94,63,0,0,84,19,100,98,0
100,70,0,0,69,10,100,79,0
100,69,0,0,79,17,100,89,0
88,68,0,0,87,15,100,89,0
99,80,0,0,76,16,100,100,0
100,74,0,0,74,8,100,88,0
91,59,25,0,100,39,78,100,0
100,78,0,0,81,6,100,85,0
45,10,65,30,100,72,72,88,0
62,35,0,0,97,22,100,80,0
100,78,0,0,70,4,100,78,0
100,79,0,0,66,15,100,93,0
88,65,0,0,78,24,100,100,0
94,52,16,0,100,32,90,100,0
81,43,13,0,100,36,96,100,0
75,60,11,0,100,28,85,100,0
99,77,0,0,73,17,100,100,0
88,48,33,0,100,35,87,100,0
100,61,20,0,100,37,78,100,0
68,40,26,10,100,50,82,100,0
69,28,43,23,100,64,75,94,0
99,60,3,0,94,25,100,100,0
81,41,11,10,84,40,100,100,0
84,39,26,10,100,53,84,100,0
71,33,22,10,100,44,93,100,0
80,35,40,12,100,56,80,100,0
99,50,25,0,100,47,83,99,0
100,69,1,0,87,16,100,100,0
100,84,0,0,60,5,100,81,0
72,31,47,8,100,50,73,100,0
85,97,30,21,72,0,100,100,0
81,65,0,0,89,32,100,100,0
100,93,0,27,39,0,89,53,0
100,84,18,13,46,0,95,66,0
100,96,0,0,100,65,61,68,0
100,78,0,0,65,6,94,82,0
100,68,22,0,100,35,78,100,0
100,73,1,0,89,17,100,98,0
81,42,22,10,100,48,92,100,0
77,35,29,7,100,43,85,100,0
67,25,57,22,95,75,54,87,0
96,78,0,0,83,21,100,100,0
95,53,14,0,100,41,91,100,0
100,73,0,0,78,19,100,89,0
86,61,10,0,100,30,97,100,0
54,11,62,23,100,68,71,100,0
100,65,0,0,72,17,100,89,0
91,92,0,0,82,6,100,100,0
100,68,0,0,71,18,97,86,0
90,64,15,0,100,30,97,100,0
98,90,0,0,85,9,100,98,0
58,36,18,8,100,41,95,100,0
55,60,0,0,89,28,100,100,0
92,77,0,0,81,15,100,99,0
62,17,45,14,100,52,86,100,0
67,31,48,26,100,74,69,80,0
72,35,35,17,100,56,89,100,0
93,88,0,0,83,11,100,100,0
100,83,0,0,61,2,100,88,0
55,40,38,23,100,66,81,78,0
82,100,0,22,57,0,100,66,0
97,79,0,0,62,26,100,100,0
73,27,38,10,100,55,75,100,0
100,78,0,0,72,10,100,88,0
100,100,0,24,46,0,93,59,0
97,76,0,0,91,17,100,97,0
100,89,0,8,49,0,88,68,0
56,16,56,29,97,68,59,93,0
97,47,24,0,100,43,82,100,0
72,37,18,0,90,20,100,93,0
92,49,10,0,100,31,95,100,0
79,46,18,0,92,25,100,100,0
57,20,40,23,100,62,87,88,0
67,21,45,10,100,51,75,100,0
100,50,47,0,100,48,74,100,0
92,71,0,0,84,22,100,100,0
76,42,16,2,100,35,95,100,0
92,59,0,0,78,25,100,100,0
67,30,26,16,100,48,96,100,0
100,62,0,14,100,73,42,65,0
100,68,20,0,92,11,100,86,0
100,71,0,0,82,5,100,79,0
98,72,0,0,77,15,100,100,0
91,39,49,18,100,70,62,88,0
88,53,17,0,100,31,91,100,0
73,51,9,0,92,27,100,100,0
58,26,49,18,100,50,86,100,0
57,21,62,22,95,68,61,99,0
70,25,57,21,100,68,69,88,0
76,100,0,31,42,0,86,56,0
100,90,0,0,86,34,100,51,0
100,86,0,15,53,0,95,63,0
100,70,0,0,83,22,100,89,0
50,11,58,27,100,65,80,100,0
100,57,21,0,100,29,79,78,0
91,82,0,13,64,0,100,66,0
97,55,14,0,100,37,90,100,0
74,100,23,22,57,0,100,82,0
91,43,25,9,100,53,82,100,0
100,61,20,0,100,25,96,86,0
96,74,0,0,80,23,100,100,0
100,72,0,0,79,20,100,96,0
100,63,0,0,73,24,100,89,0
95,53,8,0,99,31,100,100,0
100,82,0,4,62,0,100,60,0
99,74,0,0,75,6,100,85,0
69,18,45,27,100,73,67,86,0
90,57,0,0,84,27,100,100,0
100,82,0,0,72,8,100,90,0
90,50,17,0,96,43,100,100,0
100,80,0,0,70,5,100,86,0
29,0,63,59,100,100,52,55,0
96,66,11,0,100,47,79,81,0
100,90,24,0,100,43,90,72,0
95,73,10,0,100,24,96,100,0
100,79,0,0,72,18,100,92,0
97,53,20,0,100,35,98,100,0
63,15,52,15,100,63,72,97,0
63,25,51,27,100,69,72,100,0
77,66,0,0,93,38,100,100,0
74,28,37,23,100,68,65,88,0
90,45,21,0,100,41,86,100,0
93,54,12,0,99,29,100,100,0
76,47,20,22,100,69,49,65,0
94,60,0,0,81,16,100,93,0
82,39,30,8,100,49,74,100,0
100,64,0,0,91,25,100,98,0
92,49,26,1,100,51,74,83,0
92,62,0,0,75,6,100,71,0
93,64,4,0,86,27,100,100,0
61,8,41,31,100,80,67,69,0
85,75,0,0,74,8,100,85,0
93,56,9,0,100,32,95,100,0
98,84,0,0,78,12,100,100,0
100,65,1,0,97,27,100,100,0
79,36,32,19,100,60,81,94,0
89,25,46,49,70,100,44,62,0
100,62,0,0,99,31,100,90,0
99,51,22,0,100,37,90,100,0
100,72,0,0,74,7,100,79,0
76,41,7,0,100,33,95,100,0
100,67,2,0,86,20,100,93,0
56,100,33,56,1,9,54,25,0
93,54,16,0,100,34,85,100,0
86,44,33,9,100,65,64,74,0
100,70,0,0,98,23,100,100,0
