@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R4-7,10-11,14,17'

@attribute At4 numeric
@attribute At5 numeric
@attribute At6 numeric
@attribute At7 numeric
@attribute At10 numeric
@attribute At11 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
50,72,38,56,17,0,94,5
100,100,92,68,38,82,0,3
100,0,88,8,53,15,17,1
42,16,0,70,40,92,100,0
67,97,67,89,70,100,36,9
54,59,31,36,28,4,97,5
100,100,81,68,50,89,0,3
100,26,76,41,0,0,38,8
76,0,35,43,29,100,46,4
100,25,85,10,62,99,17,9
88,2,57,0,0,100,34,6
100,55,53,33,0,30,1,2
57,88,58,88,0,8,83,5
67,0,16,53,32,95,100,0
41,12,0,54,29,100,100,0
60,0,18,46,28,100,100,0
65,0,0,52,57,82,78,0
60,53,28,46,29,0,95,5
77,0,51,46,47,96,23,4
71,100,100,23,71,81,40,9
83,0,39,23,0,100,77,0
99,93,78,64,17,19,31,7
100,100,79,75,36,100,0,3
88,79,100,57,30,0,4,1
84,0,51,28,33,100,34,4
91,100,100,99,52,78,8,3
79,26,54,2,0,58,21,6
74,40,54,100,91,57,32,4
100,100,85,72,38,93,3,3
90,5,57,92,70,85,40,4
100,21,76,60,0,0,53,8
100,52,73,44,0,0,34,7
61,59,100,58,21,100,5,1
100,24,81,38,8,0,33,8
100,80,80,43,45,100,0,3
44,33,0,80,65,64,74,0
78,25,53,12,0,88,28,6
67,42,83,79,98,81,34,1
66,64,49,52,16,0,94,5
100,100,91,54,0,69,28,7
100,56,93,53,42,100,1,3
100,63,58,39,0,18,10,2
77,100,100,0,59,100,35,9
73,100,39,94,0,38,74,8
94,68,100,100,62,74,18,2
100,0,66,9,0,100,80,0
100,57,78,99,68,67,14,9
64,4,8,63,46,73,79,0
94,38,70,15,18,26,16,6
100,32,72,27,7,100,5,1
87,100,100,89,20,45,1,1
52,77,55,62,0,6,100,5
49,70,14,32,38,0,86,5
77,71,100,0,80,100,24,9
100,4,71,48,0,0,49,8
29,43,0,22,57,100,100,8
38,45,0,87,57,81,97,0
57,60,37,42,16,14,98,5
100,79,78,39,48,100,0,3
100,0,75,60,0,13,55,8
100,90,80,52,51,100,0,3
79,18,100,57,62,69,0,9
100,100,81,88,20,51,30,7
100,85,74,71,38,81,0,3
2,68,0,100,75,38,63,0
100,100,83,81,0,85,50,8
100,25,62,44,0,1,58,8
100,93,83,60,43,100,5,3
100,95,93,55,50,100,14,3
72,100,100,84,42,64,1,1
100,100,76,81,0,53,38,7
78,56,82,44,51,100,0,9
100,100,91,63,31,0,29,7
55,0,17,38,23,100,92,0
70,38,24,0,41,70,100,8
100,0,87,21,70,100,12,9
100,0,77,61,0,22,45,8
100,71,74,50,42,100,0,3
90,30,56,11,0,100,27,6
100,66,98,50,12,0,3,1
100,76,77,49,13,0,5,2
55,73,77,100,77,61,26,1
82,85,99,100,75,76,24,1
75,0,47,56,50,80,28,4
48,0,71,26,91,88,22,9
100,82,75,45,43,100,0,3
90,0,61,81,100,81,33,9
100,56,86,45,19,34,2,2
69,0,32,24,18,100,95,0
60,54,45,28,20,0,98,5
79,79,96,100,74,87,23,1
79,0,49,65,66,86,29,4
100,10,65,87,0,0,59,8
100,100,93,82,20,0,10,2
100,100,91,59,5,15,38,7
73,0,44,6,0,100,36,6
73,0,44,62,51,70,38,4
100,73,75,52,16,0,17,2
100,63,53,36,0,24,11,2
100,8,96,0,50,100,0,5
75,0,50,55,57,85,24,4
100,74,80,40,35,15,8,2
87,9,58,0,2,100,16,6
100,79,72,76,0,29,28,7
99,70,100,100,78,33,25,7
100,99,99,45,57,89,9,5
82,49,39,35,23,56,90,8
63,0,8,54,37,86,100,0
89,57,75,36,44,0,13,1
100,50,63,34,5,18,1,2
69,97,100,23,59,96,10,9
63,42,82,90,80,80,27,1
82,26,52,19,3,100,20,6
100,76,80,44,43,100,3,3
100,58,79,24,17,28,25,6
100,73,70,50,0,3,45,7
90,28,67,6,15,37,16,6
64,21,5,71,49,67,93,0
100,88,63,86,0,100,34,7
79,0,49,2,0,100,25,6
59,67,79,100,88,81,30,1
98,100,100,91,34,24,3,7
100,98,69,71,4,13,35,7
91,25,68,4,15,37,20,6
100,55,67,55,0,33,36,7
100,100,88,71,10,46,35,7
80,68,39,68,0,17,69,8
100,74,95,66,43,0,2,2
75,0,34,26,0,100,74,0
100,99,84,77,15,52,33,7
100,5,100,19,15,0,43,8
87,11,48,69,50,75,49,4
74,100,94,25,49,0,16,8
94,99,100,100,46,8,0,2
84,100,100,79,60,29,20,1
100,75,76,70,34,88,0,3
100,66,87,58,27,19,1,2
59,70,43,59,10,6,96,5
30,29,0,70,37,84,100,0
89,0,55,3,0,94,64,0
100,100,92,63,7,0,32,7
83,0,52,17,35,100,33,4
96,18,67,0,4,79,25,6
100,91,87,70,0,35,44,7
47,13,6,67,34,96,100,0
69,0,31,29,20,100,90,0
100,100,80,78,30,0,0,2
65,0,24,29,20,100,90,0
87,28,59,0,0,72,31,6
100,89,96,39,43,100,3,5
84,32,41,59,1,42,74,8
100,59,73,55,0,27,40,7
36,37,0,89,63,73,82,0
91,68,60,58,0,9,45,7
