@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,5,10'

@attribute RI numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.5191,72.1228,1
1.522107,71.7588,1
1.515957,72.9684,1
1.5191,71.8092,1
1.522996,71.9884,1
1.517688,73.1476,1
1.517688,73.702,1
1.516184,72.89,2
1.52475,72.19,2
1.520809,71.9884,2
1.516321,72.8676,2
1.518599,72.2628,2
1.520194,71.7588,2
1.515957,73.1084,2
1.517779,73.002,3
1.520421,72.2516,5
1.519055,72.3692,6
1.516503,73.6124,7
1.51623,73.4612,7
1.517323,72.9908,7
