@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,13.1506,73.2372,1
1.517961,12.7383,72.9572,1
1.52197,14.3609,71.3612,1
1.517756,12.85135,72.9684,1
1.517209,13.3767,72.8508,1
1.518371,13.1373,72.8508,1
1.515888,12.87795,73.282,1
1.517437,13.2969,73.0916,1
1.515706,12.71835,73.198,1
1.518075,13.4299,72.8396,1
1.51762,12.61195,73.2876,1
1.517346,13.0176,72.7276,1
1.517688,12.65185,73.0804,1
1.52172,13.5097,71.7924,1
1.5191,13.88875,71.8092,1
1.521515,13.05085,72.3188,1
1.51787,12.73165,72.9516,1
1.519191,14.417,72.078,1
1.521014,13.6427,71.7812,1
1.517551,13.39,72.7892,1
1.517506,12.8181,72.75,1
1.51967,14.7732,72.022,1
1.517551,13.4831,72.9908,1
1.517688,12.45235,73.702,1
1.517938,13.21045,72.638,1
1.517369,12.7782,72.7892,1
1.519009,13.48975,71.9492,1
1.518986,13.58285,72.078,1
1.51762,13.88875,72.7276,1
1.518235,12.8713,72.9516,1
1.517209,12.8713,73.0412,1
1.523201,13.7225,71.7476,1
1.521515,13.05085,72.218,1
1.5191,13.90205,72.1228,1
1.522267,14.16805,71.35,1
1.519055,13.6028,72.638,1
1.52213,14.20795,71.77,1
1.522107,13.72915,71.7588,1
1.517528,12.57205,73.3884,1
1.517779,13.21045,72.9796,1
1.517483,12.858,73.2092,1
1.517415,13.2703,73.0804,1
1.517665,13.21045,72.61,1
1.517847,13.7745,72.862,1
1.515957,12.7915,72.9684,1
1.517825,12.69175,72.9516,1
1.522996,13.3102,71.9884,1
1.517551,12.7117,73.198,1
1.52172,13.4831,72.0108,1
1.520991,13.68925,71.9604,1
1.519761,13.80895,71.7196,1
1.51566,13.29025,72.7388,1
1.517688,12.55875,73.1476,1
1.516184,13.52965,72.9908,1
1.517506,12.81145,73.0188,1
1.517847,12.67845,73.1084,1
1.51746,12.83805,73.2708,1
1.51869,13.1905,72.722,1
