@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R3,7,10'

@attribute Mg numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
3.69078,8.21684,1
3.44832,8.57192,1
3.81201,9.69096,1
3.74915,9.00232,1
2.81074,9.02384,1
3.84793,9.15296,1
3.47975,9.00232,1
3.87038,8.32444,2
0,10.99292,2
3.53812,8.03392,2
3.47077,8.18456,2
2.87809,8.53964,2
0,14.6836,2
3.62792,8.41052,2
2.95891,8.78712,2
3.90181,9.48652,3
3.52016,8.52888,3
0,11.53092,5
1.84988,10.08908,5
0,10.88532,6
1.77804,8.66876,7
0,8.3352,7
2.2001,9.75552,7
