@relation glass

@attribute Al numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.3493,0.621,1
1.21127,0.65205,1
1.1888,0.57132,1
1.14065,0.57753,1
0.71051,0.01863,1
1.3814,0.60237,1
1.35893,0.47817,1
1.32041,0.50922,1
0.87101,0.19251,1
1.21127,0.5589,1
1.41029,0.58995,1
1.17917,0.57132,1
0.8999,0.22977,1
1.40066,0.68931,1
1.16954,0.58995,1
1.14065,0.5589,1
1.61894,0.63963,1
1.23053,0.58995,1
1.32041,0.11799,1
1.35893,0.57132,1
1.26905,0.60237,1
1.3493,0.63963,1
1.68956,0.54027,1
1.29152,0.5589,1
1.49054,0.54027,1
1.33004,0.5589,1
1.29152,0.57132,1
0.29,0.03105,1
0.87101,0.19251,1
1.29152,0.60237,1
1.19843,0.58995,1
0.79076,0.13041,1
1.1888,0.55269,1
0.78113,0,1
0.89027,0.14904,1
1.23053,0.60858,1
0.88064,0.22977,1
0.72014,0.16767,1
1.36856,0.5589,1
1.09892,0.0621,1
0.8999,0.18009,1
1.10855,0.14283,1
0.46976,0.11178,1
1.29152,0.58995,1
0.51149,0.08694,1
1.33004,0.58995,1
1.12139,0.63963,1
1.42955,0.57132,1
0.46976,0.11178,1
1.15991,0.60858,1
1.33967,0.57132,1
1.12139,0.621,1
1.3493,0.55269,1
1.24016,0.55269,1
1.27868,0.60237,1
1.23053,0.57753,1
1.26905,0.54027,1
1.27868,0.60237,1
1.29152,0.50922,1
1.05077,0.57132,1
1.31078,0.57753,1
1.17917,0.0621,1
0.81965,0.11799,1
1.42955,0.60237,2
1.56116,0.57753,2
1.52906,0.65205,2
1.49054,0.44712,2
2.08118,1.09917,2
1.42955,0.50922,2
1.07966,0.5589,2
1.61894,0.63963,2
1.60931,0.6831,2
1.17917,0.57753,2
0.66878,0.0621,2
2.10044,0.57753,2
1.43918,0.6831,2
0.99941,0.09936,2
1.24979,0.52164,2
1.55153,0.6831,2
1.86932,0.62721,2
1.48091,0.5589,2
1.62857,0.39123,2
1.44881,0.44091,2
1.53869,0.60858,2
1.15991,0.621,2
1.53869,0.65826,2
1.51943,0.67068,2
2.1197,0.68931,2
1.10855,0.63963,2
1.43918,0.57132,2
1.07003,0.57132,2
1.24016,0.621,2
1.47128,0.39123,2
1.16954,0.08073,2
1.57079,0.60858,2
1.5098,0.68931,2
0.74903,0,2
1.0604,0.63963,2
1.33004,0.50922,2
1.1888,0.60237,2
1.42955,0.49059,2
0.55964,0,2
1.57079,0.60858,2
1.49054,0.67068,2
1.64141,0.65205,2
1.47128,0.63963,2
0.65915,0.08073,2
1.25942,0.5589,2
1.70882,0.621,2
1.53869,0.65826,2
1.78907,0.65826,2
1.25942,0.57132,2
1.24979,0.3726,2
1.24979,0.6831,2
1.30115,0.55269,2
1.51943,0.67068,2
1.47128,0.37881,2
1.81154,0.63963,2
1.58042,0.06831,2
1.48091,0.60237,2
1.87895,0.8073,2
1.62857,0.70173,2
1.23053,0.57753,2
0.7715,0,2
1.90142,0.68931,2
1.6703,0.52785,2
1.70882,0.73278,2
1.41029,0.55269,2
1.53869,0.54027,2
1.26905,0.54027,2
1.35893,0.19251,2
1.53869,0.72036,2
1.10855,0.11178,3
0.82928,0,3
1.3814,0.5589,3
1.76018,0.60237,3
1.2209,0.58995,3
1.25942,0.52164,3
1.31078,0.60858,3
1.33967,0.5589,3
0.5789,0.11178,3
1.62857,0.57132,3
0.64952,0.0621,3
1.3493,0.57132,3
1.53869,0.5589,3
0.74903,0.16146,3
1.51943,0.57753,3
1.5098,0.13041,5
1.58042,0.32292,5
1.85969,0.60237,5
1.76018,0.47196,5
1.56116,0.47196,5
1.40066,0.32913,5
1.56116,0.57753,5
2.17106,0.75762,5
1.65104,0.37881,5
3.5,1.68291,5
3.0185,6.21,5
3.04097,6.21,5
1.74092,0,6
1.1888,0,6
1.56116,0,6
1.61894,0,6
1.66067,0,6
0.34136,0,6
0.55964,0,6
2.09081,0,6
1.9913,0,7
1.97846,0,7
1.86932,0,7
1.82117,1.40967,7
2.08118,0,7
2.73923,0,7
2.51132,0.04968,7
2.05871,0.75762,7
2.25131,0,7
1.1888,2.70135,7
2.34119,0,7
1.7987,0,7
1.9913,0,7
2.68145,0.08073,7
1.81154,1.75743,7
2.54021,0.14283,7
2.65898,0.03726,7
2.88047,0.08073,7
1.31078,0.3105,7
2.37971,0,7
1.93994,0,7
1.78907,0,7
2.02019,0,7
2.27057,0,7
2.00093,0,7
2.79059,0.03726,7
