@relation glass

@attribute Al numeric
@attribute Fe numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.33967,0,1
1.42955,0,1
0.87101,0.0867,1
1.17917,0,1
1.29152,0.459,1
1.15991,0,1
1.05077,0,1
1.27868,0,1
0.78113,0,1
0.8999,0.0816,1
1.29152,0,1
1.19843,0,1
1.21127,0,1
1.35893,0,1
1.23053,0,1
1.68956,0.0357,1
1.26905,0.0867,1
1.41029,0,1
1.12139,0,1
0.29,0,1
1.24016,0,1
0.81965,0.0153,1
0.46976,0,1
1.26905,0,1
1.32041,0,1
1.10855,0,1
0.46976,0,1
1.12139,0.1581,1
1.15028,0,1
1.30115,0.0714,1
1.1888,0.0561,1
1.14065,0,1
0.8999,0.0357,1
1.29152,0,1
1.27868,0.0561,1
0.72014,0,1
1.21127,0,1
1.16954,0,1
0.71051,0.051,1
1.53869,0,1
1.1888,0.153,1
1.3814,0.0306,1
1.3493,0,1
1.61894,0.1326,1
1.17917,0.0816,1
1.32041,0,1
1.31078,0,1
0.89027,0,1
1.33004,0,1
1.29152,0,1
1.09892,0,1
1.56116,0.1224,1
0.51149,0.0816,1
1.29152,0.1224,1
1.3493,0,1
1.27868,0,1
0.79076,0,1
0.87101,0.0867,1
1.12139,0,1
1.14065,0,1
1.33004,0,1
1.3493,0,1
1.35893,0.0561,1
1.47128,0,2
1.53869,0,2
1.53869,0,2
0.7715,0,2
1.48091,0,2
1.24016,0.1785,2
1.07966,0.0612,2
1.51943,0,2
1.57079,0,2
1.62857,0,2
1.33004,0,2
1.42955,0,2
0.65915,0,2
1.5098,0,2
1.48091,0,2
2.1197,0,2
1.86932,0.459,2
1.78907,0,2
1.52906,0.1479,2
1.87895,0.1734,2
1.47128,0,2
1.62857,0.51,2
1.16954,0,2
1.60931,0,2
1.55153,0.459,2
2.08118,0,2
1.58042,0.0969,2
1.53869,0.0765,2
1.49054,0,2
0.82928,0.102,2
1.26905,0.1632,2
1.42955,0,2
1.1888,0,2
1.0604,0.0765,2
1.64141,0,2
1.47128,0,2
0.55964,0,2
1.42955,0.0867,2
1.17917,0,2
1.61894,0.1071,2
0.99941,0.1224,2
1.56116,0.0612,2
1.74092,0.0612,2
0.66878,0,2
1.23053,0.1224,2
1.41029,0.051,2
1.15028,0,2
1.49054,0,2
1.44881,0,2
1.42955,0,2
1.43918,0.1122,2
1.53869,0,2
0.74903,0,2
1.25942,0.0714,2
1.70882,0,2
1.57079,0,2
1.10855,0.1122,2
1.25942,0,2
1.15991,0.1224,2
1.6703,0.0867,2
1.35893,0.051,2
1.07003,0.0867,2
1.53869,0,2
1.24979,0,2
1.32041,0,2
1.35893,0,2
1.51943,0.051,2
1.43918,0.1275,2
1.10855,0,3
1.3814,0.051,3
0.74903,0.1224,3
1.27868,0,3
1.3493,0,3
0.5789,0,3
1.25942,0,3
1.33967,0,3
1.31078,0,3
1.62857,0.459,3
0.82928,0,3
1.76018,0.0867,3
0.90953,0.1887,3
0.64952,0,3
1.53869,0,3
1.56116,0,5
1.56116,0,5
3.04097,0,5
1.40066,0,5
1.85969,0,5
1.76018,0,5
1.8308,0,5
1.65104,0,5
3.0185,0,5
1.58042,0,5
1.5098,0.1428,5
1.61894,0,6
1.66067,0,6
1.56116,0,6
1.1888,0,6
0.34136,0,6
2.09081,0,6
1.53869,0,6
1.74092,0,6
2.25131,0,7
2.05871,0,7
1.78907,0,7
2.21921,0,7
2.00093,0.0408,7
1.23053,0,7
2.02019,0,7
2.68145,0.0255,7
2.73923,0,7
1.97846,0.0357,7
1.9913,0,7
2.79059,0.459,7
1.81154,0,7
2.34119,0,7
2.54021,0.0051,7
2.37971,0.459,7
1.7987,0,7
2.88047,0,7
2.65898,0,7
1.31078,0,7
2.27057,0,7
2.42144,0,7
1.93994,0,7
1.9913,0,7
2.08118,0,7
1.82117,0,7
