@relation glass

@attribute RI numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517506,72.75,1
1.517961,72.9572,1
1.52213,71.77,1
1.517551,73.198,1
1.517369,72.7892,1
1.516184,72.9908,1
1.517437,73.0916,1
1.517938,73.03,1
1.517825,72.9516,1
1.52172,71.7924,1
1.517551,72.7892,1
1.51762,72.7276,1
1.518075,72.8396,1
1.51762,73.0076,1
1.51967,72.022,1
1.521515,72.3188,1
1.517346,72.7276,1
1.515706,73.198,1
1.517415,73.0804,1
1.517847,72.862,1
1.522221,71.9884,1
1.52213,71.77,1
1.51566,72.7388,1
1.52197,71.3612,1
1.526663,71.5684,1
1.521515,72.2012,1
1.517209,73.0412,1
1.52172,72.0108,1
1.517642,73.002,1
1.519761,71.7196,1
1.512152,72.9796,1
1.517209,72.8508,1
1.517551,72.9908,1
1.520991,71.9604,1
1.51926,72.358,1
1.517665,72.61,1
1.517847,73.1084,1
1.51762,73.2876,1
1.51869,72.722,1
1.518986,72.078,1
1.51746,73.2708,1
1.519009,71.9492,1
1.517756,72.9684,1
1.521014,71.7812,1
1.519191,72.078,1
1.517779,72.9796,1
1.519055,72.638,1
1.515888,73.282,1
1.517551,73.2372,1
1.521515,72.218,1
1.518371,72.8508,1
1.517688,73.0804,1
1.517483,73.2092,1
1.518235,72.9516,1
1.51762,73.2372,1
1.51787,72.9516,1
1.517779,72.7612,1
1.517551,72.9908,1
1.522267,71.35,1
1.517506,73.0188,1
1.517938,72.638,1
1.523201,71.7476,1
1.517528,73.3884,1
1.516891,72.5428,2
1.515911,72.862,2
1.518394,72.5708,2
1.518417,72.2796,2
1.517073,72.0612,2
1.515911,73.1196,2
1.516731,73.3604,2
1.516298,73.282,2
1.51664,72.9572,2
1.518508,72.8284,2
1.518121,72.918,2
1.516526,72.4476,2
1.516617,73.0076,2
1.527779,72.022,2
1.52664,73.2092,2
1.518121,72.778,2
1.516276,72.8284,2
1.517437,73.5508,2
1.516139,72.8788,2
1.515683,73.2484,2
1.515729,71.8708,2
1.526139,71.238,2
1.520672,72.1788,2
1.518918,72.5484,2
1.518462,72.3804,2
1.521765,72.75,2
1.516458,72.8116,2
1.521765,72.19,2
1.518007,71.8092,2
1.51844,72.4028,2
1.53393,70.1628,2
1.527255,70.5716,2
1.516549,73.2708,2
1.516731,73.142,2
1.518052,73.0692,2
1.516458,72.6492,2
1.516458,72.3916,2
1.518713,72.5092,2
1.531242,69.81,2
1.517118,72.9572,2
1.515934,72.8676,2
1.51828,72.33,2
1.518189,73.8084,2
1.516048,73.58,2
1.518485,71.9604,2
1.516663,72.75,2
1.524089,71.1484,2
1.516731,72.5316,2
1.515934,73.0972,2
1.517073,72.5204,2
1.515911,72.6604,2
1.517301,72.8676,2
1.518189,74.4524,2
1.515934,73.17,2
1.517893,72.33,2
1.516389,73.2316,2
1.522221,72.6716,2
1.518121,72.4924,2
1.516868,72.8396,2
1.517096,72.722,2
1.518462,72.442,2
1.527392,73.0804,2
1.516891,73.2092,2
1.516594,72.9684,2
1.515911,73.0972,2
1.518417,72.3412,2
1.515888,73.2596,2
1.514089,72.2796,2
1.516253,72.722,2
1.519351,72.6492,3
1.516936,72.61,3
1.517961,71.938,3
1.51664,72.4812,3
1.516093,72.6884,3
1.521219,71.7924,3
1.522107,71.3612,3
1.517756,72.0388,3
1.516549,72.638,3
1.516708,72.6996,3
1.518326,72.1396,3
1.516093,72.6716,3
1.521264,71.5012,3
1.516458,73.0076,3
1.516435,72.89,3
1.517688,72.7724,3
1.519146,72.6884,5
1.5132,70.7004,5
1.52172,72.862,5
1.519943,73.03,5
1.513155,70.482,5
1.520581,72.1788,5
1.516663,73.8812,5
1.523679,72.218,5
1.519692,73.7524,5
1.521515,73.4388,5
1.515137,69.8884,5
1.521196,73.3884,5
1.51828,72.3804,6
1.518531,72.6716,6
1.512995,74.5476,6
1.519374,72.7612,6
1.519692,73.478,6
1.519169,72.7388,6
1.518872,72.498,6
1.51115,75.41,6
1.516025,73.282,7
1.516389,72.8508,7
1.515091,73.5004,7
1.523155,72.3804,7
1.522472,70.258,7
1.516162,73.2988,7
1.517187,73.0188,7
1.51623,72.61,7
1.516458,73.1084,7
1.520649,73.422,7
1.517278,73.282,7
1.515319,73.0972,7
1.516139,73.0972,7
1.516093,73.0524,7
1.517118,73.3604,7
1.523656,70.4316,7
1.515569,73.2316,7
1.511309,72.8116,7
1.516526,75.1804,7
1.516572,73.1084,7
1.518303,72.862,7
1.516845,73.58,7
1.518371,71.2492,7
1.515455,73.3884,7
1.516822,73.2876,7
1.515137,73.7188,7
