@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,5-6,8,10'

@attribute RI numeric
@attribute Si numeric
@attribute K numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.522221,71.9884,0.13041,0,1
1.51762,72.7276,0.47817,0,1
1.517825,72.9516,0.57132,0,1
1.521515,72.3188,0.19251,0,1
1.517847,72.862,0.60237,0,1
1.51926,72.358,0.60237,0,1
1.517483,73.2092,0.54027,0,1
1.518918,72.5484,0.57132,0,2
1.516891,72.5428,0.6831,0,2
1.515934,72.8676,0.6831,0,2
1.524089,71.1484,0.08073,0,2
1.518121,72.778,0.52164,0,2
1.515683,73.2484,0.37881,0,2
1.516549,73.2708,0.57132,0.11025,2
1.516731,73.3604,0.65826,0,2
1.521219,71.7924,0.11178,0,3
1.518326,72.1396,0.5589,0,3
1.521515,73.4388,0.57753,0,5
1.51828,72.3804,0,0,6
1.515569,73.2316,0.14283,0.80955,7
1.517118,73.3604,0,1.6695,7
1.517278,73.282,0,0.6615,7
