@relation glass

@attribute Na numeric
@attribute Mg numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
12.65185,3.56057,73.0804,1
14.7732,3.74915,72.022,1
13.7225,3.72221,71.7476,1
12.67845,3.66833,73.1084,1
12.83805,3.5022,73.2708,1
13.4831,3.74017,72.0108,1
12.81145,3.53812,73.2372,1
13.2703,3.61894,73.0804,1
12.81145,3.56955,73.0188,1
13.3767,3.5022,72.8508,1
14.20795,3.82099,71.77,1
13.4299,2.86911,72.8396,1
12.9777,3.53812,73.002,1
13.21045,3.47975,72.638,1
12.7915,3.5022,73.03,1
13.1905,3.37199,72.722,1
13.5097,3.8614,71.7924,1
13.2969,3.60098,73.0916,1
12.57205,3.47077,73.3884,1
14.20795,3.82099,71.77,1
12.85135,3.47975,72.9684,1
13.4831,3.74017,72.9908,1
13.88875,3.52914,71.8092,1
13.3102,3.57853,71.9884,1
13.29025,3.44832,72.7388,1
13.1373,2.84217,72.8508,1
14.417,3.57853,72.078,1
13.6028,3.61894,72.638,1
12.99765,3.60098,72.9908,1
13.6427,4.49,71.7812,1
12.8713,3.47975,73.0412,1
13.80895,3.57853,71.7196,1
12.7117,3.42138,73.198,1
12.7782,3.61894,72.7892,1
12.7915,3.60996,72.9684,1
14.16805,3.81201,71.35,1
12.7383,3.47975,72.9572,1
12.45235,2.71196,73.702,1
13.11735,3.57853,72.2012,1
13.52965,3.55159,72.9908,1
13.48975,3.47975,71.9492,1
13.72915,3.83895,71.7588,1
12.55875,3.52016,73.1476,1
13.21045,3.69078,72.61,1
12.79815,3.65935,73.0076,1
13.90205,3.73119,72.1228,1
12.71835,3.46179,73.198,1
13.58285,3.34954,72.078,1
12.87795,3.43036,73.282,1
13.39,3.65935,72.7892,1
13.21045,2.81074,72.9796,1
12.73165,3.43036,72.9516,1
12.61195,3.592,73.2876,1
13.21045,3.38995,72.7612,1
12.8713,3.47975,72.9516,1
14.3609,3.84793,71.3612,1
13.1506,3.60996,73.2372,1
13.0176,3.53812,72.7276,1
12.8181,3.55159,72.75,1
12.991,3.47077,72.9796,1
13.9885,3.69976,71.5684,1
13.68925,3.592,71.9604,1
13.05085,3.65037,72.218,1
13.4033,3.48873,72.6492,2
13.4831,3.47975,72.5204,2
13.23705,3.34056,73.0972,2
11.0226,0,73.0804,2
13.0176,3.61894,72.3412,2
13.40995,3.88834,72.3804,2
13.7491,1.01025,72.19,2
12.8713,3.56057,73.142,2
13.922,3.52016,72.8788,2
12.93115,3.65935,72.5092,2
14.85965,3.66833,71.8708,2
12.89125,3.61894,72.9572,2
13.19715,3.62792,72.8284,2
13.78235,2.28092,71.9884,2
12.991,3.17892,72.9684,2
13.3368,3.56955,72.8676,2
13.98185,1.35149,71.7588,2
13.2969,3.64139,72.5316,2
12.99765,3.47077,72.722,2
14.24785,3.08912,72.2796,2
12.8181,3.52016,72.862,2
