@relation glass

@attribute RI numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.51787,1
1.51566,1
1.52172,1
1.518986,1
1.51762,1
1.523201,1
1.522996,1
1.517437,1
1.517961,1
1.517688,1
1.5191,1
1.517938,1
1.51967,1
1.517551,1
1.517528,1
1.521515,1
1.517209,1
1.517665,1
1.522267,1
1.518075,1
1.515888,1
1.519009,1
1.52172,1
1.517551,1
1.517369,1
1.51926,1
1.517209,1
1.52213,1
1.517415,1
1.517938,1
1.517688,1
1.515957,1
1.517688,1
1.52197,1
1.517506,1
1.518235,1
1.520991,1
1.51869,1
1.517346,1
1.522221,1
1.526663,1
1.515706,1
1.517551,1
1.516184,1
1.517847,1
1.517756,1
1.522107,1
1.51746,1
1.521515,1
1.517483,1
1.51762,1
1.517825,1
1.51762,1
1.519761,1
1.5191,1
1.517506,1
1.519055,1
1.517779,1
1.517551,1
1.521014,1
1.519191,1
1.518371,1
1.517847,1
1.518007,2
1.526139,2
1.520194,2
1.518918,2
1.515911,2
1.518462,2
1.516891,2
1.518417,2
1.527779,2
1.517073,2
1.517437,2
1.516594,2
1.531242,2
1.515911,2
1.522221,2
1.516458,2
1.516276,2
1.516139,2
1.524089,2
1.515957,2
1.515888,2
1.518121,2
1.517301,2
1.516731,2
1.518189,2
1.518121,2
1.52475,2
1.516868,2
1.51844,2
1.52664,2
1.518417,2
1.516048,2
1.53393,2
1.515934,2
1.518121,2
1.514089,2
1.516321,2
1.515729,2
1.518189,2
1.516617,2
1.517073,2
1.520809,2
1.515911,2
1.521765,2
1.518599,2
1.516184,2
1.516526,2
1.516549,2
1.521765,2
1.517118,2
1.518508,2
1.516731,2
1.515934,2
1.51828,2
1.515683,2
1.518713,2
1.516253,2
1.515934,2
1.516891,2
1.517096,2
1.51664,2
1.527255,2
1.518485,2
1.516731,2
1.520672,2
1.516458,2
1.517893,2
1.516458,2
1.517688,3
1.517756,3
1.518326,3
1.516458,3
1.516708,3
1.521264,3
1.522107,3
1.516435,3
1.51664,3
1.516549,3
1.516936,3
1.517779,3
1.521219,3
1.517961,3
1.516093,3
1.5132,5
1.520421,5
1.519943,5
1.521515,5
1.523679,5
1.520581,5
1.521196,5
1.519146,5
1.516663,5
1.519692,5
1.515137,5
1.518531,6
1.519169,6
1.519374,6
1.519055,6
1.512995,6
1.51828,6
1.518872,6
1.519692,6
1.516139,7
1.515569,7
1.515137,7
1.517278,7
1.516845,7
1.522472,7
1.516093,7
1.516572,7
1.523656,7
1.516458,7
1.515319,7
1.516162,7
1.523155,7
1.51623,7
1.515091,7
1.517323,7
1.516526,7
1.516822,7
1.511309,7
1.517118,7
1.516025,7
1.51623,7
1.518371,7
1.516503,7
1.516389,7
1.515455,7
