@relation glass

@attribute RI numeric
@attribute Si numeric
@attribute K numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.51762,73.0076,0.60237,0,1
1.5191,72.1228,0.0621,0,1
1.517551,73.2372,0.57132,0,1
1.517209,73.0412,0.5589,0,1
1.517506,72.75,0.54027,0,1
1.517551,73.198,0.58995,0,1
1.52172,71.7924,0.22977,0,1
1.521515,72.218,0.19251,0,1
1.516184,72.9908,0.39123,0,1
1.518075,72.8396,0.55269,0,1
1.526663,71.5684,0.01863,0,1
1.517209,72.8508,0.50301,0,1
1.517551,72.9908,0.58995,0,1
1.518371,72.8508,0.55269,0,1
1.522267,71.35,0,0,1
1.522996,71.9884,0.11799,0,1
1.519191,72.078,0.5589,0,1
1.519009,71.9492,0.55269,0,1
1.520991,71.9604,0.08694,0,1
1.52172,72.0108,0.18009,0,1
1.517346,72.7276,0.54027,0,1
1.523201,71.7476,0.08694,0,1
1.517551,72.7892,0.57132,0,1
1.519761,71.7196,0.11799,0.68985,1
1.52213,71.77,0.11178,0,1
1.521515,72.2012,0.22977,0,1
1.517369,72.7892,0.58995,0,1
1.512152,72.9796,0.621,0,1
1.517961,72.9572,0.63963,0,1
1.517506,73.0188,0.621,0,1
1.517688,73.702,0.5589,0,1
1.52197,71.3612,0.14904,0,1
1.517688,73.0804,0.60858,0,1
1.51762,73.2876,0.57753,0,1
1.51869,72.722,0.57132,0,1
1.521014,71.7812,0.0621,0,1
1.517551,72.9908,0.57132,0,1
1.518986,72.078,0.58995,0,1
1.517665,72.61,0.57132,0,1
1.517847,73.1084,0.60858,0,1
1.51762,73.2372,0.57753,0,1
1.5191,71.8092,0.50922,0.11025,1
1.517528,73.3884,0.60237,0,1
1.517756,72.9684,0.60858,0.09135,1
1.515888,73.282,0.68931,0,1
1.517938,72.638,0.58995,0,1
1.515957,72.9684,0.63963,0,1
1.517415,73.0804,0.55269,0,1
1.517938,73.03,0.63963,0,1
1.519055,72.638,0.14283,0,1
1.517779,72.9796,0.50922,0,1
1.51787,72.9516,0.621,0,1
1.51566,72.7388,0.5589,0,1
1.517642,73.002,0.65205,0,1
1.51967,72.022,0.03105,0,1
1.517779,72.7612,0.58995,0,1
1.515706,73.198,0.67068,0,1
1.517688,73.1476,0.57132,0,1
1.518235,72.9516,0.60237,0,1
1.522107,71.7588,0.16767,0,1
1.517437,73.0916,0.57753,0,1
1.51746,73.2708,0.5589,0,1
1.52213,71.77,0.11178,0,1
1.516458,72.8116,0.6831,0,2
1.516526,72.4476,0.63963,0,2
1.51828,72.33,0.55269,0,2
1.518007,71.8092,0.54027,0,2
1.516298,73.282,0.67068,0,2
1.53393,70.1628,0.11799,0,2
1.517301,72.8676,0.70173,0,2
1.518462,72.3804,0.50922,0,2
1.517073,72.5204,0.621,0,2
1.518599,72.2628,0.50922,0,2
1.516139,72.8788,0.3726,0,2
1.517096,72.722,0.65826,0,2
1.518417,72.2796,0.63963,0,2
1.516731,73.142,0.65205,0,2
1.52664,73.2092,0,0,2
1.515911,73.1196,0.68931,0,2
1.531242,69.81,0.57753,3.15,2
1.516868,72.8396,0.5589,0,2
1.518189,74.4524,0,0,2
1.516276,72.8284,0.60858,0,2
1.516458,72.6492,0.67068,0,2
1.516321,72.8676,0.60858,0,2
1.515911,72.6604,0.68931,0,2
1.516458,72.3916,0.65826,0,2
1.515729,71.8708,0.16146,0,2
1.51844,72.4028,0.57753,0,2
1.516389,73.2316,0.62721,0,2
1.517118,72.9572,0.60858,0,2
1.527255,70.5716,0.08073,0,2
1.517073,72.0612,0.63963,0,2
1.518508,72.8284,0.57132,0.09135,2
1.527392,73.0804,0,0,2
1.521765,72.19,0.32913,0,2
1.516891,73.2092,0.73278,0,2
1.515888,73.2596,0.06831,0,2
1.518462,72.442,0.60237,0,2
1.518121,72.918,0.60237,0.1386,2
1.520194,71.7588,0.39123,0,2
1.52475,72.19,0.8073,0,2
1.522221,72.6716,0.09936,0,2
1.521765,72.75,0.54027,0,2
1.514089,72.2796,1.09917,0,2
1.517893,72.33,0.55269,0,2
1.516253,72.722,0.44712,0,2
1.516184,72.89,0.60237,0,2
1.515934,73.0972,0.67068,0,2
1.517437,73.5508,0.621,0,2
1.51664,72.9572,0.63963,0,2
1.518189,73.8084,0.34776,0,2
1.516048,73.58,0.44091,0,2
1.515911,72.862,0.68931,0,2
1.518394,72.5708,0.621,0,2
1.515957,73.1084,0.72036,0,2
1.520672,72.1788,0.52785,0.2709,2
1.515911,73.0972,0.39123,0,2
1.518052,73.0692,0.5589,0,2
1.518485,71.9604,0.54027,0,2
1.518121,72.4924,0.57753,0,2
1.520809,71.9884,0.49059,0,2
1.518713,72.5092,0.57753,0,2
1.516594,72.9684,0.57753,0,2
1.526139,71.238,0.19251,0,2
1.515934,73.17,0.60858,0,2
1.527779,72.022,0.0621,0,2
1.516617,73.0076,0.6831,0.5985,2
1.516731,72.5316,0.65205,0,2
1.518417,72.3412,0.63963,0,2
1.516663,72.75,0.5589,0,2
1.521264,71.5012,0,0,3
1.516093,72.6884,0.58995,0,3
1.517688,72.7724,0.11178,0,3
1.517961,71.938,0.57132,0,3
1.517779,73.002,0.0621,0,3
1.516708,72.6996,0.5589,0,3
1.51664,72.4812,0.60237,0,3
1.516549,72.638,0.52164,0,3
1.516435,72.89,0.57132,0,3
1.516936,72.61,0.60858,0,3
1.522107,71.3612,0.22977,0,3
1.516458,73.0076,0.52164,0,3
1.517756,72.0388,0.57753,0,3
1.519351,72.6492,0.16146,0.1512,3
1.516093,72.6716,0.5589,0,3
1.523679,72.218,0.32292,0,5
1.5132,70.7004,6.21,0,5
1.520421,72.2516,0.32913,0,5
1.521196,73.3884,0.13041,0,5
1.519943,73.03,0.47196,0,5
1.520581,72.1788,0.75762,0.2394,5
1.516663,73.8812,0.96876,0,5
1.513155,70.482,6.21,0,5
1.52172,72.862,0.47196,0,5
1.515137,69.8884,1.68291,2.1987,5
1.519146,72.6884,0.60237,0,5
1.519692,73.7524,0.37881,0,5
1.519169,72.7388,0,0,6
1.518872,72.498,0,0,6
1.518531,72.6716,0,0,6
1.51115,75.41,0,0,6
1.519692,73.478,0,0,6
1.519055,72.3692,0,0,6
1.512995,74.5476,0,0,6
1.519374,72.7612,0,0,6
1.523155,72.3804,0.60237,0,7
1.516526,75.1804,2.70135,0,7
1.517187,73.0188,0,1.59075,7
1.516503,73.6124,0,1.5687,7
1.516822,73.2876,0,1.5687,7
1.520649,73.422,0,1.64115,7
1.522472,70.258,0.75762,0,7
1.516389,72.8508,0,0.53865,7
1.51623,73.4612,0.03726,0.40005,7
1.518371,71.2492,1.45935,1.62855,7
1.516458,73.1084,0,1.3797,7
1.516025,73.282,0,0.63945,7
1.516162,73.2988,0,0.67095,7
1.511309,72.8116,1.75743,1.1907,7
1.51623,72.61,0.08073,1.06155,7
1.518303,72.862,1.40967,2.8791,7
1.515319,73.0972,0.03726,0.63945,7
1.515455,73.3884,0.08073,0.6111,7
1.516139,73.0972,0,0.75915,7
1.515091,73.5004,0,0.63,7
1.517323,72.9908,0,1.5498,7
