@relation glass

@attribute Si numeric
@attribute K numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
72.7388,0.5589,0,1
72.9796,0.50922,0,1
71.9884,0.13041,0,1
73.282,0.68931,0,1
71.7924,0.22977,0,1
72.218,0.19251,0,1
71.35,0,0,1
73.0916,0.57753,0,1
71.9884,0.11799,0,1
72.9684,0.60858,0.09135,1
72.9516,0.621,0,1
72.7892,0.57132,0,1
73.2092,0.54027,0,1
72.7276,0.54027,0,1
73.0804,0.60858,0,1
72.722,0.57132,0,1
73.2876,0.57753,0,1
71.7588,0.16767,0,1
73.2708,0.5589,0,1
72.8396,0.55269,0,1
71.77,0.11178,0,1
71.3612,0.14904,0,1
73.03,0.63963,0,1
71.7476,0.08694,0,1
72.8508,0.50301,0,1
73.198,0.58995,0,1
72.9908,0.57132,0,1
71.9492,0.55269,0,1
73.002,0.65205,0,1
72.358,0.60237,0,1
72.75,0.54027,0,1
73.2372,0.57132,0,1
73.0412,0.5589,0,1
72.7892,0.58995,0,1
71.8092,0.50922,0.11025,1
73.0076,0.60237,0,1
73.702,0.5589,0,1
71.7812,0.0621,0,1
72.2012,0.22977,0,1
72.1228,0.0621,0,1
73.198,0.67068,0,1
72.9684,0.63963,0,1
72.9572,0.63963,0,1
73.3884,0.60237,0,1
72.9516,0.57132,0,1
72.9908,0.39123,0,1
72.7612,0.58995,0,1
72.7276,0.47817,0,1
72.862,0.60237,0,1
72.078,0.58995,0,1
72.3188,0.19251,0,1
72.9796,0.621,0,1
72.8508,0.55269,0,1
72.0108,0.18009,0,1
71.9604,0.08694,0,1
72.638,0.58995,0,1
73.1476,0.57132,0,1
72.022,0.03105,0,1
72.61,0.57132,0,1
72.078,0.5589,0,1
72.638,0.14283,0,1
72.9516,0.60237,0,1
73.1084,0.60858,0,1
72.8676,0.70173,0,2
72.2628,0.50922,0,2
72.722,0.65826,0,2
72.3916,0.65826,0,2
69.81,0.57753,3.15,2
73.142,0.65205,0,2
72.8116,0.6831,0,2
73.5508,0.621,0,2
72.2796,1.09917,0,2
71.8092,0.54027,0,2
73.2708,0.57132,0.11025,2
72.8788,0.3726,0,2
72.4476,0.63963,0,2
71.8708,0.16146,0,2
72.5204,0.621,0,2
72.19,0.8073,0,2
73.8084,0.34776,0,2
72.5428,0.6831,0,2
72.6604,0.68931,0,2
72.4028,0.57753,0,2
72.6492,0.67068,0,2
72.6716,0.09936,0,2
73.282,0.67068,0,2
72.9572,0.63963,0,2
73.3604,0.65826,0,2
73.2484,0.37881,0,2
73.2092,0,0,2
72.89,0.60237,0,2
72.5484,0.57132,0,2
72.3804,0.50922,0,2
72.4924,0.57753,0,2
72.8284,0.57132,0.09135,2
73.1084,0.72036,0,2
72.9572,0.60858,0,2
72.442,0.60237,0,2
72.5316,0.65205,0,2
72.778,0.52164,0,2
71.7588,0.39123,0,2
72.33,0.55269,0,2
72.5092,0.57753,0,2
72.8676,0.60858,0,2
72.33,0.55269,0,2
72.2796,0.63963,0,2
74.4524,0,0,2
72.918,0.60237,0.1386,2
71.9884,0.49059,0,2
70.1628,0.11799,0,2
72.5708,0.621,0,2
72.19,0.32913,0,2
73.0692,0.5589,0,2
73.0804,0,0,2
71.1484,0.08073,0,2
73.0076,0.6831,0.5985,2
72.9684,0.57753,0,2
72.8676,0.6831,0,2
72.75,0.5589,0,2
73.2596,0.06831,0,2
72.0612,0.63963,0,2
73.2092,0.73278,0,2
73.2316,0.62721,0,2
72.022,0.0621,0,2
73.17,0.60858,0,2
71.9604,0.54027,0,2
72.75,0.54027,0,2
73.58,0.44091,0,2
72.722,0.44712,0,2
72.862,0.68931,0,2
72.8284,0.60858,0,2
72.1396,0.5589,0,3
71.3612,0.22977,0,3
71.938,0.57132,0,3
71.5012,0,0,3
72.89,0.57132,0,3
72.61,0.60858,0,3
73.0076,0.52164,0,3
72.6996,0.5589,0,3
72.6884,0.58995,0,3
72.6716,0.5589,0,3
72.6492,0.16146,0.1512,3
71.7924,0.11178,0,3
73.002,0.0621,0,3
72.638,0.52164,0,3
72.0388,0.57753,0,3
73.8812,0.96876,0,5
72.1788,0.75762,0.2394,5
69.8884,1.68291,2.1987,5
72.6884,0.60237,0,5
73.4388,0.57753,0,5
72.862,0.47196,0,5
70.7004,6.21,0,5
70.482,6.21,0,5
72.2516,0.32913,0,5
72.218,0.32292,0,5
73.7524,0.37881,0,5
73.03,0.47196,0,5
72.6716,0,0,6
72.498,0,0,6
72.7388,0,0,6
73.478,0,0,6
74.5476,0,0,6
72.3804,0,0,6
72.3692,0,0,6
75.41,0,0,6
73.6124,0,1.5687,7
73.1084,0,1.71045,7
70.258,0.75762,0,7
73.0524,0.04968,0.5292,7
73.1084,0,1.3797,7
73.0188,0,1.59075,7
73.422,0,1.64115,7
72.3804,0.60237,0,7
73.282,0,0.6615,7
73.5004,0,0.63,7
73.3884,0.08073,0.6111,7
73.2876,0,1.5687,7
72.9908,0,1.5498,7
73.0972,0,0.75915,7
73.7188,0,0.5607,7
73.58,0,1.59075,7
72.862,1.40967,2.8791,7
73.2316,0.14283,0.80955,7
70.4316,0.3105,1.67895,7
73.4612,0.03726,0.40005,7
73.0972,0.03726,0.63945,7
71.2492,1.45935,1.62855,7
73.3604,0,1.6695,7
72.61,0.08073,1.06155,7
72.8508,0,0.53865,7
75.1804,2.70135,0,7
