@relation glass

@attribute RI numeric
@attribute Mg numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.520991,3.592,1.12139,1
1.522996,3.57853,0.81965,1
1.51746,3.5022,1.14065,1
1.522267,3.81201,0.78113,1
1.521014,4.49,1.09892,1
1.517483,3.56057,1.26905,1
1.51762,3.592,1.31078,1
1.517551,3.60996,1.05077,1
1.517779,2.81074,1.29152,1
1.518235,3.47975,1.29152,1
1.51762,3.65935,1.26905,1
1.515957,3.60996,1.61894,1
1.521515,3.65037,0.87101,1
1.52172,3.8614,0.88064,1
1.512152,3.47077,1.12139,1
1.518986,3.34954,1.23053,1
1.51787,3.43036,1.1888,1
1.5191,3.52914,1.32041,1
1.517551,3.42138,1.19843,1
1.519009,3.47975,1.3493,1
1.52213,3.82099,0.46976,1
1.517209,3.5022,1.15028,1
1.517665,3.69078,1.29152,1
1.526663,3.69976,0.71051,1
1.516184,3.55159,1.53869,1
1.519191,3.57853,1.36856,1
1.517779,3.38995,1.33004,1
1.517688,3.52016,1.42955,1
1.522221,3.7716,0.79076,1
1.517551,3.60098,1.35893,1
1.515706,3.46179,1.56116,1
1.521515,3.65037,0.87101,1
1.517642,3.53812,1.21127,1
1.51926,3.33158,1.27868,1
1.521515,3.57853,0.8999,1
1.5191,3.73119,1.17917,1
1.51967,3.74915,0.29,1
1.517847,3.48873,1.27868,1
1.522107,3.83895,0.72014,1
1.517825,3.53812,1.33967,1
1.517961,3.47975,1.3493,1
1.518371,2.84217,1.27868,1
1.517506,3.55159,1.49054,1
1.517688,3.56057,1.30115,1
1.515888,3.43036,1.40066,1
1.51869,3.37199,1.17917,1
1.51762,3.53812,1.23053,1
1.517209,3.47975,1.33004,1
1.517756,3.47975,1.23053,1
1.519761,3.57853,1.32041,1
1.52197,3.84793,0.89027,1
1.517938,3.47975,1.41029,1
1.523201,3.72221,0.51149,1
1.517415,3.61894,1.24016,1
1.52213,3.82099,0.46976,1
1.519055,3.61894,1.10855,1
1.517346,3.53812,1.68956,1
1.517551,3.74017,1.16954,1
1.518075,2.86911,1.1888,1
1.517688,2.71196,1.29152,1
1.517506,3.56955,1.3493,1
1.51762,3.60098,1.35893,1
1.51566,3.44832,1.21127,1
1.524089,2.90054,1.16954,2
1.520809,2.28092,1.42955,2
1.51844,3.75813,1.32041,2
1.522221,0,0.99941,2
1.520672,2.08785,1.6703,2
1.516298,3.33158,1.49054,2
1.516868,3.53812,1.48091,2
1.517073,3.47975,1.70882,2
1.518462,3.96916,1.1888,2
1.516458,3.48873,1.51943,2
1.514089,3.08912,2.08118,2
1.518599,3.43036,1.42955,2
1.516184,3.5022,1.48091,2
1.518189,0,0.55964,2
1.515911,3.34056,1.47128,2
1.516321,3.56955,1.57079,2
1.52664,0,0.7715,2
1.515934,3.592,1.51943,2
1.521765,3.6818,1.15028,2
1.518394,3.66833,1.24016,2
1.517437,3.25076,1.15991,2
1.517096,3.47077,1.78907,2
1.51828,3.90181,1.41029,2
1.53393,0,0.99941,2
1.516458,3.55159,1.24979,2
1.518007,3.92875,1.53869,2
1.527255,3.15198,0.65915,2
1.518462,3.88834,1.33004,2
1.531242,0,2.10044,2
1.517118,3.61894,1.57079,2
1.520194,1.35149,1.62857,2
1.515957,3.56057,1.53869,2
1.515934,3.52016,1.55153,2
1.51664,3.53812,1.61894,2
1.516253,3.57853,1.49054,2
1.515729,3.66833,1.74092,2
1.516549,2.85115,1.43918,2
1.52475,0,1.87895,2
1.527779,0,0.66878,2
1.518485,3.87038,1.26905,2
1.521765,1.01025,1.35893,2
1.516731,3.56057,1.64141,2
1.527392,0,0.74903,2
1.518189,2.76135,0.82928,2
1.516663,3.60996,1.25942,2
1.518052,3.79854,1.07966,2
1.518918,3.82997,1.25942,2
1.518508,3.62792,1.07003,2
1.526139,0,1.35893,2
1.518121,2.95891,1.42955,2
1.516389,3.47975,1.86932,2
1.515934,3.44832,1.42955,2
1.516276,3.57853,1.53869,2
1.515911,3.52016,1.90142,2
1.518121,3.84793,1.24979,2
1.516891,2.87809,1.70882,2
1.515911,3.57853,1.5098,2
1.517893,3.90181,1.30115,2
1.515911,3.52016,2.1197,2
1.517073,3.6818,1.81154,2
1.517301,2.72094,1.62857,2
1.518121,3.97814,1.17917,2
1.518417,3.61894,1.0604,2
1.516048,3.43934,1.44881,2
1.516891,3.53812,1.60931,2
1.516139,3.52016,1.24979,2
1.516731,3.52016,1.53869,2
1.515683,3.48873,1.47128,2
1.518326,3.34056,1.53869,3
1.517961,3.35852,1.62857,3
1.522107,3.78058,0.90953,3
1.519351,3.53812,0.74903,3
1.516093,3.39893,1.2209,3
1.517688,3.65935,1.10855,3
1.516549,3.38995,1.27868,3
1.521264,3.90181,0.82928,3
1.516435,3.52016,1.3493,3
1.51664,3.44832,1.76018,3
1.516936,3.57853,1.31078,3
1.516093,3.52914,1.33967,3
1.521219,3.75813,0.5789,3
1.517779,3.65037,0.64952,3
1.517756,3.40791,1.51943,3
1.516663,0,1.8308,5
1.521196,0.32777,1.5098,5
1.520421,0,1.40066,5
1.513155,0,3.04097,5
1.523679,0,1.58042,5
1.52172,1.88131,1.56116,5
1.520581,1.61191,2.17106,5
1.519943,0,1.76018,5
1.515137,2.68053,3.5,5
1.519692,0,1.65104,5
1.521515,1.71069,1.56116,5
1.519146,1.84988,1.85969,5
1.518872,0.78126,1.74092,6
1.51115,0,0.34136,6
1.519055,2.38868,1.56116,6
1.519169,0,2.09081,6
1.512995,1.74212,1.53869,6
1.519692,0,0.55964,6
1.51828,2.24051,1.61894,6
1.519374,2.41113,1.1888,6
1.515091,0,2.25131,7
1.516845,0,1.9913,7
1.516572,0,1.9913,7
1.520649,0,2.02019,7
1.515569,0,2.54021,7
1.516822,0,1.97846,7
1.516526,0,1.1888,7
1.518371,3.25974,2.21921,7
1.515455,0,2.68145,7
1.516093,0,2.51132,7
1.523155,3.34056,1.23053,7
1.51623,0,2.79059,7
1.516503,0,1.93994,7
1.515319,0,2.65898,7
1.517278,0,2.34119,7
1.517187,0,2.00093,7
1.517323,0,1.7987,7
1.516162,0,2.27057,7
1.522472,2.2001,2.05871,7
1.516025,0,2.37971,7
1.516139,1.77804,1.78907,7
1.518303,0,1.82117,7
1.515137,0,2.42144,7
1.511309,3.20137,1.81154,7
1.516458,0,1.86932,7
1.517118,0,2.08118,7
