@relation glass

@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
3.47077,0.60237,1
3.74017,0.58995,1
3.53812,0.65205,1
3.47975,0.58995,1
2.81074,0.50922,1
3.60996,0.63963,1
2.84217,0.55269,1
3.69078,0.57132,1
3.53812,0.54027,1
3.82099,0.11178,1
3.83895,0.16767,1
3.38995,0.58995,1
3.42138,0.58995,1
3.52016,0.57132,1
3.33158,0.60237,1
3.65037,0.19251,1
3.65935,0.57132,1
3.74017,0.18009,1
3.65935,0.60237,1
3.5022,0.50301,1
3.56955,0.621,1
3.56057,0.60858,1
3.60098,0.57132,1
3.69976,0.01863,1
3.43036,0.621,1
3.592,0.08694,1
3.84793,0.14904,1
3.57853,0.22977,1
3.81201,0,1
3.73119,0.0621,1
3.7716,0.13041,1
3.56057,0.54027,1
3.60098,0.57753,1
3.65037,0.19251,1
3.61894,0.58995,1
3.57853,0.11799,1
3.46179,0.67068,1
3.53812,0.57132,1
3.47975,0.55269,1
3.47975,0.63963,1
3.61894,0.55269,1
3.47975,0.5589,1
3.60996,0.57132,1
3.55159,0.39123,1
3.57853,0.11799,1
4.49,0.0621,1
3.5022,0.5589,1
2.71196,0.5589,1
3.48873,0.60237,1
3.60098,0.47817,1
3.72221,0.08694,1
3.44832,0.5589,1
3.66833,0.60858,1
3.592,0.57753,1
3.47975,0.60237,1
3.5022,0.63963,1
3.47077,0.621,1
3.52914,0.50922,1
3.74915,0.03105,1
3.37199,0.57132,1
3.82099,0.11178,1
3.53812,0.57753,1
3.61894,0.14283,1
3.57853,0.44712,2
3.17892,0.57753,2
3.48873,0.67068,2
3.43036,0.50922,2
3.48873,0.37881,2
3.96916,0.60237,2
3.74017,0.63963,2
1.35149,0.39123,2
3.53812,0.63963,2
3.6818,0.54027,2
3.90181,0.55269,2
0,0.0621,2
3.51118,0.6831,2
3.52016,0.6831,2
2.76135,0.34776,2
3.44832,0.60858,2
3.53812,0.6831,2
0,0.19251,2
3.25076,0.621,2
3.56057,0.65205,2
2.08785,0.52785,2
3.33158,0.67068,2
3.56955,0.63963,2
3.34056,0.39123,2
3.47975,0.62721,2
3.66833,0.621,2
3.56955,0.60858,2
2.85115,0.57132,2
3.56057,0.72036,2
3.57853,0.60858,2
3.43934,0.44091,2
3.87038,0.54027,2
3.65935,0.57753,2
3.57853,0.68931,2
3.5022,0.60237,2
3.53812,0.5589,2
3.60996,0.5589,2
0,0.8073,2
2.28092,0.49059,2
3.592,0.67068,2
3.52016,0.65826,2
3.62792,0.57132,2
3.79854,0.5589,2
3.52016,0.68931,2
3.47077,0.65826,2
3.61894,0.63963,2
3.92875,0.54027,2
2.95891,0.60237,2
1.01025,0.32913,2
3.82997,0.57132,2
0,0,2
3.97814,0.57753,2
3.60996,0.65826,2
0,0,2
3.61894,0.60858,2
3.15198,0.08073,2
3.84793,0.52164,2
2.72094,0.70173,2
3.88834,0.50922,2
2.90054,0.08073,2
0,0,2
0,0.11799,2
2.87809,0.73278,2
3.64139,0.65205,2
3.75813,0.57753,2
3.66833,0.16146,2
3.08912,1.09917,2
3.40791,0.06831,2
3.52914,0.5589,3
3.53812,0.16146,3
3.56955,0.5589,3
3.44832,0.60237,3
3.75813,0.11178,3
3.38995,0.52164,3
3.35852,0.57132,3
3.52016,0.57132,3
3.90181,0,3
3.78058,0.22977,3
3.34056,0.5589,3
3.39893,0.52164,3
3.65935,0.11178,3
3.65037,0.0621,3
3.57853,0.60858,3
0,0.96876,5
0,6.21,5
0,0.32292,5
1.84988,0.60237,5
1.71069,0.57753,5
0.32777,0.13041,5
0,6.21,5
1.88131,0.47196,5
0,0.32913,5
0,0.47196,5
0,0.37881,5
0.78126,0,6
0,0,6
0,0,6
1.74212,0,6
2.19112,0,6
2.24051,0,6
2.41113,0,6
2.38868,0,6
0,0,7
3.25974,1.45935,7
0,0,7
0,0.03726,7
0,0,7
0,0,7
0,0,7
0,0.14283,7
0,0.03726,7
0,0,7
0,0,7
2.2001,0.75762,7
0,0,7
1.77804,0,7
3.34056,0.60237,7
0,0.08073,7
0,0.08073,7
3.20137,1.75743,7
1.83192,0.3105,7
0,0,7
0,0,7
0,0,7
0,0,7
0,1.40967,7
0,0,7
0,0,7
