@relation glass

@attribute Na numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
12.79815,8.56116,1
14.16805,9.69096,1
13.72915,9.74476,1
13.11735,9.82008,1
13.21045,9.02384,1
12.8713,8.43204,1
12.858,8.37824,1
13.1373,9.06688,1
13.90205,8.89472,1
13.52965,7.77568,1
14.7732,9.00232,1
12.7782,8.70104,1
12.45235,9.05612,1
14.20795,9.5726,1
13.4299,9.0346,1
13.2969,8.1738,1
12.61195,8.4966,1
13.48975,9.00232,1
13.29025,8.57192,1
12.85135,8.56116,1
12.81145,8.59344,1
12.9777,8.52888,1
13.2703,8.0662,1
14.417,8.30292,1
12.65185,8.69028,1
13.4831,9.60488,1
12.83805,8.5504,1
12.81145,8.389,1
13.1506,8.23836,1
12.57205,8.5504,1
13.21045,10.2452,1
12.87795,8.04468,1
13.05085,9.85236,1
12.69175,8.75484,1
14.3609,9.15296,1
13.68925,9.40044,1
12.71835,8.08772,1
13.05085,9.85236,1
12.99765,8.39976,1
12.8181,8.51812,1
12.991,8.34596,1
13.4831,8.03392,1
13.21045,8.59344,1
14.20795,9.5726,1
13.3102,10.17516,1
13.7225,10.568,1
12.7915,8.0662,1
13.80895,8.66876,1
13.88875,8.77636,1
13.7745,8.48584,1
12.7915,8.7656,1
13.19715,9.1422,1
13.39,8.27064,1
13.21045,8.21684,1
13.5097,9.54032,1
13.58285,8.90548,1
13.3767,8.43204,1
13.9885,9.82008,1
12.55875,8.53964,1
12.67845,8.70104,1
13.88875,7.82948,1
12.7117,8.63648,1
12.73165,8.75484,1
12.99765,8.18456,2
13.35675,8.20608,2
13.5629,7.9586,2
12.93115,8.03392,2
13.8289,10.78848,2
13.1905,8.4428,2
12.93115,8.95928,2
13.4299,8.15228,2
13.01095,8.12,2
13.35675,8.6042,2
13.4432,8.03392,2
12.63855,14.40384,2
13.0176,7.9586,2
13.25035,8.42128,2
12.85135,8.2276,2
13.40995,8.09848,2
12.7117,8.23836,2
13.19715,8.51812,2
12.5521,8.07696,2
13.40995,8.2814,2
13.23705,8.03392,2
13.46315,8.20608,2
13.0176,9.13144,2
13.19715,8.41052,2
13.98185,10.56252,2
11.22875,14.6836,2
12.7915,7.9048,2
12.6186,9.42196,2
12.7516,8.78712,2
13.0974,8.43204,2
13.7491,11.14356,2
13.33015,8.10924,2
13.2304,8.09848,2
14.4274,11.52016,2
12.99765,8.37824,2
11.0226,14.96336,2
12.8181,7.96936,2
12.858,7.96936,2
12.95775,8.78712,2
13.7225,7.88328,2
12.99765,8.04468,2
12.6718,8.53964,2
13.2969,8.03392,2
13.7225,10.99292,2
13.33015,8.12,2
13.4831,7.99088,2
12.19965,8.89472,2
13.5496,9.5726,2
13.78235,9.85236,2
13.8023,11.63852,2
13.922,7.93708,2
13.0176,7.9048,2
12.85135,8.67952,2
13.70255,13.43544,2
13.11735,8.389,2
12.8713,7.99088,2
12.93115,8.5504,2
13.23705,8.21684,2
13.6427,8.32444,2
13.09075,7.82948,2
13.3368,7.89404,2
13.09075,8.04468,2
13.25035,7.86176,2
11.4482,13.24176,2
14.85965,7.35604,2
12.2994,16.19,2
12.991,8.80864,2
10.73,13.29556,2
12.9378,8.6042,2
13.33015,8.99156,3
13.03755,8.58268,3
14.321,9.48652,3
13.64935,8.6042,3
12.15975,8.52888,3
13.1373,8.37824,3
13.6427,8.927,3
13.40995,8.64724,3
13.52965,8.78712,3
13.23705,8.4428,3
14.188,9.1422,3
13.42325,8.32444,3
14.0284,9.64792,3
13.33015,8.3352,3
13.6427,8.89472,3
12.858,8.78712,3
13.0176,6.95792,5
12.73165,10.08908,5
13.3767,12.49932,5
11.56125,11.41256,5
12.858,10.17516,5
12.99765,6.92564,5
11.02925,11.617,5
12.85135,9.70172,5
13.4432,12.24108,5
12.97105,11.27268,5
14.00845,5.87116,5
12.63855,11.53092,5
14.0018,9.5726,6
14.5604,11.21888,6
14.08825,9.32512,6
14.1481,10.88532,6
13.789,9.76628,6
14.46065,9.26056,6
14.99265,9.9492,6
17.38,6.64588,6
14.4008,7.59276,6
14.95275,8.7118,7
14.3609,8.4428,7
13.68925,5.43,7
14.7998,8.2814,7
14.14145,9.18524,7
14.75325,8.52888,7
14.2013,9.04536,7
15.126,8.83016,7
14.70005,8.94852,7
14.853,8.389,7
15.79065,8.61496,7
14.3875,6.47372,7
11.94695,8.927,7
13.8688,9.4112,7
14.9195,8.39976,7
14.853,8.75484,7
15.15225,8.3352,7
14.85965,9.75552,7
14.38085,8.47508,7
14.93945,8.66876,7
14.95275,8.61496,7
13.8821,8.66876,7
14.2279,8.61496,7
14.36755,9.45424,7
14.14145,9.06688,7
14.321,5.78508,7
13.4432,8.83016,7
