@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R5-6,8,10'

@attribute Si numeric
@attribute K numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
71.77,0.11178,0,1
71.7196,0.11799,0.68985,1
73.0188,0.621,0,1
72.9908,0.58995,0,1
73.2372,0.57753,0,1
71.5684,0.01863,0,1
73.0804,0.55269,0,1
70.5716,0.08073,0,2
71.238,0.19251,0,2
73.0972,0.67068,0,2
72.3412,0.63963,0,2
72.8396,0.5589,0,2
73.1196,0.68931,0,2
73.0972,0.39123,0,2
72.1788,0.52785,0.2709,2
72.4812,0.60237,0,3
72.7724,0.11178,0,3
73.3884,0.13041,0,5
72.7612,0,0,6
72.8116,1.75743,1.1907,7
73.2988,0,0.67095,7
73.282,0,0.63945,7
