@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,6,10'

@attribute RI numeric
@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,3.60996,0.57132,1
1.51746,3.5022,0.5589,1
1.521515,3.65037,0.19251,1
1.517209,3.47975,0.5589,1
1.523201,3.72221,0.08694,1
1.51762,3.592,0.57753,1
1.517551,3.42138,0.58995,1
1.516276,3.57853,0.60858,2
1.517437,3.25076,0.621,2
1.518462,3.96916,0.60237,2
1.518121,3.97814,0.57753,2
1.516253,3.57853,0.44712,2
1.527779,0,0.0621,2
1.516731,3.56057,0.65205,2
1.516936,3.57853,0.60858,3
1.523679,0,0.32292,5
1.518872,0.78126,0,6
1.515455,0,0.08073,7
1.516845,0,0,7
1.516572,0,0,7
