@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,10'

@attribute Na numeric
@attribute Mg numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
13.1506,3.60996,0,1
12.83805,3.5022,0,1
13.05085,3.65037,0,1
12.8713,3.47975,0,1
13.7225,3.72221,0,1
12.61195,3.592,0,1
12.7117,3.42138,0,1
12.99765,3.57853,0,2
12.19965,3.25076,0,2
13.0974,3.96916,0,2
13.4299,3.97814,0,2
13.35675,3.57853,0,2
12.63855,0,0,2
12.8713,3.56057,0,2
12.858,3.57853,0,3
13.4432,0,0,5
14.99265,0.78126,0,6
14.14145,0,0.6111,7
14.9195,0,1.59075,7
14.7998,0,1.71045,7
