@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,10'

@attribute RI numeric
@attribute Al numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.522221,0.79076,71.9884,1
1.51762,1.35893,72.7276,1
1.517825,1.33967,72.9516,1
1.521515,0.87101,72.3188,1
1.517847,1.27868,72.862,1
1.51926,1.27868,72.358,1
1.517483,1.26905,73.2092,1
1.518918,1.25942,72.5484,2
1.516891,1.60931,72.5428,2
1.515934,1.55153,72.8676,2
1.524089,1.16954,71.1484,2
1.518121,1.24979,72.778,2
1.515683,1.47128,73.2484,2
1.516549,1.43918,73.2708,2
1.516731,1.53869,73.3604,2
1.521219,0.5789,71.7924,3
1.518326,1.53869,72.1396,3
1.521515,1.56116,73.4388,5
1.51828,1.61894,72.3804,6
1.515569,2.54021,73.2316,7
1.517118,2.08118,73.3604,7
1.517278,2.34119,73.282,7
