@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,10'

@attribute RI numeric
@attribute Mg numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.5191,3.73119,1.17917,1
1.522107,3.83895,0.72014,1
1.515957,3.60996,1.61894,1
1.5191,3.52914,1.32041,1
1.522996,3.57853,0.81965,1
1.517688,3.52016,1.42955,1
1.517688,2.71196,1.29152,1
1.516184,3.5022,1.48091,2
1.52475,0,1.87895,2
1.520809,2.28092,1.42955,2
1.516321,3.56955,1.57079,2
1.518599,3.43036,1.42955,2
1.520194,1.35149,1.62857,2
1.515957,3.56057,1.53869,2
1.517779,3.65037,0.64952,3
1.520421,0,1.40066,5
1.519055,2.38868,1.56116,6
1.516503,0,1.93994,7
1.51623,0,2.79059,7
1.517323,0,1.7987,7
