@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R4,6,10'

@attribute Al numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.12139,0.08694,1
1.15028,0.50301,1
1.27868,0.55269,1
1.56116,0.67068,1
1.1888,0.621,1
1.53869,0.39123,1
1.30115,0.60858,1
1.35893,0.32913,2
1.42955,0.60858,2
0.82928,0.34776,2
1.32041,0.57753,2
1.74092,0.16146,2
0.99941,0.11799,2
1.15028,0.54027,2
0.90953,0.22977,3
1.27868,0.52164,3
1.8308,0.96876,5
1.53869,0,6
1.23053,0.60237,7
2.42144,0,7
2.21921,1.45935,7
