@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R4,7,10'

@attribute Al numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.29152,8.21684,1
1.21127,8.57192,1
0.78113,9.69096,1
0.29,9.00232,1
1.29152,9.02384,1
0.89027,9.15296,1
1.3493,9.00232,1
1.26905,8.32444,2
0.55964,10.99292,2
1.61894,8.03392,2
1.78907,8.18456,2
1.70882,8.53964,2
0.7715,14.6836,2
1.07003,8.41052,2
1.42955,8.78712,2
0.82928,9.48652,3
1.3493,8.52888,3
1.65104,11.53092,5
1.85969,10.08908,5
2.09081,10.88532,6
1.78907,8.66876,7
2.25131,8.3352,7
2.05871,9.75552,7
