@relation glass

@attribute Al numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
0.79076,10.2452,1
1.05077,8.23836,1
1.09892,8.75484,1
1.68956,8.4428,1
1.12139,8.7656,1
1.15028,8.43204,1
1.29152,8.70104,1
1.30115,8.69028,1
1.35893,7.82948,1
1.17917,8.89472,1
0.72014,9.74476,1
1.40066,8.04468,1
1.19843,8.63648,1
1.17917,8.83016,1
0.8999,9.82008,1
0.71051,9.82008,1
1.14065,8.1738,1
1.23053,8.389,1
1.33004,8.59344,1
1.21127,8.52888,1
1.14065,8.5504,1
0.51149,10.568,1
1.12139,9.40044,1
1.23053,8.90548,1
1.27868,8.48584,1
1.61894,8.0662,1
1.31078,8.4966,1
1.23053,8.56116,1
1.35893,8.39976,1
1.36856,8.30292,1
1.3493,8.67952,1
1.27868,9.06688,1
1.33004,8.43204,1
1.10855,8.75484,1
1.27868,9.1422,1
1.26905,8.56116,1
1.16954,8.03392,1
0.87101,9.85236,1
1.56116,8.08772,1
0.8999,9.60488,1
1.1888,8.27064,1
1.29152,9.05612,1
1.42955,8.53964,1
1.53869,7.77568,1
1.32041,8.77636,1
0.46976,9.5726,1
1.3493,8.59344,1
0.87101,9.85236,1
1.1888,9.0346,1
0.81965,10.17516,1
1.24016,8.0662,1
1.49054,8.51812,1
1.29152,8.43204,1
1.26905,8.37824,1
0.46976,9.5726,1
1.32041,8.66876,1
0.88064,9.54032,1
1.3814,8.5504,1
1.12139,8.34596,1
1.15991,8.70104,1
1.41029,8.43204,1
1.33967,8.75484,1
1.1888,8.75484,1
1.52906,8.03392,2
1.90142,7.96936,2
1.58042,8.389,2
1.47128,8.21684,2
1.51943,7.82948,2
1.70882,7.99088,2
1.53869,8.20608,2
1.5098,7.9586,2
1.24979,8.09848,2
1.32041,8.42128,2
1.42955,8.6042,2
1.60931,8.10924,2
1.42955,7.86176,2
1.47128,7.9586,2
1.16954,10.78848,2
1.51943,8.07696,2
1.49054,8.20608,2
0.74903,14.96336,2
1.74092,7.35604,2
1.23053,8.80864,2
1.48091,8.12,2
1.49054,8.23836,2
1.56116,8.5504,2
1.57079,8.10924,2
1.25942,8.6042,2
1.30115,8.4428,2
1.48091,8.09848,2
0.66878,14.40384,2
1.1888,8.43204,2
1.15991,8.89472,2
2.08118,7.07628,2
0.99941,11.52016,2
1.24979,7.93708,2
0.99941,16.19,2
1.35893,11.14356,2
1.25942,8.20608,2
1.53869,7.9048,2
1.62857,9.22828,2
1.53869,8.04468,2
2.10044,13.29556,2
1.62857,10.56252,2
0.65915,11.63852,2
1.87895,13.24176,2
2.1197,7.96936,2
1.47128,8.03392,2
1.42955,9.85236,2
1.64141,7.99088,2
1.33004,8.2814,2
1.24979,8.12,2
1.35893,13.43544,2
1.10855,8.95928,2
1.55153,8.04468,2
1.81154,7.88328,2
1.6703,9.5726,2
1.43918,8.2276,2
1.53869,8.03392,2
1.17917,8.15228,2
1.44881,8.27064,2
1.15028,8.51812,2
1.86932,8.07696,2
1.07966,8.37824,2
1.57079,7.89404,2
1.43918,8.78712,2
0.82928,9.42196,2
1.41029,8.31368,2
1.24016,8.67952,2
1.53869,7.9048,2
1.0604,9.13144,2
1.2209,8.32444,3
1.27868,8.64724,3
1.51943,8.78712,3
0.74903,8.89472,3
1.25942,8.58268,3
1.53869,8.99156,3
1.3814,8.4428,3
1.62857,8.80864,3
0.5789,9.64792,3
0.90953,9.1422,3
1.10855,8.6042,3
0.64952,8.927,3
1.76018,8.37824,3
1.31078,8.78712,3
1.33967,8.3352,3
1.58042,12.24108,5
1.8308,10.17516,5
1.56116,11.617,5
3.0185,6.92564,5
3.04097,6.95792,5
3.5,5.87116,5
1.40066,12.49932,5
1.56116,11.41256,5
2.17106,9.70172,5
1.76018,11.31572,5
1.5098,11.27268,5
1.66067,9.32512,6
1.1888,9.76628,6
0.55964,11.21888,6
0.34136,6.64588,6
1.53869,7.59276,6
1.61894,9.26056,6
1.74092,9.9492,6
1.56116,9.5726,6
2.79059,9.04536,7
2.54021,9.4112,7
1.97846,8.51812,7
1.31078,8.61496,7
1.86932,8.66876,7
2.65898,9.07764,7
2.37971,8.75484,7
1.1888,8.927,7
2.34119,8.94852,7
1.7987,8.61496,7
1.9913,8.2814,7
2.68145,9.06688,7
1.82117,6.47372,7
2.00093,8.52888,7
1.93994,8.47508,7
1.23053,8.83016,7
1.81154,5.43,7
2.08118,8.61496,7
2.88047,9.18524,7
2.42144,8.389,7
1.9913,8.39976,7
2.73923,9.45424,7
2.51132,8.83016,7
2.02019,8.4428,7
2.21921,5.78508,7
2.27057,8.7118,7
