@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,4,7,10'

@attribute RI numeric
@attribute Al numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.52213,0.46976,9.5726,1
1.519761,1.32041,8.66876,1
1.517506,1.3493,8.59344,1
1.517551,1.16954,8.03392,1
1.51762,1.23053,8.389,1
1.526663,0.71051,9.82008,1
1.517415,1.24016,8.0662,1
1.527255,0.65915,11.63852,2
1.526139,1.35893,13.43544,2
1.515934,1.51943,7.82948,2
1.518417,1.0604,9.13144,2
1.516868,1.48091,8.09848,2
1.515911,1.5098,7.9586,2
1.515911,1.47128,8.21684,2
1.520672,1.6703,9.5726,2
1.51664,1.76018,8.37824,3
1.517688,1.10855,8.6042,3
1.521196,1.5098,11.27268,5
1.519374,1.1888,9.76628,6
1.511309,1.81154,5.43,7
1.516162,2.27057,8.7118,7
1.516025,2.37971,8.75484,7
