@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,7,10'

@attribute RI numeric
@attribute Mg numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,3.60996,8.23836,1
1.51746,3.5022,8.5504,1
1.521515,3.65037,9.85236,1
1.517209,3.47975,8.43204,1
1.523201,3.72221,10.568,1
1.51762,3.592,8.4966,1
1.517551,3.42138,8.63648,1
1.516276,3.57853,8.04468,2
1.517437,3.25076,8.89472,2
1.518462,3.96916,8.43204,2
1.518121,3.97814,8.15228,2
1.516253,3.57853,8.20608,2
1.527779,0,14.40384,2
1.516731,3.56057,7.99088,2
1.516936,3.57853,8.78712,3
1.523679,0,12.24108,5
1.518872,0.78126,9.9492,6
1.515455,0,9.06688,7
1.516845,0,8.39976,7
1.516572,0,8.2814,7
