@relation glass

@attribute RI numeric
@attribute Al numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.519009,1.3493,71.9492,1
1.517551,1.1888,72.7892,1
1.51787,1.1888,72.9516,1
1.518986,1.23053,72.078,1
1.517551,1.16954,72.9908,1
1.519761,1.32041,71.7196,1
1.5191,1.32041,71.8092,1
1.517665,1.29152,72.61,1
1.51967,0.29,72.022,1
1.521014,1.09892,71.7812,1
1.517688,1.42955,73.1476,1
1.51762,1.23053,73.2372,1
1.518075,1.1888,72.8396,1
1.520991,1.12139,71.9604,1
1.51869,1.17917,72.722,1
1.52172,0.8999,72.0108,1
1.517506,1.3493,73.0188,1
1.515706,1.56116,73.198,1
1.517938,1.41029,72.638,1
1.516184,1.53869,72.9908,1
1.52197,0.89027,71.3612,1
1.526663,0.71051,71.5684,1
1.515888,1.40066,73.282,1
1.517688,1.29152,73.702,1
1.519055,1.10855,72.638,1
1.517551,1.35893,72.9908,1
1.518235,1.29152,72.9516,1
1.517346,1.68956,72.7276,1
1.517506,1.49054,72.75,1
1.521515,0.8999,72.2012,1
1.52213,0.46976,71.77,1
1.517209,1.33004,73.0412,1
1.517415,1.24016,73.0804,1
1.5191,1.17917,72.1228,1
1.517528,1.3814,73.3884,1
1.512152,1.12139,72.9796,1
1.517551,1.05077,73.2372,1
1.517437,1.14065,73.0916,1
1.51762,1.31078,73.2876,1
1.51746,1.14065,73.2708,1
1.523201,0.51149,71.7476,1
1.517209,1.15028,72.8508,1
1.52172,0.88064,71.7924,1
1.517756,1.23053,72.9684,1
1.517369,1.29152,72.7892,1
1.522107,0.72014,71.7588,1
1.517642,1.21127,73.002,1
1.515957,1.61894,72.9684,1
1.517847,1.15991,73.1084,1
1.517779,1.33004,72.7612,1
1.522267,0.78113,71.35,1
1.52213,0.46976,71.77,1
1.517688,1.30115,73.0804,1
1.518371,1.27868,72.8508,1
1.517551,1.19843,73.198,1
1.51566,1.21127,72.7388,1
1.522996,0.81965,71.9884,1
1.519191,1.36856,72.078,1
1.517779,1.29152,72.9796,1
1.517938,1.12139,73.03,1
1.521515,0.87101,72.218,1
1.517961,1.3493,72.9572,1
1.51762,1.26905,73.0076,1
1.518485,1.26905,71.9604,2
1.516731,1.52906,72.5316,2
1.518052,1.07966,73.0692,2
1.53393,0.99941,70.1628,2
1.516868,1.48091,72.8396,2
1.518462,1.33004,72.3804,2
1.518508,1.07003,72.8284,2
1.527779,0.66878,72.022,2
1.516458,1.51943,72.6492,2
1.516594,1.23053,72.9684,2
1.520809,1.42955,71.9884,2
1.515957,1.53869,73.1084,2
1.520194,1.62857,71.7588,2
1.527392,0.74903,73.0804,2
1.514089,2.08118,72.2796,2
1.518462,1.1888,72.442,2
1.516048,1.44881,73.58,2
1.517301,1.62857,72.8676,2
1.516617,1.43918,73.0076,2
1.520672,1.6703,72.1788,2
1.518121,1.42955,72.918,2
1.516389,1.86932,73.2316,2
1.516526,1.47128,72.4476,2
1.51844,1.32041,72.4028,2
1.518007,1.53869,71.8092,2
1.516184,1.48091,72.89,2
1.518417,1.10855,72.2796,2
1.518394,1.24016,72.5708,2
1.515888,1.58042,73.2596,2
1.516276,1.53869,72.8284,2
1.515934,1.51943,73.0972,2
1.515729,1.74092,71.8708,2
1.518599,1.42955,72.2628,2
1.52664,0.7715,73.2092,2
1.527255,0.65915,70.5716,2
1.521765,1.35893,72.19,2
1.518713,1.56116,72.5092,2
1.517096,1.78907,72.722,2
1.52475,1.87895,72.19,2
1.515911,1.47128,73.0972,2
1.518121,1.17917,72.4924,2
1.518189,0.82928,73.8084,2
1.51828,1.41029,72.33,2
1.522221,0.99941,72.6716,2
1.516458,1.24979,72.8116,2
1.517437,1.15991,73.5508,2
1.517893,1.30115,72.33,2
1.517118,1.57079,72.9572,2
1.521765,1.15028,72.75,2
1.518417,1.0604,72.3412,2
1.517073,1.81154,72.0612,2
1.516253,1.49054,72.722,2
1.516139,1.24979,72.8788,2
1.51664,1.61894,72.9572,2
1.516891,1.70882,73.2092,2
1.515911,1.5098,73.1196,2
1.531242,2.10044,69.81,2
1.515911,1.90142,72.862,2
1.516731,1.64141,73.142,2
1.516458,1.53869,72.3916,2
1.518189,0.55964,74.4524,2
1.515911,2.1197,72.6604,2
1.526139,1.35893,71.238,2
1.515934,1.42955,73.17,2
1.516321,1.57079,72.8676,2
1.517073,1.70882,72.5204,2
1.516663,1.25942,72.75,2
1.516298,1.49054,73.282,2
1.516549,1.27868,72.638,3
1.51664,1.76018,72.4812,3
1.517688,1.10855,72.7724,3
1.516708,1.3814,72.6996,3
1.517756,1.51943,72.0388,3
1.521264,0.82928,71.5012,3
1.517779,0.64952,73.002,3
1.519351,0.74903,72.6492,3
1.516093,1.2209,72.6884,3
1.522107,0.90953,71.3612,3
1.516435,1.3493,72.89,3
1.516936,1.31078,72.61,3
1.517961,1.62857,71.938,3
1.516458,1.25942,73.0076,3
1.516093,1.33967,72.6716,3
1.519692,1.65104,73.7524,5
1.52172,1.56116,72.862,5
1.516663,1.8308,73.8812,5
1.523679,1.58042,72.218,5
1.5132,3.0185,70.7004,5
1.520421,1.40066,72.2516,5
1.515137,3.5,69.8884,5
1.513155,3.04097,70.482,5
1.519943,1.76018,73.03,5
1.519146,1.85969,72.6884,5
1.521196,1.5098,73.3884,5
1.520581,2.17106,72.1788,5
1.518531,1.66067,72.6716,6
1.519374,1.1888,72.7612,6
1.519692,0.55964,73.478,6
1.519169,2.09081,72.7388,6
1.512995,1.53869,74.5476,6
1.518872,1.74092,72.498,6
1.519055,1.56116,72.3692,6
1.51115,0.34136,75.41,6
1.516093,2.51132,73.0524,7
1.517187,2.00093,73.0188,7
1.523656,1.31078,70.4316,7
1.518371,2.21921,71.2492,7
1.516572,1.9913,73.1084,7
1.515319,2.65898,73.0972,7
1.516389,2.73923,72.8508,7
1.516822,1.97846,73.2876,7
1.522472,2.05871,70.258,7
1.516025,2.37971,73.282,7
1.520649,2.02019,73.422,7
1.515455,2.68145,73.3884,7
1.51623,2.79059,73.4612,7
1.516162,2.27057,73.2988,7
1.517323,1.7987,72.9908,7
1.511309,1.81154,72.8116,7
1.516845,1.9913,73.58,7
1.516526,1.1888,75.1804,7
1.515137,2.42144,73.7188,7
1.515091,2.25131,73.5004,7
1.518303,1.82117,72.862,7
1.516139,1.78907,73.0972,7
1.51623,2.88047,72.61,7
1.516458,1.86932,73.1084,7
1.516503,1.93994,73.6124,7
1.523155,1.23053,72.3804,7
