@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1-2,5,10'

@attribute RI numeric
@attribute Na numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517642,12.9777,73.002,1
1.512152,12.991,72.9796,1
1.51762,12.79815,73.0076,1
1.517779,13.21045,72.7612,1
1.517551,12.99765,72.9908,1
1.52213,14.20795,71.77,1
1.521515,13.11735,72.2012,1
1.516298,12.7117,73.282,2
1.516663,12.9378,72.75,2
1.518394,12.85135,72.5708,2
1.515911,12.858,72.6604,2
1.527392,11.0226,73.0804,2
1.518052,12.99765,73.0692,2
1.516389,12.5521,73.2316,2
1.518462,13.40995,72.3804,2
1.516093,13.33015,72.6716,3
1.519351,13.6427,72.6492,3
1.513155,13.0176,70.482,5
1.52172,11.56125,72.862,5
1.51115,17.38,75.41,6
1.520649,14.3609,73.422,7
1.517187,14.75325,73.0188,7
1.518303,14.3875,72.862,7
