@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517528,12.57205,3.47077,0.60237,1
1.517847,12.67845,3.66833,0.60858,1
1.518371,13.1373,2.84217,0.55269,1
1.521014,13.6427,4.49,0.0621,1
1.52197,14.3609,3.84793,0.14904,1
1.51762,12.81145,3.53812,0.57753,1
1.517938,13.21045,3.47975,0.58995,1
1.526663,13.9885,3.69976,0.01863,1
1.523201,13.7225,3.72221,0.08694,1
1.51787,12.73165,3.43036,0.621,1
1.519055,13.6028,3.61894,0.14283,1
1.522221,13.21045,3.7716,0.13041,1
1.5191,13.88875,3.52914,0.50922,1
1.51566,13.29025,3.44832,0.5589,1
1.522107,13.72915,3.83895,0.16767,1
1.517551,12.7117,3.42138,0.58995,1
1.515888,12.87795,3.43036,0.68931,1
1.51762,13.88875,3.60098,0.47817,1
1.517756,12.85135,3.47975,0.60858,1
1.517415,13.2703,3.61894,0.55269,1
1.517688,12.45235,2.71196,0.5589,1
1.52172,13.4831,3.74017,0.18009,1
1.519191,14.417,3.57853,0.5589,1
1.517369,12.7782,3.61894,0.58995,1
1.519761,13.80895,3.57853,0.11799,1
1.519009,13.48975,3.47975,0.55269,1
1.51746,12.83805,3.5022,0.5589,1
1.52213,14.20795,3.82099,0.11178,1
1.51967,14.7732,3.74915,0.03105,1
1.5191,13.90205,3.73119,0.0621,1
1.518986,13.58285,3.34954,0.58995,1
1.52172,13.5097,3.8614,0.22977,1
1.51762,12.61195,3.592,0.57753,1
1.517209,12.8713,3.47975,0.5589,1
1.517779,13.21045,2.81074,0.50922,1
1.517938,12.7915,3.5022,0.63963,1
1.517847,13.7745,3.48873,0.60237,1
1.517483,12.858,3.56057,0.54027,1
1.522267,14.16805,3.81201,0,1
1.517551,13.1506,3.60996,0.57132,1
1.517506,12.81145,3.56955,0.621,1
1.517961,12.7383,3.47975,0.63963,1
1.520991,13.68925,3.592,0.08694,1
1.517688,12.55875,3.52016,0.57132,1
1.518235,12.8713,3.47975,0.60237,1
1.517437,13.2969,3.60098,0.57753,1
1.521515,13.05085,3.65037,0.19251,1
1.517551,13.4831,3.74017,0.58995,1
1.515706,12.71835,3.46179,0.67068,1
1.517346,13.0176,3.53812,0.54027,1
1.517551,13.39,3.65935,0.57132,1
1.521515,13.05085,3.65037,0.19251,1
1.517209,13.3767,3.5022,0.50301,1
1.51926,13.19715,3.33158,0.60237,1
1.515957,12.7915,3.60996,0.63963,1
1.522996,13.3102,3.57853,0.11799,1
1.517506,12.8181,3.55159,0.54027,1
1.518075,13.4299,2.86911,0.55269,1
1.51869,13.1905,3.37199,0.57132,1
1.516184,13.52965,3.55159,0.39123,1
1.517688,12.65185,3.56057,0.60858,1
1.517825,12.69175,3.53812,0.57132,1
1.517665,13.21045,3.69078,0.57132,1
1.517437,12.19965,3.25076,0.621,2
1.516549,12.7516,2.85115,0.57132,2
1.516184,13.01095,3.5022,0.60237,2
1.520194,13.98185,1.35149,0.39123,2
1.518599,13.35675,3.43036,0.50922,2
1.517073,13.4831,3.47975,0.621,2
1.515729,14.85965,3.66833,0.16146,2
