@relation glass

@attribute RI numeric
@attribute Al numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.52172,0.8999,9.60488,1
1.521515,0.8999,9.82008,1
1.517346,1.68956,8.4428,1
1.517209,1.33004,8.43204,1
1.51746,1.14065,8.5504,1
1.517551,1.35893,8.39976,1
1.517209,1.15028,8.43204,1
1.52172,0.88064,9.54032,1
1.515888,1.40066,8.04468,1
1.517938,1.41029,8.43204,1
1.517847,1.27868,8.48584,1
1.517938,1.12139,8.7656,1
1.51566,1.21127,8.57192,1
1.519191,1.36856,8.30292,1
1.51967,0.29,9.00232,1
1.519055,1.10855,8.75484,1
1.5191,1.32041,8.77636,1
1.517779,1.33004,8.59344,1
1.517528,1.3814,8.5504,1
1.517688,1.29152,9.05612,1
1.517437,1.14065,8.1738,1
1.517551,1.19843,8.63648,1
1.517688,1.42955,8.53964,1
1.521515,0.87101,9.85236,1
1.523201,0.51149,10.568,1
1.522267,0.78113,9.69096,1
1.517665,1.29152,8.21684,1
1.517779,1.29152,9.02384,1
1.522107,0.72014,9.74476,1
1.52213,0.46976,9.5726,1
1.51869,1.17917,8.83016,1
1.518235,1.29152,8.43204,1
1.521014,1.09892,8.75484,1
1.51926,1.27868,9.1422,1
1.517825,1.33967,8.75484,1
1.517847,1.15991,8.70104,1
1.517483,1.26905,8.37824,1
1.522221,0.79076,10.2452,1
1.51762,1.35893,7.82948,1
1.517506,1.49054,8.51812,1
1.51762,1.31078,8.4966,1
1.52197,0.89027,9.15296,1
1.517551,1.1888,8.27064,1
1.517642,1.21127,8.52888,1
1.5191,1.17917,8.89472,1
1.517369,1.29152,8.70104,1
1.519009,1.3493,9.00232,1
1.521515,0.87101,9.85236,1
1.51762,1.26905,8.56116,1
1.51787,1.1888,8.75484,1
1.518371,1.27868,9.06688,1
1.516184,1.53869,7.77568,1
1.517756,1.23053,8.56116,1
1.512152,1.12139,8.34596,1
1.517688,1.30115,8.69028,1
1.522996,0.81965,10.17516,1
1.515706,1.56116,8.08772,1
1.518986,1.23053,8.90548,1
1.517551,1.05077,8.23836,1
1.515957,1.61894,8.0662,1
1.518075,1.1888,9.0346,1
1.517961,1.3493,8.67952,1
1.520991,1.12139,9.40044,1
1.516458,1.53869,8.03392,2
1.516298,1.49054,8.23836,2
1.518189,0.82928,9.42196,2
1.520809,1.42955,9.85236,2
1.516276,1.53869,8.04468,2
1.53393,0.99941,16.19,2
1.515934,1.42955,7.86176,2
1.51844,1.32041,8.42128,2
1.518121,1.24979,8.12,2
1.51828,1.41029,8.31368,2
1.518462,1.1888,8.43204,2
1.517073,1.70882,7.99088,2
1.52475,1.87895,13.24176,2
1.515911,1.90142,7.96936,2
1.517893,1.30115,8.4428,2
1.515729,1.74092,7.35604,2
1.515934,1.55153,8.04468,2
1.524089,1.16954,10.78848,2
1.516663,1.25942,8.6042,2
1.527779,0.66878,14.40384,2
1.51664,1.61894,8.03392,2
1.518462,1.33004,8.2814,2
1.514089,2.08118,7.07628,2
1.516891,1.60931,8.10924,2
1.518508,1.07003,8.41052,2
1.516321,1.57079,7.89404,2
1.518918,1.25942,8.20608,2
1.518485,1.26905,8.32444,2
1.516458,1.24979,8.09848,2
1.516139,1.24979,7.93708,2
1.518189,0.55964,10.99292,2
1.518599,1.42955,8.6042,2
1.518394,1.24016,8.67952,2
1.518007,1.53869,8.20608,2
1.518052,1.07966,8.37824,2
1.517118,1.57079,8.10924,2
1.515957,1.53869,7.9048,2
1.517073,1.81154,7.88328,2
1.531242,2.10044,13.29556,2
1.516184,1.48091,8.12,2
1.515683,1.47128,8.03392,2
1.52664,0.7715,14.6836,2
1.516048,1.44881,8.27064,2
1.521765,1.35893,11.14356,2
1.521765,1.15028,8.51812,2
1.516458,1.51943,8.07696,2
1.518417,1.10855,8.95928,2
1.516526,1.47128,7.9586,2
1.516549,1.43918,8.78712,2
1.527392,0.74903,14.96336,2
1.515888,1.58042,8.389,2
1.517437,1.15991,8.89472,2
1.522221,0.99941,11.52016,2
1.516731,1.53869,7.9048,2
1.517301,1.62857,9.22828,2
1.516617,1.43918,8.2276,2
1.516253,1.49054,8.20608,2
1.516389,1.86932,8.07696,2
1.520194,1.62857,10.56252,2
1.518713,1.56116,8.5504,2
1.515911,2.1197,7.96936,2
1.518121,1.42955,8.78712,2
1.516891,1.70882,8.53964,2
1.516594,1.23053,8.80864,2
1.518121,1.17917,8.15228,2
1.516731,1.52906,8.03392,2
1.516731,1.64141,7.99088,2
1.517096,1.78907,8.18456,2
1.517961,1.62857,8.80864,3
1.516435,1.3493,8.52888,3
1.518326,1.53869,8.99156,3
1.519351,0.74903,8.89472,3
1.516936,1.31078,8.78712,3
1.516458,1.25942,8.58268,3
1.521219,0.5789,9.64792,3
1.516093,1.2209,8.32444,3
1.522107,0.90953,9.1422,3
1.516708,1.3814,8.4428,3
1.521264,0.82928,9.48652,3
1.517779,0.64952,8.927,3
1.516549,1.27868,8.64724,3
1.517756,1.51943,8.78712,3
1.516093,1.33967,8.3352,3
1.520581,2.17106,9.70172,5
1.513155,3.04097,6.95792,5
1.519943,1.76018,11.31572,5
1.5132,3.0185,6.92564,5
1.519146,1.85969,10.08908,5
1.515137,3.5,5.87116,5
1.520421,1.40066,12.49932,5
1.52172,1.56116,11.41256,5
1.523679,1.58042,12.24108,5
1.519692,1.65104,11.53092,5
1.521515,1.56116,11.617,5
1.516663,1.8308,10.17516,5
1.519692,0.55964,11.21888,6
1.518531,1.66067,9.32512,6
1.51828,1.61894,9.26056,6
1.512995,1.53869,7.59276,6
1.51115,0.34136,6.64588,6
1.519055,1.56116,9.5726,6
1.518872,1.74092,9.9492,6
1.519169,2.09081,10.88532,6
1.516845,1.9913,8.39976,7
1.515455,2.68145,9.06688,7
1.517118,2.08118,8.61496,7
1.518303,1.82117,6.47372,7
1.523155,1.23053,8.83016,7
1.523656,1.31078,8.61496,7
1.522472,2.05871,9.75552,7
1.518371,2.21921,5.78508,7
1.51623,2.88047,9.18524,7
1.516389,2.73923,9.45424,7
1.515091,2.25131,8.3352,7
1.516526,1.1888,8.927,7
1.516822,1.97846,8.51812,7
1.51623,2.79059,9.04536,7
1.516458,1.86932,8.66876,7
1.516503,1.93994,8.47508,7
1.515569,2.54021,9.4112,7
1.520649,2.02019,8.4428,7
1.516093,2.51132,8.83016,7
1.516572,1.9913,8.2814,7
1.517278,2.34119,8.94852,7
1.515319,2.65898,9.07764,7
1.515137,2.42144,8.389,7
1.517187,2.00093,8.52888,7
1.516139,1.78907,8.66876,7
1.517323,1.7987,8.61496,7
