@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R3,6,10'

@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
3.43036,0.68931,1
3.34954,0.58995,1
3.57853,0.5589,1
3.47975,0.60858,1
3.8614,0.22977,1
3.55159,0.54027,1
2.86911,0.55269,1
3.55159,0.6831,2
3.6818,0.63963,2
3.90181,0.55269,2
3.52016,0.3726,2
0,0.09936,2
3.47975,0.621,2
3.52016,0.68931,2
0,0.57753,2
3.40791,0.57753,3
3.39893,0.58995,3
2.68053,1.68291,5
1.61191,0.75762,5
0,0,6
0,2.70135,7
0,0,7
0,0.04968,7
