@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,4,10'

@attribute RI numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,1.1888,1
1.517847,1.15991,1
1.517938,1.12139,1
1.517437,1.14065,1
1.517528,1.3814,1
1.52172,0.8999,1
1.517369,1.29152,1
1.518713,1.56116,2
1.516458,1.53869,2
1.515888,1.58042,2
1.516526,1.47128,2
1.516617,1.43918,2
1.518417,1.10855,2
1.516731,1.52906,2
1.516594,1.23053,2
1.516458,1.25942,3
1.516708,1.3814,3
1.5132,3.0185,5
1.518531,1.66067,6
1.516389,2.73923,7
1.523656,1.31078,7
1.51623,2.88047,7
