@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,10'

@attribute RI numeric
@attribute Al numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517938,1.41029,72.638,1
1.518235,1.29152,72.9516,1
1.517346,1.68956,72.7276,1
1.51869,1.17917,72.722,1
1.521014,1.09892,71.7812,1
1.517961,1.3493,72.9572,1
1.519055,1.10855,72.638,1
1.516048,1.44881,73.58,2
1.51828,1.41029,72.33,2
1.517118,1.57079,72.9572,2
1.516458,1.51943,72.6492,2
1.517301,1.62857,72.8676,2
1.518007,1.53869,71.8092,2
1.514089,2.08118,72.2796,2
1.517961,1.62857,71.938,3
1.519943,1.76018,73.03,5
1.516822,1.97846,73.2876,7
1.515319,2.65898,73.0972,7
