@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1-3,6,10'

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517642,12.9777,3.53812,0.65205,1
1.512152,12.991,3.47077,0.621,1
1.51762,12.79815,3.65935,0.60237,1
1.517779,13.21045,3.38995,0.58995,1
1.517551,12.99765,3.60098,0.57132,1
1.52213,14.20795,3.82099,0.11178,1
1.521515,13.11735,3.57853,0.22977,1
1.516298,12.7117,3.33158,0.67068,2
1.516663,12.9378,3.60996,0.5589,2
1.518394,12.85135,3.66833,0.621,2
1.515911,12.858,3.52016,0.68931,2
1.527392,11.0226,0,0,2
1.518052,12.99765,3.79854,0.5589,2
1.516389,12.5521,3.47975,0.62721,2
1.518462,13.40995,3.88834,0.50922,2
1.516093,13.33015,3.52914,0.5589,3
1.519351,13.6427,3.53812,0.16146,3
1.513155,13.0176,0,6.21,5
1.52172,11.56125,1.88131,0.47196,5
1.51115,17.38,0,0,6
1.520649,14.3609,0,0,7
1.517187,14.75325,0,0,7
1.518303,14.3875,0,1.40967,7
