@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R2-3,5,10'

@attribute Na numeric
@attribute Mg numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
13.21045,3.7716,71.9884,1
13.88875,3.60098,72.7276,1
12.69175,3.53812,72.9516,1
13.05085,3.65037,72.3188,1
13.7745,3.48873,72.862,1
13.19715,3.33158,72.358,1
12.858,3.56057,73.2092,1
13.46315,3.82997,72.5484,2
13.33015,3.53812,72.5428,2
13.09075,3.52016,72.8676,2
13.8289,2.90054,71.1484,2
13.33015,3.84793,72.778,2
13.23705,3.48873,73.2484,2
12.7516,2.85115,73.2708,2
12.7915,3.52016,73.3604,2
14.0284,3.75813,71.7924,3
13.33015,3.34056,72.1396,3
11.02925,1.71069,73.4388,5
14.46065,2.24051,72.3804,6
13.8688,0,73.2316,7
14.2279,0,73.3604,7
14.70005,0,73.282,7
