@relation glass

@attribute Na numeric
@attribute Al numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
13.39,1.1888,0.57132,1
13.80895,1.32041,0.11799,1
13.6427,1.09892,0.0621,1
12.87795,1.40066,0.68931,1
13.2969,1.14065,0.57753,1
13.21045,1.29152,0.57132,1
13.2703,1.24016,0.55269,1
12.83805,1.14065,0.5589,1
14.417,1.36856,0.5589,1
13.21045,1.33004,0.58995,1
12.8713,1.29152,0.60237,1
12.7915,1.12139,0.63963,1
13.1373,1.27868,0.55269,1
13.5097,0.88064,0.22977,1
12.7117,1.19843,0.58995,1
12.85135,1.23053,0.60858,1
13.29025,1.21127,0.5589,1
12.99765,1.35893,0.57132,1
13.58285,1.23053,0.58995,1
13.1905,1.17917,0.57132,1
13.05085,0.87101,0.19251,1
12.67845,1.15991,0.60858,1
13.90205,1.17917,0.0621,1
12.55875,1.42955,0.57132,1
13.72915,0.72014,0.16767,1
13.68925,1.12139,0.08694,1
12.991,1.12139,0.621,1
12.7782,1.29152,0.58995,1
13.52965,1.53869,0.39123,1
12.8181,1.49054,0.54027,1
13.9885,0.71051,0.01863,1
13.4831,1.16954,0.58995,1
13.7225,0.51149,0.08694,1
12.7915,1.61894,0.63963,1
12.8713,1.33004,0.5589,1
12.61195,1.31078,0.57753,1
13.0176,1.68956,0.54027,1
13.21045,1.29152,0.50922,1
12.9777,1.21127,0.65205,1
12.81145,1.23053,0.57753,1
12.7383,1.3493,0.63963,1
14.7732,0.29,0.03105,1
12.71835,1.56116,0.67068,1
13.6028,1.10855,0.14283,1
12.81145,1.3493,0.621,1
13.48975,1.3493,0.55269,1
13.88875,1.32041,0.50922,1
13.3767,1.15028,0.50301,1
13.4831,0.8999,0.18009,1
12.45235,1.29152,0.5589,1
14.20795,0.46976,0.11178,1
14.20795,0.46976,0.11178,1
12.79815,1.26905,0.60237,1
13.11735,0.8999,0.22977,1
13.3102,0.81965,0.11799,1
13.4299,1.1888,0.55269,1
14.3609,0.89027,0.14904,1
14.16805,0.78113,0,1
12.57205,1.3814,0.60237,1
