@relation glass

@attribute RI numeric
@attribute K numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.51926,0.60237,0,1
1.51762,0.57753,0,1
1.521014,0.0621,0,1
1.521515,0.22977,0,1
1.515706,0.67068,0,1
1.518371,0.55269,0,1
1.517506,0.54027,0,1
1.517209,0.5589,0,1
1.52172,0.22977,0,1
1.522267,0,0,1
1.518986,0.58995,0,1
1.519055,0.14283,0,1
1.512152,0.621,0,1
1.517551,0.57132,0,1
1.52213,0.11178,0,1
1.51746,0.5589,0,1
1.517665,0.57132,0,1
1.517847,0.60858,0,1
1.521515,0.19251,0,1
1.52213,0.11178,0,1
1.517437,0.57753,0,1
1.517961,0.63963,0,1
1.517346,0.54027,0,1
1.51967,0.03105,0,1
1.517779,0.58995,0,1
1.51762,0.57753,0,1
1.517938,0.58995,0,1
1.520991,0.08694,0,1
1.51869,0.57132,0,1
1.517369,0.58995,0,1
1.526663,0.01863,0,1
1.517528,0.60237,0,1
1.517551,0.58995,0,1
1.517642,0.65205,0,1
1.523201,0.08694,0,1
1.518235,0.60237,0,1
1.517506,0.621,0,1
1.519009,0.55269,0,1
1.51762,0.47817,0,1
1.52197,0.14904,0,1
1.517688,0.60858,0,1
1.517825,0.57132,0,1
1.517415,0.55269,0,1
1.517551,0.57132,0,1
1.518075,0.55269,0,1
1.51566,0.5589,0,1
1.519761,0.11799,0.68985,1
1.522221,0.13041,0,1
1.516184,0.39123,0,1
1.52172,0.18009,0,1
1.515888,0.68931,0,1
1.517551,0.58995,0,1
1.517938,0.63963,0,1
1.521515,0.19251,0,1
1.519191,0.5589,0,1
1.51762,0.60237,0,1
1.517483,0.54027,0,1
1.517779,0.50922,0,1
1.517551,0.57132,0,1
1.51787,0.621,0,1
1.517756,0.60858,0.09135,1
1.517209,0.50301,0,1
1.517847,0.60237,0,1
1.518121,0.52164,0,2
1.515683,0.37881,0,2
1.522221,0.09936,0,2
1.518121,0.60237,0.1386,2
1.518417,0.63963,0,2
1.514089,1.09917,0,2
1.521765,0.54027,0,2
1.518121,0.57753,0,2
1.526139,0.19251,0,2
1.516663,0.5589,0,2
1.518189,0.34776,0,2
1.515911,0.68931,0,2
1.517437,0.621,0,2
1.516048,0.44091,0,2
1.515911,0.39123,0,2
1.516298,0.67068,0,2
1.52664,0,0,2
1.516868,0.5589,0,2
1.520672,0.52785,0.2709,2
1.516617,0.6831,0.5985,2
1.517118,0.60858,0,2
1.517073,0.621,0,2
1.518485,0.54027,0,2
1.524089,0.08073,0,2
1.516549,0.57132,0.11025,2
1.518417,0.63963,0,2
1.515888,0.06831,0,2
1.516139,0.3726,0,2
1.527392,0,0,2
1.516891,0.6831,0,2
1.516594,0.57753,0,2
1.51664,0.63963,0,2
1.527255,0.08073,0,2
1.51828,0.55269,0,2
1.518508,0.57132,0.09135,2
1.516731,0.65205,0,2
1.516731,0.65205,0,2
1.527779,0.0621,0,2
1.516253,0.44712,0,2
1.516731,0.65826,0,2
1.516891,0.73278,0,2
1.53393,0.11799,0,2
1.518189,0,0,2
1.518462,0.60237,0,2
1.515934,0.60858,0,2
1.516458,0.65826,0,2
1.517073,0.63963,0,2
1.515934,0.6831,0,2
1.518394,0.621,0,2
1.515911,0.68931,0,2
1.517096,0.65826,0,2
1.521765,0.32913,0,2
1.515729,0.16146,0,2
1.518713,0.57753,0,2
1.516389,0.62721,0,2
1.531242,0.57753,3.15,2
1.515911,0.68931,0,2
1.516276,0.60858,0,2
1.517301,0.70173,0,2
1.518918,0.57132,0,2
1.516458,0.67068,0,2
1.516526,0.63963,0,2
1.517893,0.55269,0,2
1.51844,0.57753,0,2
1.518462,0.50922,0,2
1.518007,0.54027,0,2
1.516458,0.6831,0,2
1.518052,0.5589,0,2
1.515934,0.67068,0,2
1.516458,0.52164,0,3
1.516093,0.58995,0,3
1.516093,0.5589,0,3
1.516549,0.52164,0,3
1.522107,0.22977,0,3
1.517961,0.57132,0,3
1.516435,0.57132,0,3
1.51664,0.60237,0,3
1.518326,0.5589,0,3
1.521219,0.11178,0,3
1.516708,0.5589,0,3
1.519351,0.16146,0.1512,3
1.521264,0,0,3
1.516936,0.60858,0,3
1.517688,0.11178,0,3
1.517756,0.57753,0,3
1.520581,0.75762,0.2394,5
1.521196,0.13041,0,5
1.521515,0.57753,0,5
1.519692,0.37881,0,5
1.515137,1.68291,2.1987,5
1.519146,0.60237,0,5
1.523679,0.32292,0,5
1.519943,0.47196,0,5
1.513155,6.21,0,5
1.5132,6.21,0,5
1.516663,0.96876,0,5
1.52172,0.47196,0,5
1.519692,0,0,6
1.51828,0,0,6
1.518531,0,0,6
1.518872,0,0,6
1.512995,0,0,6
1.51115,0,0,6
1.519374,0,0,6
1.519169,0,0,6
1.516845,0,1.59075,7
1.516139,0,0.75915,7
1.516025,0,0.63945,7
1.522472,0.75762,0,7
1.516458,0,1.3797,7
1.516572,0,1.71045,7
1.516822,0,1.5687,7
1.517118,0,1.6695,7
1.51623,0.08073,1.06155,7
1.516526,2.70135,0,7
1.516093,0.04968,0.5292,7
1.515319,0.03726,0.63945,7
1.523656,0.3105,1.67895,7
1.511309,1.75743,1.1907,7
1.515569,0.14283,0.80955,7
1.517278,0,0.6615,7
1.518303,1.40967,2.8791,7
1.516162,0,0.67095,7
1.516389,0,0.53865,7
1.515091,0,0.63,7
1.515137,0,0.5607,7
1.515455,0.08073,0.6111,7
1.523155,0.60237,0,7
1.520649,0,1.64115,7
1.518371,1.45935,1.62855,7
1.517187,0,1.59075,7
