@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,7,10'

@attribute RI numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.52213,9.5726,1
1.519761,8.66876,1
1.517506,8.59344,1
1.517551,8.03392,1
1.51762,8.389,1
1.526663,9.82008,1
1.517415,8.0662,1
1.527255,11.63852,2
1.526139,13.43544,2
1.515934,7.82948,2
1.518417,9.13144,2
1.516868,8.09848,2
1.515911,7.9586,2
1.515911,8.21684,2
1.520672,9.5726,2
1.51664,8.37824,3
1.517688,8.6042,3
1.521196,11.27268,5
1.519374,9.76628,6
1.511309,5.43,7
1.516162,8.7118,7
1.516025,8.75484,7
