@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,6,10'

@attribute RI numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.522221,0.13041,1
1.51762,0.47817,1
1.517825,0.57132,1
1.521515,0.19251,1
1.517847,0.60237,1
1.51926,0.60237,1
1.517483,0.54027,1
1.518918,0.57132,2
1.516891,0.6831,2
1.515934,0.6831,2
1.524089,0.08073,2
1.518121,0.52164,2
1.515683,0.37881,2
1.516549,0.57132,2
1.516731,0.65826,2
1.521219,0.11178,3
1.518326,0.5589,3
1.521515,0.57753,5
1.51828,0,6
1.515569,0.14283,7
1.517118,0,7
1.517278,0,7
