@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1-3,10'

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.520991,13.68925,3.592,1
1.517209,13.3767,3.5022,1
1.518371,13.1373,2.84217,1
1.515706,12.71835,3.46179,1
1.51787,12.73165,3.43036,1
1.516184,13.52965,3.55159,1
1.517688,12.65185,3.56057,1
1.521765,13.7491,1.01025,2
1.515934,13.25035,3.44832,2
1.518189,12.6186,2.76135,2
1.51844,13.25035,3.75813,2
1.515729,14.85965,3.66833,2
1.53393,12.2994,0,2
1.521765,13.19715,3.6818,2
1.522107,14.188,3.78058,3
1.516549,13.40995,3.38995,3
1.516663,12.858,0,5
1.512995,14.4008,1.74212,6
1.523155,13.4432,3.34056,7
1.515137,14.853,0,7
1.518371,14.321,3.25974,7
