@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,6,10'

@attribute RI numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,0.57132,1
1.517847,0.60858,1
1.517938,0.63963,1
1.517437,0.57753,1
1.517528,0.60237,1
1.52172,0.18009,1
1.517369,0.58995,1
1.518713,0.57753,2
1.516458,0.65826,2
1.515888,0.06831,2
1.516526,0.63963,2
1.516617,0.6831,2
1.518417,0.63963,2
1.516731,0.65205,2
1.516594,0.57753,2
1.516458,0.52164,3
1.516708,0.5589,3
1.5132,6.21,5
1.518531,0,6
1.516389,0,7
1.523656,0.3105,7
1.51623,0.08073,7
