@relation glass

@attribute Na numeric
@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
12.69175,3.53812,0.57132,1
13.21045,3.38995,0.58995,1
13.9885,3.69976,0.01863,1
13.58285,3.34954,0.58995,1
13.29025,3.44832,0.5589,1
12.8713,3.47975,0.5589,1
12.65185,3.56057,0.60858,1
13.4831,3.74017,0.58995,1
13.1905,3.37199,0.57132,1
12.7915,3.5022,0.63963,1
13.2703,3.61894,0.55269,1
12.7117,3.42138,0.58995,1
13.21045,3.7716,0.13041,1
12.7383,3.47975,0.63963,1
13.6028,3.61894,0.14283,1
13.5097,3.8614,0.22977,1
13.1373,2.84217,0.55269,1
13.88875,3.60098,0.47817,1
13.68925,3.592,0.08694,1
13.05085,3.65037,0.19251,1
13.52965,3.55159,0.39123,1
13.80895,3.57853,0.11799,1
14.20795,3.82099,0.11178,1
13.4299,2.86911,0.55269,1
12.85135,3.47975,0.60858,1
13.7745,3.48873,0.60237,1
12.71835,3.46179,0.67068,1
13.21045,3.69078,0.57132,1
12.81145,3.56955,0.621,1
14.417,3.57853,0.5589,1
13.2969,3.60098,0.57753,1
13.21045,3.47975,0.58995,1
12.79815,3.65935,0.60237,1
14.20795,3.82099,0.11178,1
12.73165,3.43036,0.621,1
12.67845,3.66833,0.60858,1
13.21045,2.81074,0.50922,1
13.6427,4.49,0.0621,1
12.9777,3.53812,0.65205,1
12.858,3.56057,0.54027,1
14.16805,3.81201,0,1
14.7732,3.74915,0.03105,1
12.7782,3.61894,0.58995,1
13.05085,3.65037,0.19251,1
13.19715,3.33158,0.60237,1
13.11735,3.57853,0.22977,1
12.8181,3.55159,0.54027,1
13.1506,3.60996,0.57132,1
12.83805,3.5022,0.5589,1
13.3767,3.5022,0.50301,1
12.61195,3.592,0.57753,1
12.87795,3.43036,0.68931,1
13.48975,3.47975,0.55269,1
12.991,3.47077,0.621,1
13.0176,3.53812,0.54027,1
14.3609,3.84793,0.14904,1
13.4831,3.74017,0.18009,1
12.81145,3.53812,0.57753,1
13.7225,3.72221,0.08694,1
12.8713,3.47975,0.60237,1
12.57205,3.47077,0.60237,1
12.99765,3.60098,0.57132,1
13.39,3.65935,0.57132,1
12.5521,3.47975,0.62721,2
