@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R2,4,6,10'

@attribute Na numeric
@attribute Al numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
13.21045,0.79076,0.13041,1
13.88875,1.35893,0.47817,1
12.69175,1.33967,0.57132,1
13.05085,0.87101,0.19251,1
13.7745,1.27868,0.60237,1
13.19715,1.27868,0.60237,1
12.858,1.26905,0.54027,1
13.46315,1.25942,0.57132,2
13.33015,1.60931,0.6831,2
13.09075,1.55153,0.6831,2
13.8289,1.16954,0.08073,2
13.33015,1.24979,0.52164,2
13.23705,1.47128,0.37881,2
12.7516,1.43918,0.57132,2
12.7915,1.53869,0.65826,2
14.0284,0.5789,0.11178,3
13.33015,1.53869,0.5589,3
11.02925,1.56116,0.57753,5
14.46065,1.61894,0,6
13.8688,2.54021,0.14283,7
14.2279,2.08118,0,7
14.70005,2.34119,0,7
