@relation glass

@attribute RI numeric
@attribute Mg numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.51746,3.5022,8.5504,1
1.52213,3.82099,9.5726,1
1.517688,3.56057,8.69028,1
1.52172,3.74017,9.60488,1
1.519055,3.61894,8.75484,1
1.521515,3.65037,9.85236,1
1.518235,3.47975,8.43204,1
1.520991,3.592,9.40044,1
1.5191,3.73119,8.89472,1
1.517551,3.60996,8.23836,1
1.521014,4.49,8.75484,1
1.518075,2.86911,9.0346,1
1.517847,3.48873,8.48584,1
1.512152,3.47077,8.34596,1
1.517483,3.56057,8.37824,1
1.52172,3.8614,9.54032,1
1.516184,3.55159,7.77568,1
1.517642,3.53812,8.52888,1
1.515957,3.60996,8.0662,1
1.518371,2.84217,9.06688,1
1.51787,3.43036,8.75484,1
1.5191,3.52914,8.77636,1
1.517209,3.47975,8.43204,1
1.517938,3.5022,8.7656,1
1.522996,3.57853,10.17516,1
1.51869,3.37199,8.83016,1
1.52197,3.84793,9.15296,1
1.51762,3.65935,8.56116,1
1.517825,3.53812,8.75484,1
1.517209,3.5022,8.43204,1
1.51762,3.60098,7.82948,1
1.517369,3.61894,8.70104,1
1.518986,3.34954,8.90548,1
1.521515,3.57853,9.82008,1
1.517779,3.38995,8.59344,1
1.519009,3.47975,9.00232,1
1.51566,3.44832,8.57192,1
1.517551,3.42138,8.63648,1
1.517779,2.81074,9.02384,1
1.522267,3.81201,9.69096,1
1.517551,3.65935,8.27064,1
1.523201,3.72221,10.568,1
1.517688,3.52016,8.53964,1
1.517506,3.55159,8.51812,1
1.517528,3.47077,8.5504,1
1.517346,3.53812,8.4428,1
1.517688,2.71196,9.05612,1
1.51967,3.74915,9.00232,1
1.515888,3.43036,8.04468,1
1.522221,3.7716,10.2452,1
1.517938,3.47975,8.43204,1
1.517961,3.47975,8.67952,1
1.517437,3.60098,8.1738,1
1.515706,3.46179,8.08772,1
1.519191,3.57853,8.30292,1
1.517551,3.60098,8.39976,1
1.51926,3.33158,9.1422,1
1.522107,3.83895,9.74476,1
1.517665,3.69078,8.21684,1
1.517847,3.66833,8.70104,1
1.521515,3.65037,9.85236,1
1.51762,3.592,8.4966,1
1.517756,3.47975,8.56116,1
1.518007,3.92875,8.20608,2
1.515888,3.40791,8.389,2
1.518462,3.96916,8.43204,2
1.517073,3.47975,7.99088,2
1.516731,3.64139,8.03392,2
1.518121,2.95891,8.78712,2
1.522221,0,11.52016,2
1.516298,3.33158,8.23836,2
1.531242,0,13.29556,2
1.514089,3.08912,7.07628,2
1.518189,2.76135,9.42196,2
1.518121,3.97814,8.15228,2
1.527779,0,14.40384,2
1.516458,3.60996,8.03392,2
1.516389,3.47975,8.07696,2
1.52664,0,14.6836,2
1.527392,0,14.96336,2
1.518417,3.74017,8.95928,2
1.518918,3.82997,8.20608,2
1.515729,3.66833,7.35604,2
1.516549,2.85115,8.78712,2
1.518394,3.66833,8.67952,2
1.517893,3.90181,8.4428,2
1.516048,3.43934,8.27064,2
1.516184,3.5022,8.12,2
1.518462,3.88834,8.2814,2
1.516891,2.87809,8.53964,2
1.518189,0,10.99292,2
1.51844,3.75813,8.42128,2
1.518485,3.87038,8.32444,2
1.516663,3.60996,8.6042,2
1.521765,3.6818,8.51812,2
1.516891,3.53812,8.10924,2
1.516321,3.56955,7.89404,2
1.515911,3.52016,7.96936,2
1.517437,3.25076,8.89472,2
1.516731,3.52016,7.9048,2
1.517118,3.61894,8.10924,2
1.516526,3.56955,7.9586,2
1.517096,3.47077,8.18456,2
1.516458,3.48873,8.07696,2
1.524089,2.90054,10.78848,2
1.516139,3.52016,7.93708,2
1.515934,3.52016,8.04468,2
1.515957,3.56057,7.9048,2
1.515911,3.52016,7.96936,2
1.515683,3.48873,8.03392,2
1.516253,3.57853,8.20608,2
1.516617,3.51118,8.2276,2
1.51828,3.90181,8.31368,2
1.517301,2.72094,9.22828,2
1.516594,3.17892,8.80864,2
1.518599,3.43036,8.6042,2
1.52475,0,13.24176,2
1.516458,3.55159,8.09848,2
1.521765,1.01025,11.14356,2
1.520194,1.35149,10.56252,2
1.518508,3.62792,8.41052,2
1.518713,3.65935,8.5504,2
1.53393,0,16.19,2
1.518121,3.84793,8.12,2
1.515934,3.44832,7.86176,2
1.516276,3.57853,8.04468,2
1.520809,2.28092,9.85236,2
1.51664,3.53812,8.03392,2
1.516731,3.56057,7.99088,2
1.518052,3.79854,8.37824,2
1.517073,3.6818,7.88328,2
1.516458,3.39893,8.58268,3
1.516936,3.57853,8.78712,3
1.517961,3.35852,8.80864,3
1.521264,3.90181,9.48652,3
1.516435,3.52016,8.52888,3
1.516549,3.38995,8.64724,3
1.516093,3.52914,8.3352,3
1.516708,3.56955,8.4428,3
1.522107,3.78058,9.1422,3
1.516093,3.39893,8.32444,3
1.521219,3.75813,9.64792,3
1.517756,3.40791,8.78712,3
1.519351,3.53812,8.89472,3
1.517779,3.65037,8.927,3
1.518326,3.34056,8.99156,3
1.520581,1.61191,9.70172,5
1.5132,0,6.92564,5
1.516663,0,10.17516,5
1.519146,1.84988,10.08908,5
1.513155,0,6.95792,5
1.515137,2.68053,5.87116,5
1.519692,0,11.53092,5
1.519943,0,11.31572,5
1.521515,1.71069,11.617,5
1.52172,1.88131,11.41256,5
1.520421,0,12.49932,5
1.523679,0,12.24108,5
1.519055,2.38868,9.5726,6
1.51115,0,6.64588,6
1.519692,0,11.21888,6
1.519169,0,10.88532,6
1.518872,0.78126,9.9492,6
1.518531,2.19112,9.32512,6
1.512995,1.74212,7.59276,6
1.51828,2.24051,9.26056,6
1.516572,0,8.2814,7
1.515455,0,9.06688,7
1.516526,0,8.927,7
1.518303,0,6.47372,7
1.515319,0,9.07764,7
1.516458,0,8.66876,7
1.517187,0,8.52888,7
1.515091,0,8.3352,7
1.518371,3.25974,5.78508,7
1.522472,2.2001,9.75552,7
1.523155,3.34056,8.83016,7
1.516093,0,8.83016,7
1.517118,0,8.61496,7
1.520649,0,8.4428,7
1.515137,0,8.389,7
1.516139,1.77804,8.66876,7
1.516845,0,8.39976,7
1.51623,0,9.04536,7
1.515569,0,9.4112,7
1.516503,0,8.47508,7
1.517323,0,8.61496,7
1.517278,0,8.94852,7
1.523656,1.83192,8.61496,7
1.516389,0,9.45424,7
1.51623,0,9.18524,7
1.516822,0,8.51812,7
