@relation glass

@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
72.9908,1
73.2372,1
73.03,1
72.9684,1
72.358,1
73.282,1
73.0412,1
72.1228,1
71.9884,1
72.7612,1
73.0804,1
73.0804,1
71.5684,1
73.198,1
73.0916,1
73.2372,1
72.7276,1
73.002,1
72.8508,1
73.2092,1
71.35,1
71.77,1
73.0076,1
72.9908,1
72.7892,1
73.3884,1
73.2876,1
71.8092,1
72.2012,1
72.61,1
73.198,1
72.8508,1
71.9492,1
72.9516,1
71.3612,1
71.9884,1
72.0108,1
72.078,1
72.7892,1
72.078,1
73.2708,1
71.7588,1
71.7924,1
72.022,1
73.702,1
71.7476,1
72.862,1
73.1084,1
72.9796,1
71.7196,1
71.77,1
73.1476,1
71.9604,1
72.7388,1
72.75,1
72.218,1
72.9908,1
72.8396,1
72.9516,1
72.9796,1
72.9684,1
73.0188,1
72.3188,1
72.8676,2
69.81,2
72.2796,2
73.0972,2
72.8116,2
72.33,2
72.5484,2
72.8676,2
72.722,2
73.2092,2
72.5428,2
70.1628,2
73.1084,2
72.722,2
73.0076,2
72.8788,2
73.0692,2
72.4924,2
72.2628,2
72.3804,2
72.778,2
72.3412,2
72.75,2
72.8284,2
72.8284,2
71.1484,2
74.4524,2
72.19,2
72.5708,2
73.17,2
73.0972,2
73.3604,2
73.1196,2
73.142,2
72.1788,2
72.9572,2
72.6716,2
71.7588,2
72.5092,2
72.19,2
71.8708,2
72.3916,2
71.9604,2
72.0612,2
73.0804,2
73.2708,2
73.2596,2
73.282,2
71.238,2
72.75,2
72.89,2
73.5508,2
72.022,2
73.2316,2
70.5716,2
72.5316,2
71.9884,2
72.9684,2
72.918,2
73.2484,2
72.862,2
72.442,2
72.4028,2
72.6604,2
72.4476,2
73.2092,2
72.5204,2
72.8396,2
73.8084,2
72.4812,3
71.7924,3
71.5012,3
72.6716,3
72.0388,3
73.0076,3
72.638,3
71.3612,3
72.7724,3
72.89,3
72.1396,3
72.6996,3
73.002,3
72.61,3
72.6884,3
72.6492,3
72.862,5
72.1788,5
69.8884,5
73.3884,5
73.7524,5
73.8812,5
70.482,5
72.2516,5
72.6884,5
70.7004,5
72.218,5
73.4388,5
72.7612,6
72.3692,6
73.478,6
74.5476,6
72.7388,6
72.6716,6
72.498,6
75.41,6
72.3804,6
73.0972,7
72.3804,7
70.258,7
73.2988,7
73.6124,7
70.4316,7
73.4612,7
73.5004,7
75.1804,7
73.3884,7
71.2492,7
73.422,7
72.8508,7
73.282,7
72.9908,7
73.7188,7
72.8116,7
72.61,7
73.1084,7
73.0524,7
73.282,7
73.0188,7
73.1084,7
73.58,7
73.3604,7
73.2316,7
72.862,7
