@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,4,10'

@attribute RI numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.520991,1.12139,1
1.517209,1.15028,1
1.518371,1.27868,1
1.515706,1.56116,1
1.51787,1.1888,1
1.516184,1.53869,1
1.517688,1.30115,1
1.521765,1.35893,2
1.515934,1.42955,2
1.518189,0.82928,2
1.51844,1.32041,2
1.515729,1.74092,2
1.53393,0.99941,2
1.521765,1.15028,2
1.522107,0.90953,3
1.516549,1.27868,3
1.516663,1.8308,5
1.512995,1.53869,6
1.523155,1.23053,7
1.515137,2.42144,7
1.518371,2.21921,7
